0;0;0;7.1;0;7.1;0;6;0;8.5;0;7.1;1;0;0;0;0;0;0;0;12;14.5;6;20.75;0;0;9.17
9.17;7.13;0;16;0;0;10;0;0;0;7.1;10;5.71;10.92;43.33;0;0;7.1;1;11.5;7.5;5;5;9.11;0;0;0
0;11.75;17.14;8;7.95;5.31;6.5;5;0;0;11;13.5;20;11;7.1;5;0;0;15;6.56;7.6;7.08;4.38;7.1;0;0;0
0;0;0;0;7.1;4;0;0;7.1;7.1;5.33;10.13;5.8;3.86;11;0;0;0;0;0;16.5;6;12;0;0;7.1;0
0;12.67;9.03;5.85;6.88;5;7.1;0;0;0;0;5;7.1;7.83;0;0;5;7.1;9;8.68;8.15;11.5;11;0;0;0;0
0;13;0;0;0;0;0;3;6.04;6.61;6.67;7.23;9.8;7.1;0;0;0;0;0;0;0;0;7.1;30;0;9.5;8.33
8.33;5.75;6.29;11;4;0;0;0;0;0;5;7.1;0;0;15;7.1;7.1;5;6.68;5.69;4.67;32.5;0;11;7.1;0;0
0;0;5;0;0;0;7.1;0;5;6.23;6.25;7;2.33;0;2;6;0;0;0;7.1;0;0;0;0;0;21.75;5.57
5.57;8.07;2.8;7;12.5;7;4.29;7.1;7.1;2;1;0;0;0;0;0;10;3.5;4.5;5.56;5.83;5.6;12;3.5;1.67;7.1;11
11;0;7.1;0;0;0;0;0;5;9.33;6.15;6.98;4;3;0;7.1;0;7.1;6.5;7.1;7.1;0;0;0;0;0;12
12;6.75;5.73;6.57;4;6;0;7.1;3;4;7.1;2;0;0;0;7.1;0;5;8.5;5.69;5.32;7.5;0;0;7.1;7.1;5
5;5;4.67;0;0;0;0;0;7.1;9;7.1;8.14;5.78;13;0;0;7;4.63;2.67;17.5;0;0;0;0;0;5.33;4.67
4.67;4;6;8.5;5;8.5;4.5;7.25;7;7.33;11;0;0;0;0;62;2.89;6.52;6.63;5.9;4;2;4;5.33;11;10;7.1
7.1;11;0;0;12;2;11;6.33;5.8;5.89;8.29;8.33;0;9;7.2;3.25;23;7.1;0;0;0;7.1;0;2;3.5;7.8;8.43
8.43;6.5;12.38;6.67;7.57;8.58;10.25;0;13.67;0;0;0;2;6.5;0;8;3;5;10;8;8.5;6.73;5.83;7;3.67;0;0
0;10;0;10.67;18;1;2.67;7.1;3;2;4.75;7.1;8.11;8.25;4;0;0;7.1;0;5;5;11;2;7.1;6;9;4
4;5.5;11;7.1;7;0;5;7.1;0;0;0;0;0;0;0;0;0;0;12;0;8;7.1;0;0;0;0;0
