;t8;t8;t8;t8;;t9;t9;t9;t9;;t10;t10;t10;t10;;t11;t11;t11;t11;;t12;t12;t12;t12;;t13;t13;t13;t13;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g156;0.49;0;-1.44;-0.11;g156;-0.1;0;0.37;0.26;g156;0.41;0;-0.12;0.14;g156;-0.35;0;0;-0.9;g156;-0.16;0;-0.44;-0.9;g156;-0.35;0;1.47;-0.04
g157;-0.14;-0.06;-0.11;-0.1;g157;0.2;0;0.87;0.24;g157;-0.28;0;0.31;-0.05;g157;0.13;0;0.06;0.15;g157;0.17;-0.02;0;0.25;g157;0.06;0;-0.01;0.08
g158;-0.09;0;-0.18;0.21;g158;-0.12;0;-0.09;0.01;g158;0.23;0;0.15;-0.1;g158;0.25;0;-0.07;0.09;g158;-0.11;0;0.13;-0.45;g158;-0.27;0;-0.15;-0.1
g159;-0.37;0.08;0.11;0.21;g159;0.38;-0.02;0.1;0.22;g159;-0.29;-0.01;0.22;-0.09;g159;0.27;0.19;0.1;0.46;g159;-0.12;0.48;0.47;0.04;g159;0.06;0.14;-0.09;0.33
g160;0.12;0;-0.11;-0.02;g160;-0.13;0;-0.46;-0.06;g160;0.38;0;-0.33;-0.43;g160;0.11;0;-0.75;-0.13;g160;-0.26;0;-0.58;-0.04;g160;-0.18;0;-0.31;-0.06
g161;-0.06;0.46;-0.07;-0.09;g161;0.23;-0.6;-0.85;0;g161;-0.48;0.25;-0.43;-0.16;g161;0.13;-0.11;-0.59;0.17;g161;0.04;-0.22;-0.02;-0.53;g161;0.13;0;-0.17;0.14
g162;-0.01;0;-0.04;0.1;g162;0.06;0;0.58;0.04;g162;0.27;0;0.38;-0.37;g162;0.25;0;0.4;0.53;g162;-0.01;0;0;0.34;g162;-0.19;0;-0.07;0.09
g163;0.03;0.41;-0.03;0.16;g163;0.25;-4.05;0.35;0.4;g163;0.06;0.8;0.27;-0.22;g163;0.26;0.78;0.23;0.42;g163;0.03;0.92;0.14;0.31;g163;0.05;0.85;-0.03;0.31
g164;0.02;-0.3;0.18;0.05;g164;0.17;-0.4;-0.39;-0.04;g164;-0.38;-0.38;-0.48;0.31;g164;-0.14;-0.59;0.13;-0.19;g164;-0.06;-0.01;0.46;-0.48;g164;0.17;0.1;0.26;-0.19
g165;0.01;-0.3;0.05;0.31;g165;0.09;-0.6;-0.16;0.25;g165;-0.32;-0.05;-0.36;0.23;g165;-0.03;-0.21;-0.05;-0.06;g165;-0.09;0.23;0.33;0.05;g165;0.24;0.31;0.36;-0.02
g166;0.11;0.06;-0.17;-0.02;g166;0.12;-0.34;-0.08;0.58;g166;-0.33;-0.04;-0.37;-0.39;g166;0.15;0.37;-0.23;-0.78;g166;0.28;-0.32;-0.38;-0.64;g166;0.2;-0.12;0;-0.41
g167;-0.02;0;-0.02;0.29;g167;-0.07;-0.09;-0.2;0.14;g167;-0.2;0;-0.3;-0.4;g167;-0.08;0.37;-0.29;-0.13;g167;-0.07;0.43;-0.1;-0.29;g167;0.1;-0.01;-0.12;0.14
g168;-0.04;0;0.06;0.12;g168;0.14;0;0.33;0.05;g168;-0.02;0;-0.1;-0.4;g168;-0.15;0;0.1;0.54;g168;-0.07;0;0.29;0.24;g168;0;0;-0.09;0.2
