;t9;t9;t9;t9;;t10;t10;t10;t10;;t11;t11;t11;t11;;t12;t12;t12;t12;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g35;0.13;0.27;0.39;0.46;g35;0.11;-0.27;-0.35;-0.24;g35;0.09;0.21;-0.15;-0.18;g35;0.28;-0.4;-0.14;-0.37
g112;-0.77;-1.32;-0.4;0.42;g112;-1.1;0.26;0.48;0.54;g112;-0.02;1.01;1.02;0.59;g112;0.88;0.2;0;-0.13
g365;-0.14;-0.11;0.29;0.25;g365;0.09;-0.38;-0.03;0.05;g365;-0.04;0.22;0.06;0.35;g365;0.01;-0.16;-0.02;0.48
g369;0.11;0;0.7;0.03;g369;0.35;0;0.49;-0.02;g369;0.21;0;0.31;0.56;g369;-0.38;0;0.59;0.65
g381;-0.06;0.21;-0.08;-0.05;g381;0.12;-0.31;0.14;-0.33;g381;-0.06;0.22;-0.02;0.61;g381;-0.16;-0.16;0.02;0.53
g389;-0.16;0.25;0.16;0.13;g389;0.21;-0.14;0.25;0.15;g389;-0.21;0.2;0.03;0.35;g389;0.1;0.03;-0.02;0.15
g413;-0.36;0.05;-0.35;0.13;g413;-0.44;-0.1;-0.1;-0.22;g413;-0.3;0.24;0.07;0.02;g413;-0.05;0.15;0.13;-0.3
g414;0.13;-0.05;0.37;0.44;g414;-0.52;0.29;0.81;-0.02;g414;0.01;0.11;0.68;0.61;g414;0.13;0.66;0.85;0.38
g425;0.02;-0.39;0.04;-0.33;g425;-0.39;0.45;-0.27;0.22;g425;-0.04;0.08;-0.1;-0.18;g425;-0.02;0.08;-0.44;-0.09
g430;0;0.33;0.56;0.02;g430;-0.09;-0.24;0.07;-0.1;g430;-0.01;0.29;0.17;0;g430;0.02;0.09;0.07;0.1
g478;0.48;0.37;0.27;0.47;g478;0.11;-0.56;-0.16;-0.27;g478;0.33;-0.05;-0.09;-0.31;g478;0.22;-0.74;-0.19;-0.44
g479;-0.02;0.05;0.45;0.2;g479;0.06;-0.51;-0.2;-0.18;g479;0.1;0.1;0.01;0.52;g479;0.01;-0.51;0.08;0.16
g490;0.38;-0.13;-0.59;0.13;g490;0.4;0.16;-0.15;0.07;g490;0.15;-0.11;0.07;-0.19;g490;-0.04;0.18;0.25;-0.02
g496;0.38;-0.21;-0.1;0.23;g496;0.18;-0.16;0.11;0.02;g496;-0.09;0.04;0.16;0.09;g496;0.19;0.12;0.32;0.04
g532;0.03;-2.07;0.4;-0.34;g532;0.01;-0.07;0.16;-0.03;g532;0.11;0.1;0.07;0.03;g532;0.21;0.27;-0.3;0.15
g617;0.17;-0.08;-0.35;0.07;g617;-0.2;-0.13;-0.08;0.25;g617;-0.09;-0.11;-0.04;0.01;g617;0.03;-0.19;0.22;-0.6
g759;0.22;0;0.34;0.2;g759;0.37;0;-0.06;-0.11;g759;-0.02;0;-0.09;0.18;g759;0.13;0;-0.28;0.08
g792;-0.22;0.21;0.13;-0.01;g792;0.95;-0.12;0.2;-0.05;g792;-0.28;0.27;0.22;0.18;g792;0.02;-0.93;0.18;0.23
