;t0;t0;t0;t0;;t1;t1;t1;t1;;t3;t3;t3;t3;;t4;t4;t4;t4;;t5;t5;t5;t5;;t6;t6;t6;t6;;t7;t7;t7;t7;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g0;-0.15;-0.16;-0.19;0.3;g0;-0.15;0.09;-0.77;-0.12;g0;0.17;0.03;-0.19;0.18;g0;-0.42;-0.04;0.13;-0.24;g0;-0.44;-0.12;-0.36;0.11;g0;-0.15;-0.28;-0.55;-0.12;g0;0.24;-0.44;-0.07;0.37
g351;0;0;-0.16;-0.6;g351;-0.6;0;-0.3;-0.22;g351;-0.32;0;-0.03;0.09;g351;-0.13;0;0.54;0.2;g351;-0.37;0;-0.43;0.2;g351;0.07;0;0.19;0.17;g351;0.1;0;-0.04;0.35
g551;0.54;0.74;-0.51;0.25;g551;0.06;0.58;-0.37;0;g551;0.07;0.59;-0.05;0.16;g551;0.06;0.2;0.04;0.24;g551;0.14;0.44;-0.88;-0.13;g551;0;0.11;0.77;-0.09;g551;-0.02;0.42;-0.59;-0.45
g694;-0.35;-0.52;0.02;0.58;g694;0.03;-0.35;-1.43;-0.01;g694;-0.04;0.21;0.39;0.01;g694;0.33;0.23;0.3;-0.21;g694;0.15;-0.08;0.16;-0.03;g694;0.33;0.16;0;0.21;g694;0.03;-0.2;-0.33;-0.04
g914;0.1;0;-0.24;-0.08;g914;-0.05;0;0.2;-0.18;g914;-0.17;0;-0.17;0.03;g914;0.36;0;-0.12;0.03;g914;-0.26;0;-0.03;-0.22;g914;0.17;0;0.17;0.13;g914;-0.12;0;0.01;0.03
g1019;-0.03;-0.19;0.96;0.27;g1019;0.36;0.16;-0.23;0.24;g1019;-0.14;0.38;-0.01;0.05;g1019;-0.64;0.06;-0.01;-0.04;g1019;-0.45;-0.84;0.13;-0.02;g1019;-0.12;0.36;-0.17;0.05;g1019;0.45;-0.36;-0.11;-0.15
g1031;0.11;-0.13;-0.62;0.06;g1031;-0.15;-0.35;-0.68;-0.11;g1031;0.01;0.47;-0.05;-0.13;g1031;-0.08;-0.53;-0.04;-0.08;g1031;-0.25;-0.07;0.37;-0.03;g1031;0.13;-0.18;0.18;-0.3;g1031;-0.17;-0.18;0.19;0.22
g1144;-0.33;0.09;-0.77;-0.39;g1144;0;0.22;-0.39;-0.08;g1144;-0.31;0.25;-0.3;-0.18;g1144;0.01;-0.63;0.23;-0.09;g1144;0.15;-0.26;0.41;-0.16;g1144;-0.05;0.29;0.47;0.02;g1144;0.23;0.02;0.07;0.23
g1159;-0.26;0.03;0.04;-0.33;g1159;-0.03;0.38;-0.45;0.28;g1159;-0.07;-0.03;0.03;0.15;g1159;-0.13;-0.34;-0.01;-0.25;g1159;-0.27;-0.24;-0.07;-0.22;g1159;-0.43;0.04;0.03;0;g1159;0;0.14;0.06;0.2
g1164;-0.35;0.01;-0.26;-0.21;g1164;0;0.24;-0.01;-0.21;g1164;1.31;-0.18;-0.13;0.05;g1164;-0.39;-0.1;0.01;-0.13;g1164;-0.23;-0.15;-0.02;-0.16;g1164;-0.37;-0.03;-0.07;-0.03;g1164;0.12;0.08;0.17;0.19
g1209;-0.03;0.55;-0.65;-0.96;g1209;-0.24;0.51;0.38;-0.23;g1209;-0.06;0.15;0.17;0.33;g1209;-0.14;0.01;-0.54;0.17;g1209;-0.19;-0.08;0.17;0.2;g1209;-0.19;-0.18;0.22;0.23;g1209;-0.12;0.08;-0.49;0.04
g1272;0.24;1.42;0;0.7;g1272;-0.49;0.75;3.78;0.47;g1272;-0.57;-0.44;3.24;0.27;g1272;0.28;0.2;1.83;0.5;g1272;-0.26;-0.6;-0.7;-0.13;g1272;-0.05;0.45;0;0.12;g1272;-0.29;-0.7;0;-0.07
g1274;0.02;-0.52;-0.84;0.06;g1274;-0.05;-0.85;-0.21;-0.15;g1274;-0.31;-0.08;-0.21;-0.45;g1274;-0.01;-0.21;-0.23;-0.41;g1274;-0.29;0.42;-0.33;-0.37;g1274;0.57;0.12;0.28;-0.43;g1274;0;0.36;-0.69;0.22
g1296;-0.07;-0.91;-0.42;0.44;g1296;-0.2;-1.02;-0.22;-0.24;g1296;0.11;0.51;-0.05;-0.42;g1296;0;-0.03;-0.21;0.09;g1296;0.19;0.44;0.27;0.05;g1296;0.28;0.34;-0.08;-0.74;g1296;0.16;0.21;-0.33;0.21
g1297;-0.08;0.33;-0.3;-0.66;g1297;-1.03;0.33;0.44;-0.06;g1297;-0.28;0.3;0.17;0.4;g1297;0.38;0.3;0.01;0.82;g1297;0.28;-0.03;0.3;0.48;g1297;0.27;0.15;0.16;0.27;g1297;0;0.2;-0.04;-0.04
g1365;-0.07;-0.08;-0.41;-0.16;g1365;-0.13;-0.25;-0.27;-0.47;g1365;-0.3;0.07;0.08;-0.28;g1365;-0.03;0.69;-0.08;0.12;g1365;-0.17;0.35;0.15;-0.24;g1365;0.26;0.82;0.36;-0.16;g1365;-0.19;0.39;0.02;0.41
g1400;0;0.1;1.04;-0.22;g1400;0.06;0.1;1.31;-0.24;g1400;-0.02;-0.35;0.75;0.04;g1400;-0.14;0.2;0.55;0.31;g1400;-0.03;-0.52;0.66;-0.13;g1400;-0.05;0.35;-0.34;0.27;g1400;0;-0.33;0.17;0.27
g1412;-0.19;-0.27;0.16;-1.06;g1412;-0.28;-0.05;0.42;0;g1412;0.43;0.27;0.2;-0.26;g1412;0.27;0.09;-0.54;0.12;g1412;0;0.13;0.32;0.22;g1412;0.28;0.11;-0.29;0.12;g1412;-0.28;-0.16;0.04;0.22
g1441;0.14;-0.09;0.19;-0.38;g1441;-0.11;-0.03;0.17;-0.3;g1441;-0.14;0.04;0.4;-0.15;g1441;0;0.32;-0.04;-0.13;g1441;-0.2;0.31;0.62;-0.17;g1441;0.38;0.19;-0.18;-0.02;g1441;-0.08;0.25;-0.04;-0.06
g1460;-0.03;-0.73;0.13;-0.2;g1460;0.08;0;-0.31;-0.01;g1460;0;0;-0.33;-0.21;g1460;0.23;0;-0.22;-0.13;g1460;-0.06;0;-0.02;-0.11;g1460;0.25;0;-0.75;-0.12;g1460;-0.13;0;-0.27;0.03
g1494;0.1;1.23;-0.53;0.49;g1494;-0.79;1.06;0.13;-0.11;g1494;-0.1;0.23;0.28;0.28;g1494;0.37;-0.13;0.08;0.49;g1494;0.13;0.33;0.3;-0.22;g1494;0.09;-0.18;0.29;-0.22;g1494;0.06;0.15;-0.01;0.05
g1497;-0.16;-0.71;-0.08;-0.18;g1497;0;-0.06;-0.02;-0.08;g1497;0.07;-0.17;0.39;0.23;g1497;-0.09;0.27;0.18;0.03;g1497;-0.03;-0.87;0.64;0.06;g1497;-0.13;0.1;-0.32;0.15;g1497;0.04;0.02;-0.34;-0.1
g1501;-0.21;-0.02;-0.16;-0.58;g1501;0.46;0.27;0.29;-0.13;g1501;0.81;-0.33;0.73;-0.03;g1501;0;-0.07;-1.12;-0.11;g1501;0.18;-0.97;-0.02;0.06;g1501;-0.37;-0.25;-0.35;0.14;g1501;-0.24;-0.84;-1.69;0.3
g1536;-0.04;-0.86;-0.34;-0.21;g1536;-0.07;-0.72;-0.39;-0.67;g1536;0.32;-0.41;-0.27;0.04;g1536;0.21;0.28;-0.82;0.07;g1536;0.11;-0.06;0.45;0.13;g1536;0.24;0.41;-0.45;0.06;g1536;-0.11;-0.19;-0.54;0.14
g1546;-0.23;-0.19;-0.35;0.09;g1546;0.2;-0.05;0.05;0.36;g1546;0.18;0.26;0.19;0.09;g1546;-0.33;0.03;0.42;0.19;g1546;0.32;-0.57;-0.07;0.28;g1546;-0.29;0.62;0.2;0.3;g1546;0.25;-0.48;0.03;-0.17
