t;s;g;el
0;0;1;-0.11
0;0;74;-0.35
0;0;90;0.09
0;0;106;0.1
0;0;111;-1.22
0;0;127;-0.26
0;0;142;-0.07
0;0;312;0.06
0;0;363;-0.08
0;0;384;0.06
0;0;426;-0.03
0;0;439;-0.16
0;0;449;-0.17
0;0;460;-0.13
0;0;473;-0.07
0;0;589;-0.24
0;0;674;0.34
0;0;730;-0.09
0;0;731;-0.35
0;0;754;-0.15
0;0;775;-0.68
0;0;793;0
0;0;912;-0.4
0;0;915;0
0;0;925;-0.56
0;0;930;-0.32
0;0;970;-0.49
0;0;980;-0.18
0;0;998;-0.11
0;0;1018;0
0;0;1068;0.07
0;0;1099;0.08
0;0;1129;0.37
0;0;1170;-0.2
0;0;1192;-0.12
0;0;1198;0
0;0;1261;-0.08
0;0;1300;-0.16
0;0;1363;0.17
0;0;1399;0.21
0;0;1507;-0.49
0;0;1512;0.14
0;0;1550;-0.66
0;0;1604;0.44
0;0;1623;0
0;0;1626;0.02
0;0;1665;-0.14
0;0;1769;0.19
0;0;1778;-1.12
0;0;1827;-0.26
0;0;1875;0.17
0;0;1885;-0.24
0;0;1900;-0.08
0;0;1901;-0.12
0;0;1902;-0.19
0;0;1903;0.3
0;0;1904;-0.22
0;0;1905;0.3
0;0;1909;-0.2
0;0;1961;0.26
0;0;1991;0.19
0;0;1999;0.16
0;0;2066;0.15
0;0;2068;-0.02
0;0;2082;0.36
0;0;2099;0.42
0;0;2113;-0.04
0;0;2114;0.04
0;0;2162;-0.44
0;0;2166;-0.11
0;0;2183;-0.14
0;0;2192;-0.06
0;0;2212;-0.24
0;0;2232;0.02
0;0;2248;0.17
0;0;2296;0.12
0;0;2301;-0.04
0;0;2404;-0.06
0;0;2425;0.09
0;0;2488;0.04
0;0;2531;0.16
0;0;2554;0.58
0;0;2626;-0.43
0;0;2634;0.18
0;0;2696;-0.19
0;0;2752;-0.1
0;0;2761;-0.24
0;0;2767;-0.29
0;0;2795;-0.15
0;0;2802;0.29
0;0;2927;-0.28
0;0;3015;-0.34
0;0;3059;0.36
0;0;3104;0
0;0;3115;-0.16
0;0;3145;0.35
0;0;3170;0.73
0;0;3171;0.28
0;0;3185;4
0;0;3206;0
0;0;3362;-0.09
0;0;3382;0.23
0;0;3397;-0.01
0;0;3409;0.17
0;0;3464;-0.31
0;0;3585;0.21
0;0;3590;0.05
0;0;3618;0.12
0;0;3662;-0.2
0;0;3687;1.87
0;0;3787;-0.24
0;0;3794;0.1
0;0;3819;0.17
0;0;3835;-0.07
0;0;3860;-0.59
0;0;3867;0.19
0;0;3884;0.07
0;0;3918;-0.18
0;0;3927;0.09
0;0;4012;0.05
0;0;4013;-0.03
0;0;4073;-0.05
0;0;4150;0.05
0;0;4173;0.03
0;0;4271;0
0;0;4311;0.32
0;0;4349;0.12
0;0;4475;-0.96
