;t0;t0;t0;t0;t0;t0;;t1;t1;t1;t1;t1;t1;;t2;t2;t2;t2;t2;t2;;t3;t3;t3;t3;t3;t3;;
;c0;c1;c2;c3;c4;c8;;c0;c1;c2;c3;c4;c8;;c0;c1;c2;c3;c4;c8;;c0;c1;c2;c3;c4;c8;;
g1;17396.29;22505.82;22505.82;26474.76;22505.82;22505.82;g1;17974.1;40428.78;15143.42;13334.06;14312.21;11283.96;g1;44958.12;4153.03;16035.71;17128.39;37277.87;34933.55;g1;21444.54;22505.82;24336.95;30813.27;22505.82;22505.82
g8;46360.04;28003.97;25414.95;4455.64;50000;44704.62;g8;3667.84;12270.09;31805.22;31805.22;40833.78;45779.41;g8;26141.25;568.03;31805.22;31805.22;38410.69;4231.92;g8;4408.39;38979.6;49173.03;42136.17;23352.64;48955.48
g10;0;16669.68;22388.76;43512.7;48418.38;33828.81;g10;50000;14251.43;13116.19;45435.41;45435.41;49891.95;g10;0;15225.09;3947;25033.72;25033.72;36214.04;g10;0;25310.84;30133.08;9111.42;9111.42;25492.55
g11;39886.18;22419.24;25194.48;6439.64;40927.51;14356.14;g11;27153.55;48525.42;31805.22;31805.22;36400.17;20783.69;g11;31771.65;4065.28;31805.22;31805.22;7670.01;19425.76;g11;38266.65;20643.74;8153.42;26943.91;11398.41;7552.23
g15;39611.79;47230.63;28082.71;18725.38;24545.98;36433.39;g15;36195.78;36719.55;45976.1;30830.21;35763.36;16192.87;g15;14833.05;21246.61;38282.16;4127.09;26116.68;44456.34;g15;38876.63;27643.2;46616.26;39635.1;49366.35;9766.86
g19;48204.68;4007.69;6277.29;41430.71;48204.68;48204.68;g19;47156.75;49008.73;32853.46;13007.2;47156.75;47156.75;g19;41020.01;22831.3;48725.82;20309.77;41020.01;41020.01;g19;8965.49;49751.39;13043.6;15976.51;41672.09;18228.62
g22;6321.34;28857.06;6321.34;14616.97;18194.36;6321.34;g22;41107.06;41107.06;41107.06;38671.83;44399.92;41107.06;g22;294.46;294.46;294.46;26632.72;11426.87;294.46;g22;6192.53;39535.86;6321.34;4291.78;36878.45;6321.34
g28;37376.78;8500.98;37674.82;3475.36;36124.49;12970.65;g28;37482.03;5985.87;3765.99;20189.16;20793.95;3182.19;g28;46235.53;22506.8;24115.71;17910.79;10768.72;20423.15;g28;4127.74;39409.67;12649.85;2908.59;32076.74;49716.41
g30;29814.93;39357.91;31819.9;11718.04;39655.4;35435.49;g30;38883.58;18352.09;24151.27;20889.02;32707.98;37022.23;g30;30145.9;32564.64;25781.83;43800.7;43836.27;15635.33;g30;273.35;32103.49;31738.24;12768.83;43836.27;46447.1
g37;3072.13;43471.73;41185.75;7396.19;17975.03;6775.65;g37;20717.58;0;18936.89;34510.52;0;10156.81;g37;405.34;28897.49;41185.75;7396.19;49662.94;6775.65;g37;17392.33;9362.03;41185.75;7396.19;31233.35;6775.65
g45;32730.64;22081.67;3074.37;40251.36;46432.28;25850.52;g45;25328.69;26348.25;3074.37;35056.11;46432.28;10887.16;g45;44578.78;22081.67;3074.37;48918.32;46432.28;49091.8;g45;28579.21;41796.64;44555.37;48080.74;37886.1;5415.96
g49;8282.3;26633.58;24437.69;18208.99;13468.83;45983.08;g49;24392.6;25771.37;37791.01;29453.44;40311.95;23332.6;g49;9644.9;13253.81;11097.37;3303.72;33401.87;38105.75;g49;7210.36;13253.81;48678;3303.72;33401.87;41822.45
g51;13691.85;5364.02;12545.32;37462.88;40760.49;13154.64;g51;50000;40510.75;25003.7;25003.7;45808.9;1133.67;g51;17542.8;0;37910.01;33553.95;50000;32693.41;g51;24701.41;25496.64;25003.7;25003.7;28739.84;31660.74
g53;32557.83;19738.97;32557.83;24012.6;34037.59;32557.83;g53;14284.71;42676.34;21107.61;16472.86;27269.78;28209.4;g53;7682.63;19455.87;25897.58;40149.62;27359.88;25897.58;g53;35925.79;1194.88;33456.67;20862.62;38464.42;16489.17
g60;20258.67;26580.23;19183.38;14355.87;28441.62;31646.49;g60;50000;41383.71;31805.22;31805.22;40273.76;23800.27;g60;6063.19;30267.43;31805.22;31805.22;10367.38;7517.43;g60;45749.74;6014.22;27435.45;19775.43;43192.45;4159.2
g61;22823.39;7181.44;35923.65;1997.37;43886.74;33003.8;g61;27084.82;29150.84;34479.07;26330.11;46859.49;48639.2;g61;13334.03;44540.98;38282.16;4127.09;15366.69;44456.34;g61;4638.99;12247.75;46616.26;39635.1;4305.34;9766.86
g68;7230.62;49599.5;22965.48;824.12;7230.62;7230.62;g68;21725.84;22291.26;41349.37;24217.27;31482.33;14199.28;g68;35470.63;31128.44;6747.93;14995.82;16009.64;47543.71;g68;7230.62;44698.92;33636.76;12690.73;7230.62;7230.62
g69;41103.02;4138.63;15016.93;8685.29;11627.29;31302.22;g69;14467.47;46555.61;15842.19;14711.9;44965.39;30461.79;g69;48651.83;30982.26;30982.26;30982.26;49236.35;2837.11;g69;27360.76;27455.11;27455.11;27455.11;47041.87;35828.86
g73;41801.03;18011.36;45461.52;30902.15;42598.83;11938.13;g73;34449.28;18889.14;29111.29;46140.05;36092.8;37183.64;g73;27642.08;50000;21003.66;32852.41;48086.34;30709.1;g73;24142.26;1774.38;28203.19;8962.97;48086.34;13545.1
g74;1891.85;10640.34;43857.09;25910.42;27142.16;8502.67;g74;8197.64;9295.5;31584.37;28384.41;41795.19;40146.75;g74;21653.88;10257.61;13096.41;10150.09;11986.71;42144.17;g74;3603.28;35711.73;1083.89;29063.65;50000;19182.56
g75;49208.05;28342.34;44841.93;38212.51;9060.71;26175.78;g75;404.99;41166.98;38332.71;49490.17;42650.16;41642.84;g75;37752.73;38867.08;44841.93;38212.51;18510.2;26175.78;g75;19017.25;20885.1;44841.93;38212.51;33657.35;26175.78
