;t0;t0;t0;t0;;t1;t1;t1;t1;;t2;t2;t2;t2;;t3;t3;t3;t3;;
;c2;c7;c8;c9;;c2;c7;c8;c9;;c2;c7;c8;c9;;c2;c7;c8;c9;;
g0;41616.88;41616.88;28196.74;38456.72;g0;32195.98;32195.98;462.74;37654.38;g0;41616.88;41616.88;15523.62;29894.16;g0;6006.62;32195.98;9722.93;2010.3
g3;15358.1;9475.77;36059.72;18440.71;g3;47279.66;25521.33;24616.56;13921;g3;38317.85;15029.33;0;43858.28;g3;48700.44;38656.72;35706.51;7925.91
g5;40899.52;40899.52;10568.72;35849.76;g5;21939.43;10153.34;43349.88;48546.74;g5;40899.52;40899.52;9168.89;43801.25;g5;47109.6;22609.4;37390.56;27247.53
g6;39570.19;44586.34;10740.38;37653.67;g6;25375.43;32670.85;21040.77;32861.62;g6;7207.09;354.68;48944.54;9480.64;g6;48700.44;12443.22;28235.17;17679.59
g7;12535.15;8548.28;29479.58;17031.07;g7;298;298;4450.89;298;g7;46437.22;298;50000;298;g7;298;298;33701.71;298
g16;40454.46;20525.19;5243.48;24570.28;g16;27743.19;27407.75;27743.19;49099.32;g16;17397.11;44503.34;8490.43;27863.54;g16;27743.19;1130.05;27743.19;29490.13
g18;13837.98;38102.05;16335.69;20009.46;g18;47836.42;26244.67;28163.72;44019.71;g18;20693.13;40761.92;28368.86;0;g18;22083.4;18539.3;33536.67;9170.66
g20;6043.57;22579.37;27689.85;27689.85;g20;33258.19;50000;27689.85;27689.85;g20;38282.16;0;44456.34;17464.07;g20;46616.26;43447.99;9766.86;10564.29
g23;29185.48;31363.44;29479.58;20215.44;g23;10817.18;27387.27;4450.89;31963;g23;915.61;42836.35;42830.36;42698.42;g23;1324.1;27548.3;33701.71;11155.06
g24;48004.14;33046.12;40484.61;33435.52;g24;41366.74;10472.97;49189.49;35036.12;g24;47285.27;47285.27;37383.88;19464.36;g24;381.17;381.17;16944.52;28026.36
g26;11316.66;50000;39497.09;25172.1;g26;45756.07;40047.46;50000;4511.94;g26;2010.83;47580.58;39497.09;25172.1;g26;39629.3;45483.41;35964.44;39612.31
g27;1473.38;23250.11;46553.44;38988.15;g27;15697.23;17169.03;15621.5;36703.04;g27;10571.81;10571.81;10571.81;17187.61;g27;34407.3;34407.3;35724.65;5283.84
g35;22996.72;27761.05;27761.05;14349.72;g35;17595.6;36207.56;36207.56;0;g35;29950.45;2382.21;2382.21;11888.43;g35;18405.04;8518.86;0;1077.08
g36;26165.55;48577.48;18868.69;19719.69;g36;19399.12;27763.28;8214.97;3861.84;g36;15437.14;17854.14;50000;15437.14;g36;36857.26;26874.41;6374.9;3089.6
g38;46798.34;5999.39;38088.83;21872.04;g38;11167.73;15583.38;47227.64;41018.73;g38;22595.79;50000;5138.8;17567.55;g38;4175.32;33715.36;47227.64;41018.73
g39;6338.35;6193.42;39707.35;0;g39;50000;19873.7;29924.01;50000;g39;6338.35;6338.35;32265.47;24243.23;g39;18609.39;9760.07;16732.96;36769.74
g40;4037.5;36575.25;8720.83;11732.59;g40;25140.22;30245.67;22581.2;2349.91;g40;5516.18;367.08;19738.07;12257.77;g40;18842.64;40127.58;32593.59;10030.96
g41;2433.61;183;36599.52;36733.22;g41;4345;4345;20062.94;18599.04;g41;19482.92;31303.17;22564.18;10795.14;g41;4345;4345;48935.11;24882.79
g42;29640.84;44699.89;39574.84;17792.33;g42;43280.69;15601.44;18082.86;24835.33;g42;8955.51;0;19508.38;39505.63;g42;17976.06;5985.91;12271.05;35465.51
g43;10130.62;22252.83;10130.62;15527.48;g43;7299.63;7299.63;47278.92;7299.63;g43;7299.63;7299.63;25646.89;31785.76;g43;7299.63;7299.63;23983.84;44252.05
g44;891.47;3480.91;42026.09;41847.93;g44;10220.39;46287.3;2684.71;31081.45;g44;19884.5;3480.91;42026.09;34767.23;g44;13043.6;5242.9;18228.62;5102.98
g46;48949.13;14068.82;10740.38;3231;g46;577.59;15636.73;38545.73;35663.99;g46;577.59;577.59;31110.35;19672.57;g46;577.59;577.59;12314.55;26666.48
g48;35137.32;24726.78;16236.72;39755.71;g48;10287.13;0;9029.17;44482;g48;14809.62;49604.1;3937.38;30724.27;g48;35137.32;24068.94;32526.38;39755.71
g54;46382.68;27761.05;27761.05;27121.92;g54;19004.69;36207.56;36207.56;31507.46;g54;7862.43;2382.21;2382.21;24556.86;g54;3518.94;29450.39;37638.5;21645.16
g59;37289.41;43299.58;13792.86;6505.05;g59;30975.62;39969.22;3171.88;5530.63;g59;23968.91;28052.99;30222.41;34659.98;g59;36677.93;44407.21;18571.92;23422.08
g63;38200.08;13369.76;47543.79;37136.14;g63;50000;10225.45;38316.63;38930.66;g63;28461.62;30467.36;30410.58;27329.65;g63;41773.74;43149.51;36093.72;19723.06
g66;16798.63;3673.72;11794.97;733.16;g66;17168.66;44486.35;23381.92;38935.51;g66;38282.16;6630.55;44456.34;41973.81;g66;46616.26;29612.75;7597.02;49253.83
g70;41713.39;36340.67;29222.47;22403.02;g70;12185.56;10819.56;33666.49;20071.94;g70;29844.66;50000;22048.7;40911.86;g70;0;0;33666.49;26853.6
g77;13938.29;27761.05;27761.05;14402.04;g77;24251.73;36207.56;36207.56;7086.53;g77;46033;2382.21;2382.21;28067.56;g77;43016.52;6179.15;6893.04;32907.7
g80;865.35;35458.41;27896.69;16638.37;g80;2782.11;37298.5;16240.91;32793.47;g80;12056.65;25383.74;2443.08;16638.37;g80;2348.48;44764.51;27871.52;15568.92
g81;28327.09;9721.12;18154.07;28536.6;g81;49028.44;19673.29;11201.47;41915.54;g81;38282.16;35041.04;44456.34;31673.39;g81;46616.26;48403.32;9766.86;33631.88
g85;16550.08;50000;32771.29;0;g85;15621.94;15621.94;4744.61;2458.31;g85;15621.94;15621.94;3954.8;42588.04;g85;15621.94;15621.94;5771.93;50000
g86;6735.88;6735.88;6735.88;50000;g86;41107.06;39220.65;41107.06;42930.39;g86;367.59;49688.21;294.46;17599.11;g86;6735.88;6735.88;6735.88;138.85
g88;15491.56;15491.56;31355.4;49071.76;g88;50000;4461.15;45587.81;30445.8;g88;15491.56;15491.56;10721.02;0;g88;15061.73;14363.79;31006.42;32962.83
g91;49142.12;31864.72;49790.59;14981.4;g91;0;33919.85;266.84;266.84;g91;17936.39;7705.28;266.84;266.84;g91;32623.44;6358.64;266.84;266.84
g92;20825.4;43009.06;26004.7;29646.66;g92;1420.09;10571.6;9502.01;21249.34;g92;1751.3;3450.32;36699.69;0;g92;32002.18;44757.37;24609.59;45429.32
g95;42680.44;29464.08;3387.04;7149.38;g95;17017.49;29585.36;17017.49;50000;g95;17017.49;5154.78;17017.49;37460.83;g95;7101.01;27734.01;2038.2;32196.21
g96;27335.08;10648.3;42856.51;20809.07;g96;44653.69;598.08;29539.69;9529.46;g96;44653.69;598.08;29539.69;35252.05;g96;44653.69;598.08;29539.69;47569.63
g100;18238.27;0;37739.76;33280.1;g100;3154.39;10777.21;28126.23;36996.54;g100;3154.39;10777.21;28126.23;46568.96;g100;3154.39;10777.21;28126.23;46647.57
g107;27004.03;45840.6;2924.12;10833.53;g107;17017.49;22091.22;19228.67;49810.47;g107;17017.49;46573.43;17017.49;49006.57;g107;50000;50000;3988.86;9670.94
g112;35137.32;24068.94;32379.75;39755.71;g112;31602.91;30275.14;41027.33;21407.79;g112;7273.53;17895.34;36012.4;11725.98;g112;35137.32;24068.94;38337.28;39755.71
g114;50000;36595.89;29479.58;17782.49;g114;14542.46;45911.08;4450.89;40892.79;g114;14944.53;26038.57;5434.16;31327.48;g114;5041.14;45867.64;35573.18;0
g115;6536.2;27761.05;27761.05;33007.56;g115;16625.36;36207.56;36207.56;22818.06;g115;37022.78;2382.21;4815.03;28414.67;g115;50000;10806.26;44836.98;14024.94
g116;40858.88;23804.71;31843.03;34350.95;g116;10164.48;25661.56;40146.75;37237.38;g116;38152.44;47915.89;4942.57;48085.53;g116;41622.42;19208.05;50000;48085.53
g118;30590.13;15498.24;6604.25;19281.67;g118;12847.45;44686.64;16059.5;25348.26;g118;40988.12;8093.1;0;30955.18;g118;34473.41;28445.47;22088.32;17212.44
g119;26290.07;34077.46;27420.44;8421.49;g119;26336.43;50000;29869.14;10563.58;g119;15437.14;25477.99;26245.46;15437.14;g119;5915.88;23987.02;43509.78;228.74
g120;46193.89;22604.74;29794.74;34616.46;g120;43852.66;22915.62;25682;25850.07;g120;5070.06;39744.9;2336.33;39647.46;g120;700.93;11083.6;25682;25682
g124;35594.54;48537.4;46434.81;33671.11;g124;2100.06;38634.41;32489.04;4472.54;g124;14329.64;36334.3;32489.04;21796.8;g124;35594.54;9960.13;46145.07;35594.54
g126;41945.81;12847.07;19172.25;35961.15;g126;36072.99;48635.63;47227.64;41018.73;g126;13866.65;40431.58;15193.5;22095.04;g126;21922.58;47544.2;47227.64;41018.73
g128;35137.32;24068.94;0;39755.71;g128;40666.99;22161.3;32489.04;32770.9;g128;42843.81;4803.93;32489.04;43888.13;g128;35137.32;24068.94;24634.38;39755.71
g131;44660.25;36081.84;29055.99;31196.58;g131;4338.52;26494.05;40146.75;18699.24;g131;48023.04;48023.04;48023.04;47619.91;g131;34150.21;34150.21;34150.21;27444.52
g132;8588.47;11221.28;26864.55;18485.18;g132;22010.78;44080.89;39306.89;32454.96;g132;22103.64;42738.77;42964.53;29896.8;g132;5899.96;23067.72;32361.24;1399.81
g135;30285.64;14435.24;4120.21;41260.87;g135;24884.19;40622.73;25682;25682;g135;35509.51;16762.79;31470.55;9723.81;g135;40897.01;4843.43;25682;25682
g137;16581.1;50000;14509.14;577.25;g137;46663.13;33366.44;45180.08;32259.8;g137;16581.1;29837.87;14509.14;24281.81;g137;16581.1;9356.31;14509.14;21577.05
g139;21171.09;41774.57;26237.7;45367.23;g139;29367.81;38597.55;32192.68;37139.42;g139;40454.5;21697.34;10626.52;11645.06;g139;9415.38;44382.51;33666.49;38296.52
g140;25788.45;37305.93;30086.78;13316.27;g140;8340.67;24163.89;33666.49;25288.64;g140;45229.28;13147.07;18367.17;12861.68;g140;36850.34;372.77;33666.49;404.52
g142;35933.51;46690.83;12607.12;23383.01;g142;49900.21;11876.06;34359.58;11669.24;g142;30647.51;2936.72;29954.66;13462.95;g142;16831.48;30912.03;0;49041.88
g143;31691.36;10730.58;31691.36;48271.73;g143;10372.77;17740.17;38379.44;0;g143;49496.7;50000;13292.86;33233.68;g143;31691.36;718.68;31691.36;0
g145;26329.11;35392.73;18225.75;0;g145;21432.85;21432.85;48859.3;19628.38;g145;23544.1;38328.65;33906.46;5119.24;g145;21432.85;21432.85;33046.71;32016.1
