;t0;t0;t0;t0;t0;;t1;t1;t1;t1;t1;;t2;t2;t2;t2;t2;;t3;t3;t3;t3;t3;;
;c1;c2;c3;c4;c8;;c1;c2;c3;c4;c8;;c1;c2;c3;c4;c8;;c1;c2;c3;c4;c8;;
g6;10901.01;39570.19;10740.38;18418.38;10740.38;g6;25375.43;25375.43;25375.43;25492.23;21040.77;g6;46892.6;7207.09;23217.45;0;48944.54;g6;48700.44;48700.44;48700.44;48700.44;28235.17
g7;2530.82;12535.15;22605.69;905.24;29479.58;g7;298;298;7443.15;27975.06;4450.89;g7;298;46437.22;41217.95;37947.98;50000;g7;298;298;14290.86;38741.74;33701.71
g8;28003.97;25414.95;4455.64;50000;44704.62;g8;12270.09;31805.22;31805.22;40833.78;45779.41;g8;568.03;31805.22;31805.22;38410.69;4231.92;g8;38979.6;49173.03;42136.17;23352.64;48955.48
g14;41848.94;2019.18;34824.91;50000;4990.56;g14;21286.51;33885.82;29574.71;29574.71;2904.16;g14;50000;3069.2;41113.86;41113.86;43310.09;g14;4312.91;0;15848.9;15848.9;16326.68
g17;10054.57;14300.6;2905.62;31823.34;5764.43;g17;13352.78;36623.4;36623.4;40200.2;47227.64;g17;40514.37;8182.86;8182.86;50000;33172.05;g17;28982.51;14296.57;27153.71;40200.2;47227.64
g20;45609.04;6043.57;28964.06;27689.85;27689.85;g20;11351.26;33258.19;25393.97;27689.85;27689.85;g20;27680.98;38282.16;4127.09;43722.33;44456.34;g20;44326.37;46616.26;39635.1;33805.83;9766.86
g23;48566.51;29185.48;14247.41;0;29479.58;g23;34863.75;10817.18;30819.88;27975.06;4450.89;g23;915.61;915.61;33939.25;915.61;42830.36;g23;31089.6;1324.1;29964.64;38741.74;33701.71
g24;2921.29;48004.14;46975.58;39973.28;40484.61;g24;44373.2;41366.74;41395.87;15688.88;49189.49;g24;8195.65;47285.27;31443.36;18472.14;37383.88;g24;19938.79;381.17;8127.7;47246.65;16944.52
g25;22081.67;3074.37;18239.58;46432.28;42234.56;g25;22081.67;3074.37;12979.38;46432.28;50000;g25;22081.67;3074.37;4831.25;46432.28;16813.7;g25;24738.35;36937.11;19196.51;5375.74;18396.65
g32;3379.53;16299.4;6415.91;41529.99;49819.68;g32;29186.48;27853.57;27512.75;12022.17;20965.26;g32;50000;23685.11;45076.99;1313.91;20965.26;g32;38656.01;35331.28;12866.51;49548.55;20965.26
g33;43911.12;8774.16;29724.53;2157.23;13873.68;g33;19219.37;36623.4;36623.4;19391.07;26445.15;g33;3575.26;8182.86;8182.86;18125.17;48503.76;g33;4846.34;1942.56;40086.41;4654.41;16450.91
g39;17876.4;6338.35;6338.35;6338.35;39707.35;g39;35968.32;50000;8905.47;34262.3;29924.01;g39;4421.69;6338.35;6338.35;6338.35;32265.47;g39;0;18609.39;19198.48;37627.68;16732.96
g46;49500.06;48949.13;11642.47;10241.81;10740.38;g46;577.59;577.59;577.59;21982.72;38545.73;g46;577.59;577.59;577.59;0;31110.35;g46;577.59;577.59;5899.18;45974.67;12314.55
g48;16520.6;35137.32;50000;10162.67;16236.72;g48;26800.87;10287.13;15848.5;31148.66;9029.17;g48;17797.52;14809.62;29848.55;33190.26;3937.38;g48;22176.35;35137.32;6487.48;10162.67;32526.38
g49;26633.58;24437.69;18208.99;13468.83;45983.08;g49;25771.37;37791.01;29453.44;40311.95;23332.6;g49;13253.81;11097.37;3303.72;33401.87;38105.75;g49;13253.81;48678;3303.72;33401.87;41822.45
g52;31279.84;19967.13;694.33;25417.47;39497.09;g52;25375.43;25375.43;25375.43;25375.43;30923.75;g52;14633.42;39423.84;694.33;6103.6;39497.09;g52;48700.44;48700.44;48700.44;48700.44;8680.22
