t;s;g;el
0;1;0;3573.89
0;1;1;22505.82
0;1;2;15499.58
0;1;3;15211.14
0;1;4;6463.66
0;1;5;10430.52
0;1;6;10901.01
0;1;7;2530.82
0;1;8;28003.97
0;1;9;29082.18
0;1;10;16669.68
0;1;11;22419.24
0;1;12;8500.98
0;1;13;2921.29
0;1;14;41848.94
0;1;15;47230.63
0;1;16;7356.03
0;1;17;10054.57
0;1;18;31609.74
0;1;19;4007.69
0;1;20;45609.04
0;1;21;10130.62
0;1;22;28857.06
0;1;23;48566.51
0;1;24;2921.29
0;1;25;22081.67
0;1;26;1559.34
0;1;27;3936.13
0;1;28;8500.98
0;1;29;8500.98
0;1;30;39357.91
0;1;31;39383.97
0;1;32;3379.53
0;1;33;43911.12
0;1;34;19236.97
0;1;35;34022.43
0;1;36;44348.02
0;1;37;43471.73
0;1;38;45941.19
0;1;39;17876.4
0;1;40;3171.01
0;1;41;12352.58
0;1;42;10744.17
0;1;43;10130.62
0;1;44;4211.05
0;1;45;22081.67
0;1;46;49500.06
0;1;47;36140.63
0;1;48;16520.6
0;1;49;26633.58
0;1;50;1972.5
0;1;51;5364.02
0;1;52;31279.84
0;1;53;19738.97
0;1;54;21409.94
0;1;55;35714.03
0;1;56;33273.76
0;1;57;5165.06
0;1;58;11617.12
0;1;59;35295
0;1;60;26580.23
0;1;61;7181.44
0;1;62;2921.29
0;1;63;37771.81
0;1;64;44791.24
0;1;65;10861.92
0;1;66;22495.52
0;1;67;15278
0;1;68;49599.5
0;1;69;4138.63
0;1;70;48758.65
0;1;71;12964.44
0;1;72;26342.68
0;1;73;18011.36
0;1;74;10640.34
0;1;75;28342.34
0;1;76;43630.56
0;1;77;32135.31
0;1;78;21126.13
0;1;79;21546.1
0;1;80;13350.1
0;1;81;31318.94
0;1;83;35970.22
0;1;84;19024.99
0;1;85;50000
0;1;86;8009.17
0;1;87;8111.9
0;1;88;37268.4
0;1;89;8727.49
0;1;90;46479.74
0;1;91;23174.54
0;1;92;35474.12
0;1;93;43543.49
0;1;94;45844.57
0;1;95;22253.35
0;1;96;12825.88
0;1;97;21108.64
0;1;98;22081.67
0;1;99;34027.91
0;1;100;46719.78
0;1;101;19154.72
0;1;102;9964.43
0;1;103;20253.3
0;1;104;19576.03
0;1;105;48553.66
0;1;106;27145.73
0;1;107;1686.99
0;1;108;47219.94
0;1;109;8500.98
0;1;110;46086.2
0;1;111;25336.16
0;1;112;40556.96
0;1;113;12876.97
0;1;114;47072.84
0;1;115;0
0;1;116;17291.66
0;1;117;48288.18
0;1;118;18887.58
0;1;119;15729.2
0;1;120;29411.78
0;1;121;43834.79
0;1;122;49605.6
0;1;123;1688.65
0;1;124;50000
0;1;125;30981.5
0;1;126;26512.76
0;1;127;28126.5
0;1;128;50000
0;1;129;13292.34
0;1;130;8980.11
0;1;131;41935.9
0;1;132;26734.7
0;1;133;47643.81
0;1;134;12047.46
0;1;135;33650.84
0;1;136;24609.38
0;1;137;0
0;1;138;16892.33
0;1;139;39281.1
0;1;140;41624.02
0;1;141;32570.56
0;1;142;23383.01
0;1;143;31691.36
0;1;144;10130.62
0;1;145;34102.13
0;1;146;34676.54
0;1;147;6037.39
0;1;148;22449.36
0;1;149;10759.99
0;1;150;48194.64
0;1;151;0
0;1;152;18627.14
0;1;153;29449.39
0;1;154;27626.27
0;1;155;8087.65
0;1;156;29400.47
0;1;157;4616.46
0;1;158;30210.67
0;1;159;20334.21
0;1;160;2921.29
0;1;161;19368.44
0;1;162;13866.2
0;1;163;9568.88
0;1;164;27230.39
0;1;165;9211.91
0;1;166;7295.21
0;1;167;12085.55
0;1;168;10016.05
0;1;169;21872.11
0;1;170;14758.58
0;1;171;25627.78
0;1;172;40603.1
0;1;173;38244.86
0;1;174;32408.84
0;1;175;70.78
0;1;176;25031.63
0;1;177;42053.68
0;1;178;37269.33
0;1;179;37269.03
0;1;180;154.4
0;1;181;8500.98
0;1;182;41268.71
0;1;183;3863.48
0;1;184;12079.35
0;1;185;2898.24
0;1;186;26971.44
0;1;187;9092.06
0;1;188;46491.78
0;1;189;33943.19
0;1;190;4433.46
0;1;191;24627.66
0;1;192;43040.73
0;1;193;25175.98
0;1;194;6291.02
0;1;331;41523.35
0;4;0;41616.88
0;4;1;22505.82
0;4;2;21916.26
0;4;3;38816.04
0;4;4;42134.81
0;4;5;40899.52
0;4;6;18418.38
0;4;7;905.24
0;4;8;50000
0;4;9;10741.19
0;4;10;48418.38
0;4;11;40927.51
0;4;12;6205.12
0;4;13;22672.28
0;4;14;50000
0;4;15;24545.98
0;4;16;19637.3
0;4;17;31823.34
0;4;18;48064.54
0;4;19;48204.68
0;4;20;27689.85
0;4;21;20829.8
0;4;22;18194.36
0;4;23;0
0;4;24;39973.28
0;4;25;46432.28
0;4;26;4265.53
0;4;27;25891.02
0;4;28;36124.49
0;4;29;17184.04
0;4;30;39655.4
0;4;31;22638.47
0;4;32;41529.99
0;4;33;2157.23
0;4;34;19244.43
0;4;35;9250.45
0;4;36;24185.72
0;4;37;17975.03
0;4;38;13838.17
0;4;39;6338.35
0;4;40;5870.88
0;4;41;23213.63
0;4;42;0
0;4;43;31907.13
0;4;44;25374.75
0;4;45;46432.28
0;4;46;10241.81
0;4;47;35594.54
