t;s;g;el
3;0;25;2.4476
3;0;534;7.6063
3;0;535;11.4391
3;0;536;9.1576
3;0;537;4.5717
3;0;538;14.8172
3;0;539;6.5062
3;0;540;12.3722
3;0;541;3.3855
3;0;542;2.953
3;0;543;1.17
3;0;544;6.7448
3;0;545;6.5084
3;0;546;5.6773
3;0;547;10.8937
3;0;548;11.7074
3;0;549;7.9584
3;0;550;2.131
3;0;551;10.4381
3;0;552;5.4207
3;0;553;12.7757
3;0;554;1.6843
3;0;555;4.6364
3;0;556;5.9198
3;0;557;14.0894
3;0;558;14.8383
3;0;559;10.5128
3;0;560;9.342
3;0;561;3.5733
3;0;562;1.5593
3;0;563;7.0845
3;0;564;14.382
3;0;565;12.3752
3;0;566;12.5697
3;0;567;6.204
3;0;568;4.435
3;0;569;11.7451
3;0;570;5.4917
3;0;571;11.4691
3;0;572;2.4595
3;0;573;14.03
3;0;574;4.4937
3;0;575;8.4066
3;0;576;5.607
3;0;577;2.5163
3;0;578;9.5441
3;0;579;9.723
3;0;580;14.959
3;0;581;13.9201
3;0;582;10.4292
3;0;583;1.4826
3;0;584;10.438
3;0;585;6.1126
3;0;587;4.4248
3;0;588;3.361
3;0;589;14.4077
3;0;590;13.7873
3;0;591;4.4713
3;0;592;9.2905
3;0;593;9.0338
3;0;594;14.0283
3;0;595;11.0258
3;0;596;9.4875
3;0;597;3.2447
3;0;598;8.6854
3;0;599;14.7094
3;0;600;11.4395
3;0;601;2.1131
3;0;602;10.7747
3;0;603;5.5663
3;0;604;8.9902
3;0;605;9.4338
3;0;606;4.2214
3;0;607;3.5803
3;0;608;7.2634
3;0;609;13.8613
3;0;610;11.9597
3;0;611;4.018
3;0;612;13.3593
3;0;613;11.2428
3;0;614;11.1298
3;0;615;9.5233
3;0;616;11.9329
3;0;617;8.6554
3;0;618;14.5041
3;0;619;4.6076
3;0;620;11.6517
3;0;621;3.6137
3;0;622;10.1903
3;0;623;4.7885
3;0;624;7.3585
3;0;625;10.6446
3;0;626;1.6014
3;0;627;11.8767
3;0;628;1.8913
3;0;629;13.0181
3;0;630;2.733
3;0;631;13.8244
3;0;632;11.0089
3;0;633;2.0729
3;0;634;14.7842
3;0;635;1.0611
3;0;636;3.4329
3;0;637;3.0062
3;0;638;10.7989
3;0;639;3.1603
3;0;640;10.0915
3;0;641;2.5328
3;0;642;9.263
3;0;643;4.9282
3;0;644;10.7377
3;0;645;10.0733
3;0;646;2.399
3;0;647;5.9729
3;0;648;5.1989
3;0;649;13.3119
3;0;650;7.8457
3;0;651;8.9144
3;0;652;7.6792
3;0;653;14.3216
3;0;654;10.939
3;0;655;5.5336
3;0;656;2.3192
3;0;657;2.2624
3;0;658;7.8819
3;0;659;7.7091
3;0;660;14.9917
3;0;661;9.3947
3;0;662;9.6329
3;0;663;2.1978
3;0;664;12.2189
3;0;665;8.0906
3;0;666;4.3974
3;0;667;5.0927
3;3;25;4.3796
3;3;534;6.6447
3;3;535;15.8486
3;3;536;22.3254
3;3;537;20.0359
3;3;538;13.9959
3;3;539;18.0452
3;3;540;0.4377
3;3;541;21.0447
3;3;542;12.7714
3;3;543;5.5827
3;3;544;7.5944
3;3;545;24.767
3;3;546;4.0681
3;3;547;11.6498
3;3;548;22.1325
3;3;549;13.5212
3;3;550;6.3214
3;3;551;6.0768
3;3;552;10.5783
3;3;553;6.8625
3;3;554;5.7225
3;3;555;1.6851
3;3;556;24.3606
3;3;557;20.8421
3;3;558;3.4972
