ID	Pop.total	Pop.term	Study.total	Study.term	p	p.adjusted	p.min	name
GO:0000000	6178	5560	170	147	0.9488796738973542	1.0	0.0	"root"
GO:0000001	6178	29	170	1	0.5556056989138531	1.0	1.0978276143602658E-79	"mitochondrion inheritance"
GO:0000002	6178	45	170	1	0.7163961937771499	1.0	3.625916929173886E-115	"mitochondrial genome maintenance"
GO:0000003	6178	490	170	17	0.18977440123621026	1.0	0.0	"reproduction"
GO:0032774	6178	770	170	20	0.6455985443606137	1.0	0.0	"RNA biosynthetic process"
GO:0032777	6178	6	170	1	0.15421054581691382	1.0	1.2980751612755431E-20	"Piccolo NuA4 histone acetyltransferase complex"
GO:0032784	6178	52	170	3	0.17141281925476173	1.0	7.516769299407848E-130	"regulation of DNA-templated transcription, elongation"
GO:0000018	6178	27	170	1	0.529982165437083	1.0	5.114450318230899E-75	"regulation of DNA recombination"
GO:0032786	6178	49	170	3	0.15133485404792035	1.0	1.3044996159050566E-123	"positive regulation of DNA-templated transcription, elongation"
GO:0032787	6178	176	170	2	0.9579832314130765	1.0	0.0	"monocarboxylic acid metabolic process"
GO:0032790	6178	4	170	1	0.10563222862338652	1.0	1.6490790983396384E-14	"ribosome disassembly"
GO:0016407	6178	61	170	2	0.5040534577971598	1.0	3.9160473451005534E-148	"acetyltransferase activity"
GO:0016410	6178	51	170	2	0.4118104893009519	1.0	8.85677798026569E-128	"N-acyltransferase activity"
GO:0000026	6178	13	170	1	0.30447795709361697	1.0	3.3017518341544422E-40	"alpha-1,2-mannosyltransferase activity"
GO:0000030	6178	45	170	2	0.3526186757530294	1.0	3.625916929173886E-115	"mannosyltransferase activity"
GO:0000032	6178	23	170	1	0.47424673640948867	1.0	1.7410024921125108E-65	"cell wall mannoprotein biosynthetic process"
GO:0016422	6178	1	170	1	0.02751699579140215	1.0	1.6186468112627334E-4	"mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity"
GO:0016423	6178	8	170	1	0.20016497176632947	1.0	1.908562572615925E-26	"tRNA (guanine) methyltransferase activity"
GO:0000041	6178	49	170	1	0.746564577243327	1.0	1.3044996159050566E-123	"transition metal ion transport"
GO:0016427	6178	2	170	1	0.054281138694603236	1.0	5.2408833131183764E-8	"tRNA (cytosine) methyltransferase activity"
GO:0016428	6178	1	170	1	0.02751699579140215	1.0	1.6186468112627334E-4	"tRNA (cytosine-5-)-methyltransferase activity"
GO:0000045	6178	29	170	1	0.5556056989138531	1.0	1.0978276143602658E-79	"autophagosome assembly"
GO:0000049	6178	33	170	3	0.061144333187006884	1.0	7.548956042874796E-89	"tRNA binding"
GO:0000054	6178	49	170	2	0.39235030351189304	1.0	1.3044996159050566E-123	"ribosomal subunit export from nucleus"
GO:0000056	6178	14	170	1	0.3236569915309165	1.0	7.497895487143899E-43	"ribosomal small subunit export from nucleus"
GO:0000062	6178	3	170	1	0.08031290786898423	1.0	2.5457658580480047E-11	"fatty-acyl-CoA binding"
GO:0000070	6178	123	170	2	0.8578945089759301	1.0	2.1933652665172294E-261	"mitotic sister chromatid segregation"
GO:0016458	6178	158	170	6	0.26823770731800844	1.0	1.560877E-318	"gene silencing"
GO:0000075	6178	87	170	2	0.6966269655102324	1.0	6.085129478386752E-198	"cell cycle checkpoint"
GO:0032844	6178	28	170	1	0.542972416106354	1.0	2.3281516649334116E-77	"regulation of homeostatic process"
GO:0000077	6178	31	170	1	0.5798401076267276	1.0	2.7007149428206348E-84	"DNA damage checkpoint"
GO:0016462	6178	426	170	8	0.9088209569691301	1.0	0.0	"pyrophosphatase activity"
GO:0000082	6178	64	170	2	0.5298738645180439	1.0	4.2791521454362524E-154	"G1/S transition of mitotic cell cycle"
GO:0000086	6178	32	170	1	0.5914599517274172	1.0	1.405935873923537E-86	"G2/M transition of mitotic cell cycle"
GO:0000096	6178	52	170	1	0.7670769102777042	1.0	7.516769299407848E-130	"sulfur amino acid metabolic process"
GO:0000097	6178	42	170	1	0.6914508083152311	1.0	9.83394769132953E-109	"sulfur amino acid biosynthetic process"
GO:0016482	6178	79	170	3	0.371158814626524	1.0	4.922224260320552E-183	"cytosolic transport"
GO:0000099	6178	5	170	1	0.13025848731111664	1.0	1.3355029950948291E-17	"sulfur amino acid transmembrane transporter activity"
GO:0016485	6178	47	170	1	0.7319019066756656	1.0	2.084483341804701E-119	"protein processing"
GO:0000101	6178	4	170	1	0.10563222862338652	1.0	1.6490790983396384E-14	"sulfur amino acid transport"
GO:0016491	6178	333	170	9	0.57188355605123	1.0	0.0	"oxidoreductase activity"
GO:0032879	6178	147	170	7	0.1099592427227177	1.0	5.534815809084123E-301	"regulation of localization"
GO:0032880	6178	65	170	4	0.10312481587553125	1.0	4.54931124389748E-156	"regulation of protein localization"
GO:0000118	6178	33	170	1	0.6027602784772983	1.0	7.548956042874796E-89	"histone deacetylase complex"
GO:0000122	6178	147	170	3	0.775987330372812	1.0	5.534815809084123E-301	"negative regulation of transcription from RNA polymerase II promoter"
GO:0000123	6178	50	170	4	0.04783466429603145	1.0	1.0642026561407865E-125	"histone acetyltransferase complex"
GO:0000124	6178	20	170	2	0.10354872301953322	1.0	3.8241685939355216E-58	"SAGA complex"
GO:0016514	6178	12	170	1	0.28475835280958484	1.0	1.5660462930279868E-37	"SWI/SNF complex"
GO:0000131	6178	60	170	3	0.22811514235904418	1.0	3.9276028946387107E-146	"incipient cellular bud site"
GO:0000139	6178	144	170	3	0.7638456569627056	1.0	3.905394802944165E-296	"Golgi membrane"
GO:0000142	6178	12	170	1	0.28475835280958484	1.0	1.5660462930279868E-37	"cellular bud neck contractile ring"
GO:0000145	6178	8	170	1	0.20016497176632947	1.0	1.908562572615925E-26	"exocyst"
GO:0000147	6178	15	170	2	0.06251222187711947	1.0	1.8246014326231625E-45	"actin cortical patch assembly"
GO:0000149	6178	28	170	2	0.17924539733225692	1.0	2.3281516649334116E-77	"SNARE binding"
GO:0000151	6178	84	170	1	0.9055739813834383	1.0	2.1643461334368525E-192	"ubiquitin ligase complex"
GO:0000152	6178	24	170	1	0.4887679475871731	1.0	6.788636849792917E-68	"nuclear ubiquitin ligase complex"
GO:0000165	6178	33	170	1	0.6027602784772983	1.0	7.548956042874796E-89	"MAPK cascade"
GO:0000166	6178	901	170	20	0.8804413881974944	1.0	0.0	"nucleotide binding"
GO:0032940	6178	67	170	1	0.8473611152459877	1.0	5.384267735282281E-160	"secretion by cell"
GO:0016556	6178	9	170	1	0.2222025657357164	1.0	2.78396485469723E-29	"mRNA modification"
GO:0000173	6178	6	170	1	0.15421054581691382	1.0	1.2980751612755431E-20	"inactivation of MAPK activity involved in osmosensory signaling pathway"
GO:0016558	6178	22	170	1	0.4593155545141758	1.0	4.659831018001235E-63	"protein import into peroxisome matrix"
GO:0016559	6178	8	170	2	0.01889924298954114	1.0	1.908562572615925E-26	"peroxisome fission"
GO:0000175	6178	13	170	1	0.30447795709361697	1.0	3.3017518341544422E-40	"3'-5'-exoribonuclease activity"
GO:0000176	6178	16	170	1	0.36045188460887934	1.0	4.736917559957599E-48	"nuclear exosome (RNase complex)"
GO:0000177	6178	14	170	1	0.3236569915309165	1.0	7.497895487143899E-43	"cytoplasmic exosome (RNase complex)"
GO:0000178	6178	19	170	1	0.4119455304141387	1.0	1.1776527184989673E-55	"exosome (RNase complex)"
GO:0032947	6178	25	170	2	0.14982957030215827	1.0	2.7578147748486836E-70	"protein complex scaffold"
GO:0016567	6178	132	170	3	0.7099452723499985	1.0	1.8567830572986262E-276	"protein ubiquitination"
