;t4;t4;t4;t4;;t5;t5;t5;t5;;t6;t6;t6;t6;;t7;t7;t7;t7;;t8;t8;t8;t8;;t9;t9;t9;t9;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g1054;0.16;0.94;-0.55;-0.1;g1054;-0.18;-1.15;0.18;-0.16;g1054;0.29;-0.02;0.1;-0.12;g1054;-0.04;0.35;-0.67;-0.16;g1054;0.17;-0.15;0.06;-0.08;g1054;0.17;-0.55;0.03;-0.18
g1055;-0.24;-0.48;-0.92;-0.2;g1055;-0.37;-0.24;-0.35;-0.07;g1055;0.08;0.22;0.05;-0.55;g1055;-0.22;0;-0.52;-0.03;g1055;0;-1;-0.11;0.13;g1055;0.35;-1.48;-0.35;-0.1
g1056;0.28;0.36;0.34;-0.43;g1056;0.02;-0.29;-0.07;-0.46;g1056;0.52;0.02;-0.16;-0.26;g1056;0.33;-0.29;-0.29;-0.03;g1056;0.17;-0.77;-0.37;0;g1056;-0.14;-0.2;0.1;0.02
g1057;0.19;0.33;0.45;0.76;g1057;0.5;0.22;-0.03;0.5;g1057;0.17;-0.04;0.26;0.33;g1057;-0.45;0.04;0.16;0.19;g1057;0.2;-0.74;-0.21;-0.11;g1057;0.13;-0.41;-0.15;0.56
g1058;0.09;0.63;0.08;-0.16;g1058;0.09;-0.42;0.31;-0.18;g1058;0.41;0.2;0.12;-0.04;g1058;0.2;-0.28;0.03;0.24;g1058;0.21;0.16;0.09;0.13;g1058;0.03;-0.28;-0.17;0
g1059;0.26;0.04;-0.31;0.18;g1059;-0.15;0.56;-0.12;0.22;g1059;0.23;0.1;-0.08;-0.15;g1059;-0.31;0.15;-0.11;0.29;g1059;-0.03;-1.29;0.04;0.22;g1059;-0.15;0.14;0.18;0.2
g1060;0.18;-0.05;0.05;-0.26;g1060;-0.01;-0.36;-0.05;-0.26;g1060;0.15;-0.28;-0.22;-0.18;g1060;-0.08;-0.33;-0.18;-0.11;g1060;-0.07;-0.44;-0.19;-0.11;g1060;-0.17;0.08;0.28;-0.26
g1061;-0.04;0.66;0.24;0.34;g1061;-0.31;0.37;-0.36;0.3;g1061;0.14;0.58;-0.08;-0.02;g1061;-0.19;0.12;-0.15;0.32;g1061;0.1;-0.18;-0.36;0.18;g1061;0.11;0.35;-1.9;0.36
g1062;0.15;0.91;-0.18;0.06;g1062;0.07;-0.72;-0.03;0.08;g1062;0.32;0.08;-0.25;-0.08;g1062;0.22;0.11;0.21;-0.25;g1062;0;0.39;0.1;-0.1;g1062;-0.16;-0.3;-0.69;-0.1
g1063;-0.29;-0.16;-0.48;0.25;g1063;0.4;0;0.19;0.06;g1063;-0.37;0.09;-0.1;0.22;g1063;0.18;0;0.06;0;g1063;-0.13;0;0.22;-0.1;g1063;-0.04;0;-0.11;-0.13
g5991;0.28;-0.42;-0.77;0.33;g5991;-0.05;-0.64;-0.46;0.24;g5991;-0.04;-0.53;-1.82;0.4;g5991;-0.42;-0.12;-1.86;0.1;g5991;-0.2;-0.27;-0.1;0.34;g5991;-0.18;0.34;0.94;0.33
