;t1;t1;t1;t1;;t3;t3;t3;t3;;t7;t7;t7;t7;;t8;t8;t8;t8;;t10;t10;t10;t10;;t11;t11;t11;t11;;t12;t12;t12;t12;;t13;t13;t13;t13;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g0;-0.15;0.09;-0.77;-0.12;g0;0.17;0.03;-0.19;0.18;g0;0.24;-0.44;-0.07;0.37;g0;-0.1;-0.09;-0.01;0.07;g0;0.18;0.06;0.27;-0.32;g0;0.42;-0.04;0.49;0.04;g0;-0.25;0.31;0.85;-0.48;g0;-0.01;0.59;0.66;0.04
g105;0.02;0.35;0.22;-0.13;g105;0.06;-1.01;0.05;0.07;g105;1.25;-0.84;0.15;0.07;g105;0.3;0.37;0.01;-0.23;g105;-0.39;0.58;0.18;-0.08;g105;0.28;-0.28;-0.08;-0.21;g105;0.02;0.46;0.05;-0.62;g105;-0.33;-0.66;-0.61;0.17
g152;-0.02;0;-0.58;-0.17;g152;-0.13;-0.31;0.19;0.19;g152;-0.04;-0.56;-0.16;-0.02;g152;-0.13;0.33;-0.13;0.17;g152;-0.01;0.4;0.12;-0.2;g152;0.06;-0.03;0.11;0.24;g152;0.1;0.64;0;0.24;g152;0.01;-0.18;0.01;0.04
g177;0.72;-0.16;0.65;-0.43;g177;-0.23;-1.22;0.6;0.16;g177;-0.1;-0.85;-0.49;-0.06;g177;-0.07;0.71;-0.75;0.41;g177;0.82;0.29;-0.17;-0.15;g177;0;0;-0.03;0.1;g177;-0.01;0.72;-0.17;-0.99;g177;-0.5;0;0.01;-0.08
g205;0.35;0.2;0.39;0.08;g205;-0.7;-0.45;-0.24;-0.03;g205;-0.05;-0.5;0.13;0.26;g205;-0.08;-0.08;-0.22;0.14;g205;-0.14;0.09;-0.09;-0.37;g205;0.32;-0.17;-0.11;0.76;g205;0.25;0.26;0;-0.27;g205;-0.03;-0.3;-0.11;-0.14
g220;-0.43;0.14;-0.3;-0.11;g220;-0.13;0.07;-0.23;0.36;g220;0;0.04;0.53;0.03;g220;-0.09;0.12;0.36;0.21;g220;0.21;-0.1;0.07;-0.03;g220;0;0.09;-0.04;0.06;g220;-0.29;-0.23;0.2;-0.01;g220;0;-0.12;-0.13;-0.2
g286;-0.06;0.46;0.31;0.03;g286;-0.13;0.05;-0.09;-0.23;g286;-0.16;0.08;0.14;-0.53;g286;0.14;-0.1;0.1;-0.07;g286;0.04;-0.12;-0.12;0.18;g286;0.2;-0.19;-0.28;0.15;g286;-0.11;-0.21;-0.05;-0.06;g286;-0.13;0.22;0;0.18
g287;0.25;0;-0.38;-0.18;g287;0.21;0;-0.67;-0.03;g287;0.16;0;-0.08;-0.22;g287;-0.13;0;0.09;0.45;g287;0.03;0;0.38;-0.44;g287;-0.26;0;0.31;0.5;g287;-0.21;0;0.21;-0.63;g287;-0.13;0;0.01;-0.18
g336;-0.67;0.21;-0.3;-0.44;g336;-0.14;0;-0.18;-0.38;g336;0;0;-0.33;0.7;g336;0.18;2.56;-0.57;0.39;g336;0.1;0.07;0.13;0;g336;0;0.14;0;0.52;g336;0.08;0;-0.41;0.2;g336;0.01;0.17;0.38;0.32
g388;1.62;2.22;-0.22;-0.43;g388;-0.85;-1.34;-0.95;-0.28;g388;0;-0.65;-0.26;-0.72;g388;-2.13;0.2;-0.01;-0.43;g388;1.03;1.6;1.12;0.53;g388;1.31;1.19;0.6;0.72;g388;1.15;0.41;0.04;1.35;g388;0.31;-0.02;0.07;0.99
g475;-0.46;0.4;-1;-0.15;g475;-0.48;-0.2;-0.32;0.32;g475;0.18;-0.33;-0.29;-0.11;g475;-0.05;-0.04;-0.12;-0.17;g475;0.39;0.06;0.38;0.04;g475;0.23;-0.37;0.54;-0.13;g475;0.3;0.1;0.4;-0.08;g475;0.48;-0.16;0.11;-0.25
g498;-0.92;1.54;0.83;-0.38;g498;-0.19;0;0.06;0.43;g498;0.13;0;0.37;0.4;g498;0.32;-0.51;-0.1;0.07;g498;-0.05;-0.39;-0.4;-0.06;g498;0.27;0;-0.58;-0.46;g498;0.23;-0.56;-0.28;-0.5;g498;-0.22;0;-0.24;0.16
g537;0.15;0;0.03;0.05;g537;0;0;0.21;0.1;g537;0.12;0;0.12;0.18;g537;0.16;0;0.21;-0.89;g537;-0.04;0;0.12;-0.05;g537;0.07;0;0.12;-0.28;g537;-0.12;0;0.49;-0.09;g537;-0.01;0;0.42;0.13
g579;0.03;-0.01;0.07;-0.03;g579;-0.19;-0.12;-0.47;0.25;g579;0.15;0.12;-0.07;-0.26;g579;-0.03;-0.15;0.08;-0.07;g579;-0.05;-0.29;0.17;0.2;g579;0;0.34;0.35;-0.13;g579;0.03;-0.17;0.04;-0.33;g579;-0.12;-0.19;-0.22;0.01
g629;0.18;-1.81;-0.81;0.64;g629;0.17;-0.81;-0.5;0.23;g629;-0.06;0.11;-0.34;-0.2;g629;0.1;0.67;-0.66;-0.24;g629;0.25;0.31;0.37;-0.56;g629;-0.25;0.11;0;-0.02;g629;-0.28;0.62;-0.55;0.3;g629;-0.3;-0.14;0.44;0.54
g638;0;-0.1;-0.09;0.36;g638;-0.21;-0.65;0.18;-0.46;g638;0.25;0.03;0.03;-0.77;g638;0.28;0.17;-0.32;-0.25;g638;0;0.14;-0.35;-0.06;g638;0.01;-0.59;-0.32;0.36;g638;0.04;0.27;0.16;-0.13;g638;-0.19;-0.37;0.2;-0.46
g659;0.39;-0.57;0.47;0.02;g659;0.04;-0.33;-0.42;0.34;g659;-0.31;0.69;0.25;-0.18;g659;-0.04;0.54;0.11;0.09;g659;-0.2;-0.35;-0.11;-0.05;g659;0.26;-0.31;-0.23;-0.3;g659;0.04;-0.44;0;-0.28;g659;-0.2;-0.7;-0.39;0
g699;0.43;0.2;0.54;-0.13;g699;-0.01;-0.18;0.14;-0.2;g699;-0.14;-0.33;0.46;0.2;g699;-0.02;0.12;0.39;0.31;g699;-0.26;-0.14;0.05;-0.09;g699;-0.01;-0.2;-0.07;0.13;g699;0.03;-0.01;0.37;0.36;g699;-0.1;0.18;-0.51;0.15
g789;-0.16;0.59;0.67;0.08;g789;0.07;0.12;0.1;-0.02;g789;-0.39;0.22;-0.17;0.18;g789;-0.04;-0.69;-0.1;0.05;g789;0;0;-0.08;-0.09;g789;0.07;0.22;-0.18;-0.11;g789;0.42;-0.24;-0.17;-0.09;g789;-0.12;0.1;0.06;-0.04
g864;-0.22;0.33;-0.08;-0.11;g864;0.02;0.41;0.1;-0.35;g864;0.08;0.49;0.05;0.12;g864;0.18;-0.26;-0.26;0.19;g864;-0.03;-0.77;-0.06;0.13;g864;-0.07;0.11;-0.32;0.23;g864;0.09;-0.53;0.28;0.04;g864;-0.36;0.09;0;0.04
g873;0.35;0;-0.19;0.03;g873;-0.01;0;-0.16;-0.26;g873;-0.14;-1.23;-0.12;0.22;g873;0.11;0;-0.38;0.17;g873;0.04;0;0.25;-0.16;g873;-0.06;0;-0.02;0.07;g873;0.08;0;-0.45;0.24;g873;-0.54;0;0.21;0.29
