;t4;t4;t4;;t7;t7;t7;;t8;t8;t8;;t9;t9;t9;;t10;t10;t10;;t11;t11;t11;;t12;t12;t12;;t13;t13;t13;;
;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;
g1188;-0.34;-0.69;0.02;g1188;-0.13;0.25;0.33;g1188;0.36;0.04;0.1;g1188;0.49;0.34;0.13;g1188;0.56;-0.55;-0.08;g1188;0.05;0.13;-0.13;g1188;0.01;-0.53;0.02;g1188;-0.2;-0.1;0.2
g1189;-0.45;-0.95;0.06;g1189;-0.14;0.69;-0.1;g1189;0.63;0.5;-0.26;g1189;0.19;0.97;0.12;g1189;0.56;0.39;-0.03;g1189;0.05;-0.14;-0.28;g1189;0.17;-0.28;-0.12;g1189;-0.14;-0.75;0.29
g1190;-0.01;-0.05;-0.14;g1190;-0.23;0.02;0.3;g1190;0.33;0.23;0.16;g1190;0.28;0.03;0.16;g1190;0.54;-0.05;-0.25;g1190;-0.19;0.16;0.12;g1190;0.02;-0.15;0.62;g1190;-0.19;-0.21;0.21
g1191;-0.14;0.42;0.03;g1191;-0.22;0;-0.04;g1191;0.23;0.64;-0.12;g1191;-0.34;-0.09;0.12;g1191;0.21;0.3;-0.06;g1191;0.03;0;0.13;g1191;-0.07;0.19;0.22;g1191;-0.34;0.01;0.2
g1192;-0.3;-0.84;0.27;g1192;0.13;-0.13;0.25;g1192;0.36;-0.75;-0.08;g1192;0.36;0.27;0.34;g1192;0.75;-0.28;0.43;g1192;-0.11;0.08;-0.04;g1192;-0.07;-0.22;0.07;g1192;-0.12;0.23;-0.24
g1193;-0.04;-0.19;0.17;g1193;-0.11;-0.04;-0.15;g1193;0.45;-0.17;-0.08;g1193;-0.06;-0.08;0.02;g1193;0.44;-0.04;-0.19;g1193;-0.12;-0.22;0.05;g1193;0.11;-0.22;0.05;g1193;0.06;0.06;-0.1
g1194;-0.43;-0.34;-0.34;g1194;-0.08;0.19;-0.04;g1194;0.25;-0.87;-0.21;g1194;0.3;0.19;-0.18;g1194;0.27;-0.52;0.11;g1194;-0.17;0.27;-0.16;g1194;0;-0.4;0;g1194;-0.21;0.42;0.2
g1195;-0.42;-0.12;0.02;g1195;-0.08;0.12;-0.09;g1195;0.34;0.12;-0.1;g1195;0.07;0.5;-0.05;g1195;0.25;0.31;-0.05;g1195;0.03;0.36;-0.02;g1195;0.23;-0.12;0.13;g1195;-0.19;0.16;0
g1196;0.16;-0.66;0.16;g1196;-0.34;0.44;0.23;g1196;0.32;0.05;0.09;g1196;0.36;0.35;0.29;g1196;0.14;-0.38;0.04;g1196;0.07;-0.05;0.07;g1196;0.1;-0.44;-0.23;g1196;-0.24;-0.42;-0.02
g1197;0.1;0.21;-0.27;g1197;-0.03;0.2;-0.01;g1197;0.09;-0.22;0.13;g1197;0;0.01;0.11;g1197;-0.21;-0.24;0.27;g1197;-0.05;-0.02;0.11;g1197;0.12;0.2;0.01;g1197;-0.25;0.26;-0.2
g1198;0.19;-0.56;-0.31;g1198;-0.15;0.09;0.26;g1198;0.2;-0.67;0.19;g1198;0.03;0.09;0.19;g1198;0.09;-0.4;-0.24;g1198;0.03;0.31;0.16;g1198;0.15;-0.73;0.18;g1198;-0.45;0.39;0
g1199;0.11;0.12;-0.14;g1199;0.04;0.12;0.07;g1199;0.04;-0.41;0.11;g1199;0.11;-0.27;-0.45;g1199;-0.31;-0.6;0.28;g1199;-0.13;-0.1;0;g1199;0.08;0.49;0.04;g1199;-0.19;0.12;-0.05
g1200;-0.08;-0.49;-0.22;g1200;-0.29;0.02;0.07;g1200;0.17;-0.11;-0.08;g1200;0.14;0;-0.22;g1200;-0.01;-0.38;0.05;g1200;-0.08;0;0;g1200;0.2;-0.42;0.13;g1200;-0.35;0.19;0.13
g1201;-0.04;-0.03;-0.19;g1201;-0.04;0.32;-0.4;g1201;0.08;0.23;0.07;g1201;-0.14;-0.05;-0.19;g1201;-0.07;-0.33;0.07;g1201;-0.07;-0.1;-0.19;g1201;0.25;-0.12;-0.01;g1201;-0.21;-0.25;-0.05
g1202;-0.03;-0.66;-0.46;g1202;-0.4;-0.03;0.04;g1202;-0.07;0;0.08;g1202;0.35;0;-0.07;g1202;0.02;-0.05;-0.19;g1202;0.12;0.13;0.24;g1202;0.1;-0.37;0.38;g1202;-0.4;-0.22;0.4
g1203;0.11;0.43;-0.15;g1203;-0.13;0.39;-0.32;g1203;0.12;-2.28;0.24;g1203;0.15;0.15;0.12;g1203;0.23;0.16;-0.2;g1203;0.2;0.24;0.26;g1203;0.39;0.36;0.3;g1203;0.01;-0.15;-0.01
g1204;0.22;-0.07;-0.14;g1204;-0.05;0.05;0.08;g1204;0.23;0.05;0.16;g1204;0.22;0.03;0.21;g1204;0;-0.16;-0.18;g1204;-0.15;-0.25;0.17;g1204;0.11;0.75;-0.08;g1204;-0.03;-0.3;0.1
g1205;0.04;-0.04;0.01;g1205;-0.23;0.25;-0.21;g1205;0.01;-0.27;0.22;g1205;-0.36;-0.02;0.15;g1205;0.86;-0.74;-0.13;g1205;-0.5;0.19;-0.45;g1205;0.04;-0.08;-0.64;g1205;-0.62;0.25;0.03
g1206;0.14;0.07;0.12;g1206;0.37;0.23;-0.01;g1206;0.08;-0.18;0.2;g1206;0.18;-0.02;0.23;g1206;0.14;-0.48;-0.2;g1206;0.02;-0.23;0.31;g1206;0.01;-0.18;-0.67;g1206;-0.51;0.14;-0.2
g1207;0.23;0.08;0.09;g1207;-0.01;0.09;-0.08;g1207;0.11;-0.49;-0.13;g1207;-0.06;-0.11;-0.22;g1207;-0.03;-0.47;0.18;g1207;-0.28;0.21;0.18;g1207;0.12;-0.32;0.13;g1207;-0.14;0.28;0
g1208;-0.25;0.11;-0.18;g1208;-0.08;-0.32;0.17;g1208;0.32;-0.24;-0.12;g1208;0.32;-0.45;0.1;g1208;0.29;-0.52;0.16;g1208;-0.29;0.03;0.03;g1208;0.15;-0.16;0.11;g1208;-0.18;-0.36;0.04
g1209;-0.14;0.01;0.17;g1209;-0.12;0.08;0.04;g1209;0.38;-0.45;-0.04;g1209;-0.12;0.13;0.31;g1209;0.41;-0.01;-0.04;g1209;0.02;-0.06;0.1;g1209;0.06;-0.33;-0.08;g1209;-0.07;0.13;0.04
g1210;-0.28;-0.12;-0.24;g1210;0.02;0.02;0.22;g1210;0.35;-0.52;-0.11;g1210;0.4;-0.02;0.2;g1210;0.56;-0.54;0.08;g1210;0.03;0.02;0.01;g1210;0;-0.18;0.11;g1210;-0.24;-0.12;0.06
