t;s;g;el
0;0;7;-0.03
0;0;46;-0.01
0;0;68;0
0;0;69;0
0;0;71;0.2
0;0;75;0.96
0;0;77;0
0;0;119;0.09
0;0;136;0.12
0;0;155;0.1
0;0;222;0.12
0;0;312;0.06
0;0;326;-0.22
0;0;334;-0.12
0;0;339;0.04
0;0;361;0.05
0;0;373;0.07
0;0;379;0.16
0;0;391;-0.46
0;0;585;-0.05
0;0;617;0.17
0;0;677;0.02
0;0;694;-0.35
0;0;733;-0.55
0;0;734;-0.34
0;0;755;-0.24
0;0;831;1.38
0;0;837;0.17
0;0;851;-0.54
0;0;853;-0.64
0;0;865;-0.35
0;0;879;-0.29
0;0;911;0.16
0;0;923;-0.13
0;0;953;-0.36
0;0;955;0.26
0;0;959;0.01
0;0;961;0.07
0;0;964;-0.32
0;0;1034;0.35
0;0;1039;-0.42
0;0;1088;0.22
0;0;1102;-0.03
0;0;1117;-0.42
0;0;1164;-0.35
0;0;1239;0
0;0;1250;-0.31
0;0;1263;0.07
0;0;1267;-0.77
0;0;1272;0.24
0;0;1287;0.09
0;0;1377;-0.01
0;0;1383;0.06
0;0;1424;-0.28
0;0;1459;2.36
0;0;1497;-0.16
0;0;1539;0.46
0;0;1594;-0.28
0;0;1609;-0.35
0;0;1616;-0.11
0;0;1705;0.04
0;0;1714;-0.08
0;0;1722;-0.36
0;0;1730;-0.38
0;0;1756;0.07
0;0;1759;0.33
0;0;1760;0.11
0;0;1765;0.27
0;0;1768;0
0;0;1800;-0.13
0;0;1802;0.19
0;0;1808;-0.08
0;0;1860;-0.25
0;0;1892;-1.05
0;0;1900;-0.08
0;0;1918;0.06
0;0;1920;-0.35
0;0;1959;0.17
0;0;2024;-0.23
0;0;2114;0.04
0;0;2147;1.92
0;0;2185;-0.34
0;0;2200;-0.08
0;0;2256;-0.01
0;0;2261;-0.21
0;0;2271;0
0;0;2288;0.06
0;0;2295;0.28
0;0;2397;-0.27
0;0;2415;0.25
0;0;2440;-0.38
0;0;2454;0.22
0;0;2471;-0.22
0;0;2531;0.16
0;0;2555;-0.67
0;0;2571;0.99
0;0;2661;-0.07
0;0;2672;-0.17
0;0;2690;-0.36
0;0;2694;-0.21
0;0;2726;-0.3
0;0;2791;-0.09
0;0;2814;-0.17
0;0;2816;-0.28
0;0;2822;-0.25
0;0;2850;-0.06
0;0;2851;0.34
0;0;2852;0.12
0;0;2853;0.36
0;0;2854;0.18
0;0;2855;0.45
0;0;2856;-0.04
0;0;2857;0.16
0;0;2858;-0.16
0;0;2859;0.15
0;0;2860;0.11
0;0;2861;-1.09
0;0;2862;0.07
0;0;2863;-0.27
0;0;2864;-0.29
0;0;2865;-0.42
0;0;2866;0
0;0;2867;-0.05
0;0;2868;-0.06
0;0;2869;0
0;0;2870;0
0;0;2871;0.13
0;0;2872;0.13
0;0;2873;0.31
0;0;2874;1.9
0;0;2875;1.96
0;0;2876;1.9
0;0;2877;0
0;0;2878;0.66
0;0;2879;0.15
0;0;2880;0.06
0;0;2881;-0.13
0;0;3885;0
0;0;3961;-0.04
0;0;3964;-0.02
0;0;3974;-0.06
0;0;3987;0.1
0;0;4128;0.1
0;0;4194;0
0;0;4213;-0.48
0;0;4226;-0.09
0;0;4248;0.15
0;0;4288;0
0;0;4324;0
0;0;4349;0.12
0;0;4434;0.32
0;0;4460;-0.12
0;0;4473;-0.2
0;0;4572;-0.08
0;0;4591;0.07
0;0;4663;0
0;0;4691;-0.1
0;0;4709;0.09
0;0;4728;0.08
0;0;4773;0.08
0;0;4806;0.01
0;0;4813;0.24
0;0;4849;0.12
0;0;4876;0.16
0;0;4957;0.07
0;0;5047;-0.13
0;0;5058;0.43
0;0;5075;-0.43
0;0;5118;0.39
0;0;5150;0.15
0;1;7;0
0;1;46;0.27
0;1;68;0
0;1;69;0.03
0;1;71;0.23
0;1;75;-0.28
0;1;77;0.44
0;1;119;-0.28
0;1;136;0
0;1;155;0
0;1;222;0
0;1;312;-0.01
0;1;326;-0.8
0;1;334;0.03
0;1;339;0
0;1;361;0
0;1;373;0
0;1;379;0
0;1;391;-0.76
0;1;585;1.27
0;1;617;0.14
0;1;677;-0.02
0;1;694;-0.52
0;1;733;0
0;1;734;0
0;1;755;0
