LEVEL;WEIGHT;INTERVAL;TRI_{1}TERMS;TRI_{1}CONCENTRATION;TRI_{1}PARTIAL;TRI_{2}TERMS;TRI_{2}CONCENTRATION;TRI_{2}PARTIAL;TRI_{3}TERMS;TRI_{3}CONCENTRATION;TRI_{3}PARTIAL;TRI_{4}TERMS;TRI_{4}CONCENTRATION;TRI_{4}PARTIAL;TRI_{5}TERMS;TRI_{5}CONCENTRATION;TRI_{5}PARTIAL;
41;401.0;(0.0E00,1.0E-40];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
40;391.0;(1.0E-40,1.0E-39];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
39;381.0;(1.0E-39,1.0E-38];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
38;371.0;(1.0E-38,1.0E-37];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
37;361.0;(1.0E-37,1.0E-36];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
36;351.0;(1.0E-36,1.0E-35];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
35;341.0;(1.0E-35,1.0E-34];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
34;331.0;(1.0E-34,1.0E-33];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
33;321.0;(1.0E-33,1.0E-32];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
32;311.0;(1.0E-32,1.0E-31];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
31;301.0;(1.0E-31,1.0E-30];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
30;291.0;(1.0E-30,1.0E-29];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
29;281.0;(1.0E-29,1.0E-28];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
28;271.0;(1.0E-28,1.0E-27];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
27;261.0;(1.0E-27,1.0E-26];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
26;251.0;(1.0E-26,1.0E-25];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
25;241.0;(1.0E-25,1.0E-24];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
