ID	Pop.total	Pop.term	Study.total	Study.term	p	p.adjusted	p.min	name
GO:0000000	6178	5560	132	121	0.3189302828973124	1.0	0.0	"root"
GO:0000001	6178	29	132	1	0.46622052729933494	1.0	1.0978276143602658E-79	"mitochondrion inheritance"
GO:0000002	6178	45	132	1	0.6229630490958107	1.0	3.625916929173886E-115	"mitochondrial genome maintenance"
GO:0000003	6178	490	132	7	0.9085424105138405	1.0	0.0	"reproduction"
GO:0032774	6178	770	132	19	0.2850902262511985	1.0	0.0	"RNA biosynthetic process"
GO:0000009	6178	9	132	1	0.1767592739210064	1.0	2.78396485469723E-29	"alpha-1,6-mannosyltransferase activity"
GO:0000011	6178	18	132	1	0.3224692177028898	1.0	3.8180740768516367E-53	"vacuole inheritance"
GO:0032780	6178	4	132	1	0.08278374361710965	1.0	1.6490790983396384E-14	"negative regulation of ATPase activity"
GO:0032784	6178	52	132	1	0.6762529529996026	1.0	7.516769299407848E-130	"regulation of DNA-templated transcription, elongation"
GO:0000018	6178	27	132	1	0.44254966037288407	1.0	5.114450318230899E-75	"regulation of DNA recombination"
GO:0032786	6178	49	132	1	0.6543972308441623	1.0	1.3044996159050566E-123	"positive regulation of DNA-templated transcription, elongation"
GO:0000019	6178	6	132	1	0.12158772109018476	1.0	1.2980751612755431E-20	"regulation of mitotic recombination"
GO:0032787	6178	176	132	4	0.5223124857784768	1.0	0.0	"monocarboxylic acid metabolic process"
GO:0032790	6178	4	132	1	0.08278374361710965	1.0	1.6490790983396384E-14	"ribosome disassembly"
GO:0016407	6178	61	132	3	0.14107227417180523	1.0	3.9160473451005534E-148	"acetyltransferase activity"
GO:0000023	6178	13	132	1	0.24500646958510666	1.0	3.3017518341544422E-40	"maltose metabolic process"
GO:0016410	6178	51	132	3	0.09476169581680777	1.0	8.85677798026569E-128	"N-acyltransferase activity"
GO:0000026	6178	13	132	1	0.24500646958510666	1.0	3.3017518341544422E-40	"alpha-1,2-mannosyltransferase activity"
GO:0000028	6178	24	132	1	0.4050766037481942	1.0	6.788636849792917E-68	"ribosomal small subunit assembly"
GO:0000030	6178	45	132	3	0.07067778293680008	1.0	3.625916929173886E-115	"mannosyltransferase activity"
GO:0000031	6178	1	132	1	0.021366137908615166	1.0	1.6186468112627334E-4	"mannosylphosphate transferase activity"
GO:0000032	6178	23	132	2	0.08563524568461162	1.0	1.7410024921125108E-65	"cell wall mannoprotein biosynthetic process"
GO:0032806	6178	13	132	1	0.24500646958510666	1.0	3.3017518341544422E-40	"carboxy-terminal domain protein kinase complex"
GO:0000041	6178	49	132	2	0.281713217701455	1.0	1.3044996159050566E-123	"transition metal ion transport"
GO:0016426	6178	2	132	1	0.04227914904580258	1.0	5.2408833131183764E-8	"tRNA (adenine) methyltransferase activity"
GO:0000045	6178	29	132	1	0.46622052729933494	1.0	1.0978276143602658E-79	"autophagosome assembly"
GO:0016429	6178	2	132	1	0.04227914904580258	1.0	5.2408833131183764E-8	"tRNA (adenine-N1-)-methyltransferase activity"
