;t3;t3;;t11;t11;;t12;t12;;t13;t13;;
;c0;c3;;c0;c3;;c0;c3;;c0;c3;;
g629;0.17;0.23;g629;-0.25;-0.02;g629;-0.28;0.3;g629;-0.3;0.54
g630;-0.04;0.21;g630;0.24;-0.33;g630;0.01;-0.35;g630;-0.04;0.02
g631;-0.24;0.09;g631;0.08;-0.51;g631;-0.16;-0.35;g631;-0.24;-0.08
g632;0.17;0.1;g632;0.2;-0.34;g632;0.08;-0.23;g632;-0.19;-0.25
g633;0.09;-0.09;g633;0.11;-0.09;g633;-0.18;0.19;g633;-0.24;0.15
g634;0.1;-0.09;g634;0.09;-0.02;g634;0.01;0.46;g634;-0.29;0.05
g635;-0.26;0.39;g635;-0.03;-0.46;g635;0.01;-0.3;g635;-0.18;0.05
g636;0.17;-0.09;g636;-0.01;-0.02;g636;-0.01;-0.78;g636;-0.11;-0.02
g637;0.1;0.64;g637;-0.08;-0.41;g637;0.04;-1.02;g637;-0.13;0.24
g638;-0.21;-0.46;g638;0.01;0.36;g638;0.04;-0.13;g638;-0.19;-0.46
g639;0.32;0.24;g639;-0.01;-0.23;g639;-0.2;-0.03;g639;-0.15;0.03
g640;-0.16;-0.1;g640;0.12;0.14;g640;0.19;0.05;g640;0.05;0.11
g641;-0.04;-0.21;g641;-0.02;0.15;g641;-0.17;-0.02;g641;-0.39;0.26
g642;-0.56;-0.54;g642;-0.37;0.56;g642;-0.23;0.39;g642;-0.53;0.06
g643;0.22;0.1;g643;0.16;-0.12;g643;-0.01;-0.51;g643;-0.31;-0.2
g644;0.15;-0.18;g644;-0.09;0.07;g644;0.06;-0.08;g644;-0.15;0.08
g645;-0.23;-0.27;g645;0.06;-0.24;g645;0.05;0.09;g645;-0.41;-0.13
g646;-0.27;-0.06;g646;0.38;-0.3;g646;-0.1;-0.39;g646;-0.28;-0.15
g647;-0.11;-0.25;g647;0.08;0.29;g647;-0.06;0.02;g647;-0.35;0.31
g648;0.01;0.12;g648;-0.26;0.01;g648;0.01;-0.06;g648;0.04;0.04
g649;-0.13;-0.25;g649;0.28;0.35;g649;-0.06;0.15;g649;-0.35;0.52
g650;-0.01;0.07;g650;-0.12;-0.4;g650;0.25;-0.26;g650;-0.11;-0.31
g651;0;-0.43;g651;-0.21;0.29;g651;-0.06;0.41;g651;0;-0.09
g652;-0.12;0.1;g652;0.01;0.25;g652;-0.26;0.18;g652;0.05;-0.06
g886;0.15;-0.4;g886;-0.1;0.41;g886;-0.04;0.33;g886;-0.24;0.03
g912;1.03;-0.11;g912;0.85;0.12;g912;0.59;-0.45;g912;0.08;0.17
g926;-0.38;0.54;g926;-0.15;-0.4;g926;-0.15;-0.17;g926;-0.06;-0.33
g1020;-0.15;0.34;g1020;0;-0.1;g1020;0.02;-0.33;g1020;-0.15;-0.14
g1029;0.3;-0.19;g1029;-0.12;0.37;g1029;0.11;0.85;g1029;-0.56;0.72
