;t0;t0;t0;;t1;t1;t1;;t4;t4;t4;;t5;t5;t5;;t6;t6;t6;;t11;t11;t11;;t12;t12;t12;;t13;t13;t13;;
;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;
g35;0.04;0.01;-1.22;g35;-0.78;0.04;-0.44;g35;-0.1;0.18;0.83;g35;-0.35;-0.47;0.25;g35;0.46;0.27;0.48;g35;0.09;-0.15;-0.18;g35;0.28;-0.14;-0.37;g35;0.2;0.12;0.2
g36;0.07;1.11;-0.14;g36;-0.24;-0.13;-0.11;g36;0.27;0.08;0.29;g36;0.16;-0.47;0.08;g36;0.05;0.16;-0.11;g36;-0.06;0.16;-0.07;g36;-0.15;0.25;-0.32;g36;-0.06;-0.11;-0.09
g42;0;0.09;0.04;g42;0.03;-0.35;-0.06;g42;-0.09;0.32;0.1;g42;-0.16;-0.48;-0.07;g42;0.27;-0.08;0.27;g42;-0.42;-0.15;0.19;g42;0.05;-0.11;-0.33;g42;-0.16;0;0.35
g47;-0.2;-0.26;-0.05;g47;-0.67;0.17;-0.01;g47;0.05;-0.14;0.17;g47;-0.26;-0.35;-0.01;g47;0.22;0.1;-0.24;g47;0.05;-0.02;-0.21;g47;-0.09;0;-0.12;g47;-0.16;0.19;-0.03
g68;0;-0.14;0;g68;0;-0.12;0;g68;0;0.37;0;g68;0;-0.51;0;g68;0;-0.15;0;g68;0;0.03;0;g68;0;-0.17;0;g68;0;-0.02;0
g72;-0.3;-0.14;-0.44;g72;-0.45;0.21;-0.69;g72;0.27;-0.26;0.34;g72;-0.28;-0.1;-0.02;g72;-0.16;-0.03;0.26;g72;0.3;0.29;0.01;g72;0.22;0.55;-0.13;g72;0.08;-0.42;0.05
g84;0.33;-0.45;1.54;g84;0.14;-0.31;-0.04;g84;0.13;-0.09;-0.07;g84;-0.07;0.31;-0.25;g84;0.15;0.37;-0.21;g84;-0.12;-0.03;0.16;g84;-0.01;0.27;0.06;g84;-0.45;-0.05;-0.23
g95;-0.14;0;-0.36;g95;-0.26;0;-0.09;g95;-0.01;0;0.31;g95;-0.12;0;0.06;g95;-0.18;0;0.14;g95;0.23;0;0.53;g95;-0.14;0;-0.48;g95;-0.26;0;0.11
g131;-0.04;0.58;0.21;g131;0.5;0.55;-0.25;g131;-0.28;0.05;-0.01;g131;-0.32;-0.66;-0.1;g131;-0.01;-0.04;0.16;g131;0.08;-0.01;0.12;g131;-0.01;-0.23;-0.39;g131;-0.32;-0.3;-0.05
g158;-0.47;-0.35;0.09;g158;-0.2;0.01;-0.4;g158;0.01;0.22;0.17;g158;-0.17;0.05;0.18;g158;0.09;-0.01;0.36;g158;0.25;-0.07;0.09;g158;-0.11;0.13;-0.45;g158;-0.27;-0.15;-0.1
g162;0.06;0.26;0.61;g162;-0.07;-0.89;0.1;g162;-0.17;0.28;-0.53;g162;-0.48;-0.49;-0.48;g162;-0.04;0.04;-0.51;g162;0.25;0.4;0.53;g162;-0.01;0;0.34;g162;-0.19;-0.07;0.09
g212;-0.27;-0.83;-0.14;g212;-0.66;-0.59;-0.26;g212;0.24;-0.11;0.13;g212;0.24;-0.03;-0.23;g212;0.03;0.29;0.13;g212;0;0.19;0.29;g212;-0.12;0.28;0.16;g212;0;0.08;0.05
g290;0;0.81;0.56;g290;-0.05;0.11;-0.25;g290;-0.03;-0.13;-0.31;g290;-0.1;-0.61;0.04;g290;0.05;-0.02;-0.29;g290;-0.05;0.12;0.09;g290;-0.15;-0.06;0.43;g290;-0.02;0.14;-0.15
g303;0.15;0.28;-1.09;g303;-0.4;-0.06;0.05;g303;-0.21;0.34;0.3;g303;0.08;-0.2;-0.02;g303;0.09;0.18;0.31;g303;0.17;0.05;0.37;g303;0.09;-0.05;-0.04;g303;-0.45;-0.34;0.07
g324;-0.14;-0.06;-0.69;g324;-0.28;-0.7;-0.31;g324;-0.4;0.36;0.14;g324;-0.67;-0.18;0.08;g324;0.09;0.23;0.03;g324;0;-0.08;0.27;g324;-0.11;-0.15;-0.23;g324;-0.04;0.02;0.52
g327;-0.04;0.38;0.4;g327;-0.28;-0.29;0.42;g327;0.26;-0.26;-0.28;g327;-0.21;-0.1;-0.73;g327;-0.01;0.15;-0.5;g327;-0.14;0.08;0.36;g327;-0.1;0.25;0.54;g327;-0.05;-0.08;0.38
g350;0.39;0.32;0.21;g350;-0.01;-1.17;0;g350;-0.25;0.15;-0.27;g350;-0.16;-0.44;0.31;g350;0.07;-0.05;0.72;g350;0;0.75;0.12;g350;0.02;0.19;-0.39;g350;0.18;0;0.03
g704;-0.2;-0.29;-0.19;g704;-0.15;0.05;0;g704;-0.2;0.3;0.19;g704;0.49;0.73;0.27;g704;-0.05;0.26;0.42;g704;-0.13;-0.58;-0.17;g704;0.02;0.15;-0.21;g704;-0.05;0.48;-0.14
g715;0.3;-1.27;0.61;g715;0.43;-1.27;0.05;g715;-0.12;-0.57;0.03;g715;0;1.02;0.03;g715;0.09;0;-0.07;g715;-0.03;0;-0.27;g715;-0.1;0;0.07;g715;-0.12;1.31;-0.17
g743;0.01;-0.28;0.03;g743;-0.06;0.08;0.21;g743;0.21;-0.28;-0.47;g743;-0.02;-0.09;-0.31;g743;0.21;-0.05;-0.65;g743;0.04;0.14;0.34;g743;0.04;0.03;0.47;g743;-0.1;0.42;0.38
g821;0.19;-0.39;-0.55;g821;-0.22;-0.29;0.08;g821;0.15;0.15;0.26;g821;-0.09;0.16;0.15;g821;0.31;0.16;-0.04;g821;-0.24;0.06;-0.01;g821;0.04;0.09;-0.26;g821;0.07;-0.15;-0.12
g876;-0.7;-1.08;-0.37;g876;-0.13;-0.35;-0.46;g876;-0.1;-0.93;-0.46;g876;-0.34;-0.13;-0.55;g876;0.3;0.11;-0.31;g876;0.3;0.23;0.9;g876;0.42;0.03;0.77;g876;-0.28;0;0.59
g880;0.27;0.24;0.25;g880;0.09;-0.53;-0.05;g880;-0.17;0.28;-0.14;g880;-0.21;0.02;-0.26;g880;0.2;-0.25;-0.48;g880;-0.02;0.19;0.34;g880;0.01;0.1;0.32;g880;-0.57;0.14;0.08
g898;-0.32;0.3;0.77;g898;-0.06;0.27;0.15;g898;-0.08;-0.45;-0.25;g898;-0.28;0.05;-0.23;g898;-0.56;-0.21;-0.19;g898;0.21;0.51;-0.09;g898;0.07;0.25;0.02;g898;-0.03;-0.08;0.18
g905;-0.39;-0.03;-0.84;g905;-0.17;-0.37;-0.25;g905;0.22;-0.26;0.6;g905;-0.01;-0.67;0.46;g905;-0.11;-1.01;0.53;g905;0.43;0.7;-0.29;g905;0.25;0.22;-0.53;g905;-0.17;0.01;-0.12
g916;0.36;-0.61;-0.98;g916;-0.92;0.55;0.02;g916;0.06;-0.25;0.81;g916;-0.16;0.19;0.46;g916;0.24;0.4;0.15;g916;0.04;-0.42;-0.32;g916;0.14;-0.02;-0.61;g916;0.2;0;-0.02
g966;-0.34;-0.43;-0.56;g966;-0.25;0.2;0.05;g966;0.28;-0.42;0.29;g966;0.19;0.13;-0.16;g966;0.14;0.33;0.15;g966;-0.34;-0.31;0.17;g966;0;-0.04;0.01;g966;-0.24;0.36;0.14
g988;0.16;0.94;0.09;g988;0.09;-0.09;-0.02;g988;0.19;-0.32;0.25;g988;0.08;-0.12;-0.06;g988;0.15;-0.63;0.16;g988;-0.18;0.02;-0.1;g988;0;0.29;-0.57;g988;-0.25;0.18;-0.08
g1026;-0.12;-0.23;0.76;g1026;0;-0.76;0;g1026;-0.11;-0.28;-0.43;g1026;0.12;0.04;-0.09;g1026;-0.2;0.35;0.16;g1026;-0.04;-0.33;-0.05;g1026;-0.11;0.54;-0.21;g1026;-0.02;0.89;-0.03
g1183;0.33;0.14;-0.46;g1183;0.47;0.67;-0.22;g1183;0.32;-0.4;-0.16;g1183;-0.17;0.33;-0.14;g1183;0.09;0.19;0.08;g1183;-0.33;-0.29;0.25;g1183;0.14;0.02;0.17;g1183;-0.08;0.28;0.1
g1189;-0.01;0.19;0.12;g1189;0;0.19;-0.03;g1189;-0.45;-1.01;0.06;g1189;-0.43;-0.71;-0.07;g1189;-0.56;-0.88;-0.07;g1189;0.05;0.16;-0.28;g1189;0.17;-0.28;-0.12;g1189;-0.14;-0.85;0.29
g1194;-0.04;-0.39;1.19;g1194;0.2;0.09;0.19;g1194;-0.43;-0.43;-0.34;g1194;0.25;0.07;-0.29;g1194;-0.26;0.11;-0.15;g1194;-0.17;-0.05;-0.16;g1194;0;-0.13;0;g1194;-0.21;0.32;0.2
g1221;0.51;0.27;-0.43;g1221;-0.05;0.14;0.27;g1221;0.19;-1.06;-0.19;g1221;0.16;0.27;-0.59;g1221;0.4;0.22;-0.54;g1221;-0.19;-0.51;0.5;g1221;0.15;0.27;0.82;g1221;-0.05;0.59;0.61
g1229;0.11;0.56;0.68;g1229;-0.05;-0.24;0.13;g1229;0.38;0.22;-0.13;g1229;-0.14;0.21;-0.34;g1229;0.25;-0.52;-0.1;g1229;-0.02;0.12;0.32;g1229;0.05;-0.18;0.07;g1229;-0.28;-0.06;-0.07
g1234;0;0.02;0;g1234;0;0.33;0;g1234;0;-0.57;0;g1234;0;0;0;g1234;0;-0.14;0;g1234;0;-0.19;0;g1234;0;0.11;0;g1234;0;0.33;0
g1242;0;0.08;0;g1242;0;-0.28;0;g1242;0;-0.29;0;g1242;0;0.49;0;g1242;0;-0.37;0;g1242;0;0.01;0;g1242;0;0.12;0;g1242;0;0;0
g1288;0.01;-0.25;0.51;g1288;0;-0.57;0.13;g1288;0.34;0.16;0.11;g1288;0.32;0.22;-0.13;g1288;-0.39;0.44;0.14;g1288;-0.13;0.28;0.04;g1288;-0.1;0.26;-0.11;g1288;-0.2;0.62;-0.05
g1330;-0.21;0.62;0.17;g1330;-0.08;-0.14;0.18;g1330;-0.03;0.16;0.03;g1330;0.15;0.35;-0.09;g1330;-0.13;-0.04;-0.18;g1330;-0.1;-0.07;-0.42;g1330;-0.12;0;-0.16;g1330;-0.21;-0.12;-0.03
g1353;-0.27;0;-0.02;g1353;-0.97;-3.79;-0.72;g1353;0.68;0.79;0.09;g1353;0.08;0.29;0.34;g1353;0.43;0.11;0.11;g1353;-0.1;0.91;0.25;g1353;0.29;1.21;-0.1;g1353;-0.04;-0.47;-0.14
g1355;-0.17;0.36;0.14;g1355;0.86;0.14;-0.13;g1355;0.02;-0.17;-0.04;g1355;-0.01;-0.46;-0.16;g1355;0.14;-0.43;-0.18;g1355;-0.07;0.14;0.08;g1355;0.23;-0.81;0.2;g1355;-0.39;-0.01;-0.02
g1366;0.3;0.59;0.67;g1366;0.29;-0.01;0.21;g1366;0.44;-0.43;-0.47;g1366;-0.12;-0.52;-0.92;g1366;0.21;-0.82;-0.52;g1366;-0.32;0.72;0.48;g1366;0.12;0.21;0.61;g1366;-0.23;0;0.39
g1400;0;1.04;-0.22;g1400;0.06;1.31;-0.24;g1400;-0.14;0.55;0.31;g1400;-0.03;0.66;-0.13;g1400;-0.05;-0.34;0.27;g1400;0.11;-0.49;-0.05;g1400;0.12;-0.34;-1.07;g1400;0;-0.83;0.33
g1420;0.04;0.14;0.44;g1420;0.1;-0.31;0.1;g1420;-0.07;0.12;-0.19;g1420;-0.15;0.35;-0.16;g1420;0.04;-0.11;-0.46;g1420;0.07;0.14;0.15;g1420;0.08;0.07;0.03;g1420;-0.07;0.18;0.16
g1434;-0.34;0.51;0.79;g1434;0.57;-0.25;0.03;g1434;-0.62;-0.4;-0.34;g1434;0.08;-0.09;-0.48;g1434;-0.43;-0.25;-0.29;g1434;0.08;-0.01;0.19;g1434;0.09;-0.18;0.4;g1434;-0.45;0.23;0.34
g1462;-0.12;-0.03;0.05;g1462;-0.34;0.52;-0.39;g1462;0.21;0.57;0.05;g1462;-0.28;0.62;-0.06;g1462;0.15;0.04;-0.04;g1462;-0.11;-0.21;0.17;g1462;-0.16;-0.09;0.43;g1462;0.08;0;-0.09
g1517;0.13;-0.05;-0.27;g1517;-0.01;-0.3;0.02;g1517;0;-0.13;-0.21;g1517;-0.04;-0.23;-0.18;g1517;0.35;0.05;0.12;g1517;-0.14;0.15;0.33;g1517;0.26;-0.35;0.2;g1517;-0.32;0;0.06
g1519;0.28;0.25;0.33;g1519;-0.01;-0.65;0.35;g1519;0;-0.75;0.03;g1519;0.09;-0.04;-0.14;g1519;0.14;-0.17;-0.09;g1519;-0.19;0.02;0.01;g1519;0.06;-0.04;-0.28;g1519;-0.17;0.51;-0.04
g1538;0.08;0.31;-0.09;g1538;0.39;-0.09;-0.46;g1538;0.08;-1.01;0.05;g1538;-0.15;0.72;-0.01;g1538;0.05;0.82;0.14;g1538;0.2;0.13;-0.07;g1538;0.12;-0.01;-0.01;g1538;-0.04;0.43;0.32
g1568;-0.19;0.19;0.47;g1568;0.51;-1.35;0.16;g1568;-0.22;-0.14;0.03;g1568;0;-0.33;0.14;g1568;-0.29;-0.27;0.01;g1568;-0.02;0.24;-0.05;g1568;0.02;0.36;-0.05;g1568;-0.14;-0.02;-0.05
g1585;0;1.02;0.49;g1585;0.13;0.25;0.07;g1585;0.07;0.51;-0.22;g1585;-0.21;-0.61;-0.22;g1585;0.1;-0.61;-0.08;g1585;-0.08;0.25;0.22;g1585;0.11;0.1;0.23;g1585;0.13;-0.61;-0.06
g1607;0.06;1.19;0.51;g1607;0.16;0.42;-0.03;g1607;0.15;-0.28;-0.14;g1607;-0.17;-0.54;0.07;g1607;0.17;-0.32;-0.34;g1607;0.06;-0.36;-0.06;g1607;0.05;0.68;-0.13;g1607;-0.15;0;0.06
