;t1;t1;t1;t1;;t2;t2;t2;t2;;t3;t3;t3;t3;;t5;t5;t5;t5;;t7;t7;t7;t7;;t8;t8;t8;t8;;t10;t10;t10;t10;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g18;-0.29;-0.42;-0.18;0.02;g18;-0.07;-0.28;0.46;-0.36;g18;-0.22;-0.15;0.1;-0.11;g18;-0.07;-0.12;-0.75;-0.2;g18;0.2;0;-0.01;0.29;g18;0.11;0.13;-0.32;-0.34;g18;-0.33;-0.07;-0.18;0.23
g61;-0.16;0.41;0.09;-0.37;g61;0.09;0.43;0.09;-0.18;g61;-0.1;0.22;-0.17;-0.09;g61;-0.37;0.2;-0.17;-0.16;g61;0;0.21;-0.43;-0.09;g61;0.05;-0.34;0.04;0.46;g61;-0.23;0.11;-0.11;0.02
g160;0.58;0;1.61;0.37;g160;0.17;0;0.85;0.38;g160;0.01;0;-0.11;0.44;g160;-0.23;0;0.07;-0.6;g160;-0.58;0;-0.14;-0.22;g160;0.12;0;-0.11;-0.02;g160;0.38;0;-0.33;-0.43
g263;-0.4;0;-1.09;-0.4;g263;0.16;0;-0.23;-0.25;g263;-0.22;0;-0.49;-0.51;g263;-0.08;0;-0.48;-0.25;g263;0.22;0;-0.12;0.2;g263;-0.05;0;-0.24;0.69;g263;-0.12;0;0.34;-0.29
g349;-0.14;0;-0.07;0.06;g349;0.01;0;0.04;0.14;g349;0;0;-0.34;0.12;g349;-0.06;0;-0.09;-0.12;g349;0.19;0;0.1;-0.26;g349;-0.21;0;0.06;-0.22;g349;-0.26;0;-0.17;-0.03
g409;-0.2;-0.4;0.64;-0.07;g409;0.22;-0.04;0.01;0.03;g409;-0.4;-0.26;-0.38;-0.27;g409;-0.07;-0.26;0.04;-0.47;g409;0.29;-0.69;0.04;0.25;g409;-0.13;0.24;0.12;0.46;g409;-0.09;0.16;-0.34;0.03
g475;-0.46;0.4;-1;-0.15;g475;-0.29;0.3;-0.34;0.13;g475;-0.48;-0.2;-0.32;0.32;g475;-0.42;-0.33;-0.55;-0.1;g475;0.18;-0.33;-0.29;-0.11;g475;-0.05;-0.04;-0.12;-0.17;g475;0.39;0.06;0.38;0.04
g509;-0.12;0.13;0.14;1.06;g509;0.31;0;0.73;-0.1;g509;0.16;0;0.3;0.27;g509;-0.06;0;-0.12;0.13;g509;-0.05;0;-0.22;-0.12;g509;-0.02;0;-0.25;-0.19;g509;-0.06;0;0.24;-0.13
g525;0.13;0.31;0.63;0.37;g525;-0.02;-0.03;0.24;-0.1;g525;-0.25;-0.03;0.48;-0.09;g525;-0.02;0.09;1.5;0.09;g525;0.1;0.02;-0.52;-0.12;g525;0.09;0.37;-0.42;-0.03;g525;-0.13;0.39;-0.52;-0.2
g625;1.01;0.52;-0.14;-0.23;g625;0.93;-0.21;-0.25;-0.14;g625;0.07;0.59;-0.31;-0.25;g625;-0.42;-0.37;-0.21;0.02;g625;-0.34;-0.59;0.04;0.05;g625;-0.37;0.1;-0.09;-0.05;g625;-0.46;0.17;0.39;0.02
g733;0.51;0;-0.44;0.08;g733;-0.05;0;0.51;0.05;g733;0.12;0;0.2;-0.44;g733;0.18;0;-0.22;0.1;g733;0.03;0;-0.16;-0.08;g733;0.03;0;-0.16;-0.18;g733;0.05;0;0.15;0.14
g802;0.39;-0.29;-0.16;0.11;g802;-0.01;-0.31;0.34;1.23;g802;0.12;-0.11;0.27;-0.36;g802;0.3;-0.47;0.05;-0.27;g802;-0.03;-0.34;-0.33;0.05;g802;0.04;0.2;-0.26;-0.04;g802;-0.03;0.22;-0.14;0.19
g806;-0.55;0.03;-0.68;-0.12;g806;-0.1;0.75;-0.28;-0.04;g806;0.04;0.12;-0.11;0.12;g806;-0.15;-0.14;0.26;-0.04;g806;0.43;-0.24;0.24;-0.07;g806;-0.15;-0.05;0.1;0.06;g806;0.33;0.19;0.13;-0.05
g839;0.33;-0.04;-0.21;0.25;g839;0.18;0.05;0.04;-0.12;g839;0.25;-0.24;-0.21;-0.34;g839;0;-0.5;0.12;-0.24;g839;0.14;0.23;-0.11;-0.18;g839;0.13;-0.22;0.01;0.03;g839;0.08;-0.17;0;0.01
g976;0;0.22;-0.99;-0.18;g976;0.17;-0.12;1.71;0.09;g976;-0.28;-0.12;0.42;0;g976;-0.55;0.17;-0.71;0;g976;0;0.35;-1.24;0.01;g976;0.4;-0.25;-1.55;-0.18;g976;0.38;0.55;2.16;-0.14
g983;0.42;-0.23;-0.91;-0.11;g983;0.4;-0.26;-0.7;-0.16;g983;-0.17;1.52;0.04;-0.11;g983;-0.17;-0.71;0.19;-0.26;g983;-0.07;0.66;0.23;0.01;g983;-0.3;-0.32;0.1;-0.07;g983;0.19;0.73;0.03;-0.3
g1014;0;0.19;0.44;-0.13;g1014;0.1;-0.36;0.38;-0.18;g1014;-0.06;-0.09;0.19;0.03;g1014;-0.33;-0.48;0.18;-0.02;g1014;-0.04;-0.69;0.05;-0.06;g1014;0.04;0.11;-0.18;0.23;g1014;-0.1;0.21;-0.18;-0.18
g1086;0.4;-0.99;-1.05;-0.19;g1086;-0.33;-0.72;-0.94;0.08;g1086;-0.72;-0.13;0.05;0.2;g1086;0.25;0.5;0.57;0.29;g1086;0.37;0.19;0.48;0.13;g1086;0.29;0.28;0.42;0.04;g1086;-0.11;-0.26;-0.06;0.02
g1091;-0.42;-0.36;-0.1;-0.25;g1091;-0.08;0.06;0.44;-0.48;g1091;0.31;0.37;0.28;-0.57;g1091;0.31;0.08;-0.03;0.28;g1091;0.04;0.08;-0.39;0.41;g1091;0.06;-0.36;-0.05;0.21;g1091;0.32;-0.06;-0.05;0.52
g1149;-0.49;0.64;-0.12;-0.29;g1149;0;0.61;-0.12;0.02;g1149;-0.13;-0.01;0;-0.17;g1149;-0.15;0.24;0.04;0.16;g1149;0.15;0.33;0.2;-0.02;g1149;0.2;-0.65;-0.08;0.09;g1149;-0.06;-0.53;-0.03;-0.02
g1174;0;0.3;-0.25;0.17;g1174;0.17;0.27;-0.26;-0.14;g1174;-0.21;-0.02;-0.04;-0.12;g1174;-0.29;0.12;-0.17;-0.38;g1174;-0.09;0.13;-0.12;-0.18;g1174;0.35;1.08;-0.16;0.03;g1174;0.15;-0.91;0.2;-0.02
g1190;0.05;0.37;0.25;-0.06;g1190;-0.17;0.12;-0.05;-0.25;g1190;0.18;-0.43;0.03;-0.01;g1190;-0.11;-0.45;-0.06;-0.21;g1190;-0.23;0.02;0.12;0.3;g1190;0.33;0.23;0.12;0.16;g1190;0.54;-0.05;0.04;-0.25
g1211;0.15;0.84;-0.59;0.23;g1211;-0.16;0.72;0.31;-0.18;g1211;0.23;0.09;0.86;0.12;g1211;-0.04;-0.33;0.38;0.08;g1211;0.15;-0.21;0.03;-0.12;g1211;0.45;-0.39;-0.12;-0.01;g1211;0.05;-0.05;-0.23;-0.15
g1217;0;0.03;-0.95;-0.1;g1217;-0.55;0.38;-1.17;-0.1;g1217;-0.1;0.11;0.47;-0.1;g1217;0.28;-0.01;0.81;-0.04;g1217;0.04;0.24;0.24;0.1;g1217;0.34;-0.81;0.36;0.03;g1217;-0.12;-0.15;-0.3;0.18
g1281;-0.16;0.22;0.03;0.15;g1281;0.15;0.08;-0.51;-0.48;g1281;-0.05;-0.27;-0.05;0.45;g1281;-0.29;0.03;0.44;0.1;g1281;0.22;-0.12;0.19;0.13;g1281;0.15;-0.1;0.44;-0.1;g1281;-0.09;0.11;0.14;-0.32
g1381;0.05;-0.02;-0.38;-0.05;g1381;0.02;0.11;0.37;0.26;g1381;0.07;-0.33;0.37;0;g1381;-0.08;-0.42;-0.19;0.14;g1381;0.02;-0.4;-0.51;-0.05;g1381;0.47;0.36;-0.25;-0.15;g1381;0.14;0.17;0.55;-0.02
g1414;-0.07;0.25;0.41;-0.15;g1414;-0.09;0.07;-0.12;-0.23;g1414;0;0;-0.28;-0.15;g1414;-0.22;0.11;0.19;-0.19;g1414;-0.22;0.09;-0.02;0.11;g1414;0.09;0.05;0.17;0.2;g1414;0.15;0.33;-0.29;0.14
g1438;-0.08;0.53;-0.19;-0.09;g1438;-0.03;0.66;0.49;0.17;g1438;0.37;0.15;0.55;0.1;g1438;0.14;0.01;0.33;0.42;g1438;0.08;-0.18;-0.49;-0.11;g1438;-0.27;-0.29;-0.02;-0.16;g1438;-0.06;0.25;0.63;0.11
g1465;-0.03;-0.07;-0.03;-0.02;g1465;0.12;0.1;-0.4;-0.02;g1465;0.05;-0.03;-0.26;-0.17;g1465;-0.08;0.03;0.35;-0.2;g1465;0.23;0.04;-0.11;-0.13;g1465;-0.03;0.13;0.07;-0.06;g1465;-0.12;0.03;-0.04;0.24
g1616;0.11;-1.4;0.4;0.19;g1616;0.72;-0.14;0.02;-0.3;g1616;0.94;0.78;-0.2;-0.04;g1616;0.26;0.75;-0.75;0.1;g1616;0.12;0.56;0.07;0.09;g1616;0.26;0.07;0.18;0.04;g1616;-0.1;-0.58;0.45;0.04
g1715;0;0.17;1.11;-0.24;g1715;0.37;-0.69;0.79;0.21;g1715;0.54;0.2;0.37;-0.07;g1715;-0.12;-0.51;-0.47;-0.12;g1715;0.31;-0.72;0.01;-0.19;g1715;0.1;0.24;0.37;-0.26;g1715;-0.26;0.38;0.01;0.33
g1717;0;-0.3;-0.17;0;g1717;0;-0.06;0.12;0;g1717;0;0.49;0.19;0;g1717;0;0;-0.26;0;g1717;0;-0.23;-0.06;0;g1717;0;0.1;-0.27;0;g1717;0;-0.01;0.21;0
g1728;-0.11;1;0.87;0.23;g1728;-0.02;1.13;0.79;0.45;g1728;0.03;0.02;1.3;0.55;g1728;0.16;-0.41;0.34;0.04;g1728;0.03;-0.12;0.13;-0.24;g1728;0.2;0.02;-0.33;-0.24;g1728;0.25;-0.22;-0.91;-0.17
g1810;-0.25;-0.46;-0.24;0.03;g1810;0.28;-0.29;0.16;0;g1810;-0.09;-0.15;0.06;0.35;g1810;-0.07;0.12;-0.56;-0.2;g1810;-0.04;-0.22;-0.16;-0.14;g1810;0.1;0;-0.41;-0.05;g1810;0.07;0;0.32;0.01
g1832;0.06;0.07;0.18;-0.02;g1832;-0.04;-0.05;0.48;-0.11;g1832;0.01;0;0.23;-0.05;g1832;-0.13;0.08;-0.15;-0.28;g1832;-0.26;-0.22;0.26;0.1;g1832;-0.06;0.26;-0.09;0.19;g1832;-0.11;0.08;-0.24;-0.11
g1839;0.29;1.53;1.4;0.32;g1839;0.07;0.71;1.19;-0.2;g1839;0.64;0.3;0.9;0.64;g1839;0.52;-0.25;-0.78;-0.9;g1839;0.2;-0.42;-1.49;-0.54;g1839;0.04;-0.86;-1.63;-0.21;g1839;-0.13;-0.94;-0.86;-0.43
g1842;-0.07;-0.27;-0.43;-0.25;g1842;-0.23;0.14;-0.62;0;g1842;-0.16;0;0.17;0.26;g1842;0.15;0;0.13;0.05;g1842;0.3;-0.07;0.13;0.34;g1842;0.35;0.06;0.1;-0.32;g1842;0.32;-0.47;-0.13;0.14
g1862;0;-0.09;-0.26;0;g1862;0;-0.38;0.28;0;g1862;0;0;0.44;0;g1862;0;0;-0.01;0;g1862;0;0;-0.07;0;g1862;0;0;-0.43;0;g1862;0;0;-0.22;0
g1889;-0.12;0.24;0.65;-0.17;g1889;0.38;-0.17;0.65;0.15;g1889;0.72;-0.7;-0.28;-0.1;g1889;-0.17;-0.65;-0.35;0.01;g1889;-0.15;-0.55;-0.08;0.12;g1889;-0.06;0.39;0.09;0.08;g1889;-0.19;0.3;0.03;-0.06
g1935;-0.11;0.42;-0.04;-0.33;g1935;-0.21;0.57;0.32;-0.16;g1935;0.42;0.39;0.42;-0.13;g1935;0.1;0.54;0;0.19;g1935;-0.31;0.29;0;0.16;g1935;-0.11;-1.1;-0.1;0.08;g1935;-0.21;-0.63;-0.26;0.01
g1998;0.65;-0.07;0.13;-0.04;g1998;-0.14;-0.11;0.01;-0.14;g1998;-0.41;0;0.22;0.41;g1998;-0.07;-0.3;0.12;-0.14;g1998;-0.17;-0.07;0.45;0.13;g1998;0.47;0;-0.08;0.09;g1998;0.04;0;-0.18;-0.31
g2129;-0.23;0.04;0.23;-0.3;g2129;0.33;0.39;0.49;-0.42;g2129;0.35;0.19;0.32;-0.36;g2129;0;0.52;0.24;-0.03;g2129;-0.07;0.14;-0.04;-0.05;g2129;-0.05;-0.49;-0.18;0.15;g2129;-0.13;-0.67;-0.24;0.25
g2139;0.29;-0.88;-0.06;0.42;g2139;0.02;1.07;0.24;0.08;g2139;-0.53;1.7;1.98;0.42;g2139;0.65;-1;1.27;-0.29;g2139;0.44;-1.27;-1.18;-0.08;g2139;-0.19;0.34;-1.32;-0.31;g2139;-0.57;-0.04;-1.25;0.27
g2155;-0.26;-0.28;-0.16;-0.51;g2155;-0.06;0.15;0.47;-0.26;g2155;0.34;0.28;0.11;0.09;g2155;0.52;-0.09;-0.16;0.19;g2155;0.03;-0.51;-0.51;0.45;g2155;-0.15;-0.23;-0.34;-0.08;g2155;-0.17;0.33;0.24;0.29
g2166;-0.47;0.85;0.14;-0.24;g2166;-0.19;0.38;-0.11;0.06;g2166;0.02;0.23;-0.11;0.45;g2166;0.21;0.18;0.37;0.3;g2166;0.4;0.19;0.34;0.22;g2166;0.16;-0.08;0.08;-0.23;g2166;0.14;0.03;0.01;0
g2215;0.36;-0.21;0.42;0;g2215;0.37;0;-0.72;0.49;g2215;1.06;-2.7;0.54;0;g2215;0.17;-1.57;0.13;-0.3;g2215;-0.04;-0.15;-0.04;-0.11;g2215;-0.1;0.85;-0.72;-0.09;g2215;-0.2;0.55;-0.46;0.22
g2230;0.02;-0.43;-0.09;0.07;g2230;0.04;-0.17;0.18;0.22;g2230;0.05;-0.25;0.19;0.08;g2230;0.28;-0.31;-0.33;0;g2230;0.08;-0.25;-0.09;-0.16;g2230;0.02;0.35;-0.19;-0.17;g2230;-0.05;0.04;-0.06;0.28
g2251;0.08;-0.03;0.38;-0.1;g2251;0.19;0.37;0.62;-0.13;g2251;0.17;0.2;0.69;-0.17;g2251;-0.21;0.04;0.35;-0.26;g2251;-0.15;-0.24;-0.03;-0.24;g2251;-0.05;0.03;-0.07;0.45;g2251;-0.14;0.09;-0.13;-0.34
g2266;-0.35;0.06;-0.5;-0.23;g2266;0.12;0.02;-0.39;-0.21;g2266;-0.16;0.04;-0.31;-0.1;g2266;-0.14;0.04;0.31;-0.06;g2266;0.02;-0.09;0.05;0.27;g2266;0.04;-0.31;0.39;0.34;g2266;-0.07;-0.26;-0.07;-0.06
g2267;0;0.32;-0.45;0.5;g2267;0.17;-0.25;-0.55;-0.42;g2267;-0.06;-0.43;-0.27;-0.44;g2267;0.03;-0.33;-0.22;-0.62;g2267;0.11;-0.17;0.06;-0.02;g2267;0.04;-0.51;0.27;0.12;g2267;0.06;-0.27;0.21;0.09
