;t0;t0;;t1;t1;;t2;t2;;t4;t4;;t6;t6;;t8;t8;;t9;t9;;t12;t12;;
;c0;c3;;c0;c3;;c0;c3;;c0;c3;;c0;c3;;c0;c3;;c0;c3;;c0;c3;;
g3;-0.02;0.36;g3;-0.48;0.1;g3;-0.11;0.11;g3;-0.03;-0.15;g3;0.13;-0.79;g3;0.07;0.34;g3;0.04;0.07;g3;-0.47;0.66
g40;-0.14;0.46;g40;-0.61;-0.08;g40;-0.09;-0.05;g40;0.03;0.24;g40;0.05;-0.27;g40;-0.11;-0.03;g40;-0.01;0.05;g40;-0.16;-0.17
g41;-0.26;-0.6;g41;-0.5;-0.27;g41;-0.06;-0.48;g41;0.21;-0.19;g41;0.32;-0.08;g41;0.08;0.49;g41;0;0.33;g41;0.06;0.24
g70;0;0;g70;0;0;g70;0;0;g70;0;0;g70;0;0;g70;0;0;g70;0;0;g70;0;0
g190;0.25;2.44;g190;0.4;0.46;g190;0.66;0.36;g190;-0.05;-0.75;g190;-0.07;-0.57;g190;-0.05;-0.06;g190;0.14;-0.68;g190;-0.37;0.32
g207;-0.37;0.38;g207;-0.56;-0.22;g207;-0.39;-0.4;g207;-0.26;-0.57;g207;0.36;0.69;g207;0.12;-0.16;g207;0.43;-0.09;g207;-0.11;0.2
g220;0.09;-0.09;g220;-0.43;-0.11;g220;0.18;-0.07;g220;0.21;0.01;g220;0.03;-0.39;g220;-0.09;0.21;g220;0;0.24;g220;-0.29;-0.01
g337;0.03;0.01;g337;0.22;-0.13;g337;0.31;-0.06;g337;-0.18;0.03;g337;0.06;-0.02;g337;0.34;0.28;g337;-0.07;0.11;g337;-0.03;-0.2
g370;0.2;0.32;g370;-0.38;-0.21;g370;-0.11;-0.1;g370;-0.13;0.11;g370;-0.13;0.04;g370;0.08;-0.19;g370;0.27;0.01;g370;-0.06;-0.12
g412;0.17;-1.39;g412;-0.5;-0.57;g412;0.09;-0.16;g412;-0.24;0.3;g412;0.14;0.03;g412;0.28;0.48;g412;0.12;0.51;g412;0.35;-0.06
