t;s;g;el
6;2;5627;-0.27
6;2;5628;-0.37
6;2;5629;0.01
6;2;5630;0.12
6;2;5631;0.05
6;2;5632;-0.36
6;2;5633;0.03
6;2;5634;0.44
6;2;5635;0.05
6;2;5636;0.3
6;2;5637;0.06
6;2;5638;-0.25
6;2;5639;-0.23
6;2;5640;-0.25
6;2;5641;0.17
6;2;5642;0.32
6;2;5643;-0.62
6;2;5644;-1.32
6;2;5645;-0.11
6;2;5646;-0.17
6;2;5647;-0.74
6;2;5648;-0.07
6;2;5649;0.25
6;2;5650;-0.07
6;2;5651;-0.22
6;2;5652;-0.52
6;2;5653;-0.64
6;2;5654;-0.47
6;2;5655;0.23
6;2;5656;0
6;2;5657;0.03
6;2;5658;-0.32
6;2;5659;0.17
6;2;5660;0.13
6;2;5661;-0.27
6;2;5662;0.08
6;2;5663;0.04
6;2;5664;0.24
6;2;5665;-0.54
6;2;5666;-0.16
6;2;5667;-0.05
6;2;5668;0.2
6;2;5669;-0.25
6;2;5670;-0.21
6;2;5671;-0.22
6;2;5672;-0.05
6;2;5673;0.2
6;2;5674;-0.13
6;2;5675;-0.04
6;2;5676;-0.07
6;2;5677;-0.28
6;2;5678;-0.12
6;2;5679;-0.04
6;2;5680;0.1
6;2;5681;0.65
6;2;5682;0.08
6;2;5683;-0.07
6;2;5684;0.28
6;2;5685;0.24
6;2;5686;0.06
6;2;5687;-0.34
6;2;5688;-0.09
6;2;5689;0.02
6;2;5691;-0.11
6;2;5692;-0.09
6;2;5693;0.01
6;2;5694;-0.43
6;2;5695;-0.57
6;2;5696;-0.13
6;2;5697;-0.15
6;2;5698;-0.15
6;2;5699;0
6;2;5700;-0.09
6;2;5701;-0.01
6;2;5702;0.22
6;2;5703;-0.23
6;2;5704;-0.7
6;2;5705;-0.23
6;2;5706;0.49
6;2;5707;-0.61
6;2;5708;-0.16
6;2;5709;-0.34
6;2;5710;0
6;2;5711;-0.52
6;2;5712;0.07
6;2;5713;-0.08
6;2;5714;0.08
6;2;5715;0.33
6;2;5716;0.25
6;2;5717;-0.22
6;2;5718;-0.56
6;2;5719;-0.12
6;2;5720;0.18
6;2;5721;-0.4
6;2;5722;0.2
6;2;5723;-0.18
6;2;5724;-0.4
6;2;5725;-0.22
6;2;5726;0.82
6;2;5727;-0.37
6;2;5728;0.05
6;2;5729;0.04
6;2;5730;-0.24
6;2;5731;-0.13
6;2;5732;-0.37
6;2;5733;0.12
6;2;5734;0.26
6;2;5735;0.11
6;2;5736;-0.19
6;2;5737;0.03
6;2;5738;-0.17
6;2;5739;-0.05
6;2;5740;0.15
6;2;5741;0.3
6;2;5742;0.33
6;2;5743;0.1
6;2;5744;-0.5
6;2;5745;0.14
6;2;5746;0.29
6;2;5747;-0.26
6;2;5748;0.27
6;2;5749;-0.14
6;2;5750;0.3
6;2;5751;-0.51
6;2;5752;0
6;2;5753;0.04
6;2;5754;0.1
6;2;5755;0.03
6;2;5756;-0.12
6;2;5757;0.33
6;2;5758;0.18
6;2;5759;0.32
6;2;5760;0.27
6;2;5761;0.04
6;2;5762;0.27
6;2;5763;0.32
6;2;5764;-0.15
6;2;5765;0.23
6;2;5766;0.03
