;t7;t7;t7;t7;;t8;t8;t8;t8;;t9;t9;t9;t9;;t10;t10;t10;t10;;t11;t11;t11;t11;;t13;t13;t13;t13;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g55;0;0;0.25;0;g55;0;0;0.15;0;g55;0;-0.39;0.4;0;g55;0;0.15;0.03;0;g55;0;0;0.05;0;g55;0;-0.22;-0.02;0
g114;0.2;0.57;0.38;0.45;g114;0.07;0.17;0.13;0.66;g114;-0.05;0.16;-0.04;0.19;g114;-0.32;-0.34;-0.28;-0.15;g114;0.23;-0.11;-0.34;0.27;g114;0.5;-0.18;-0.06;-0.3
g201;0.12;-0.3;-0.07;-0.27;g201;-0.21;0.65;0.29;0.21;g201;0.3;-0.47;-0.45;0.49;g201;-0.37;0.51;0.28;-0.12;g201;-0.15;-0.31;0.25;0.25;g201;-0.1;-0.37;0.24;0.17
g273;-0.14;0;0.44;-0.11;g273;-0.19;0;0.41;0.01;g273;-0.07;0;0.11;0.24;g273;-0.05;0;-1.07;-0.45;g273;-0.08;0;0.07;0.11;g273;-0.04;0;0.04;0.01
g309;0.14;-0.17;0.3;0.09;g309;0.01;-0.29;0.21;0;g309;0.09;-0.19;0.09;0.15;g309;-0.06;-0.39;0.05;-0.24;g309;0.05;1.05;-0.13;0.05;g309;-0.08;0;0;-0.14
g331;-0.23;0;0.32;-0.72;g331;0.2;0;0.06;-0.07;g331;0.05;0;0.02;-0.4;g331;-0.16;0;0;0.17;g331;-0.4;0;-0.06;-1.36;g331;-0.21;0;-0.36;-0.2
g366;-0.34;-0.14;0.53;-0.09;g366;0.25;0.13;0.22;0.34;g366;0.15;0.05;0.38;-0.21;g366;0.19;0.34;-0.4;0.01;g366;-0.26;1.18;-0.23;-0.35;g366;-0.31;-0.85;-0.46;-0.19
g399;0;-0.42;-0.02;-0.1;g399;-0.08;0.44;0.04;-0.15;g399;-0.14;-0.5;0.34;-0.04;g399;-0.12;0.03;-0.18;-0.12;g399;0.04;-0.53;-0.08;0.26;g399;-0.14;-0.12;-0.68;0.18
g551;-0.02;0.42;-0.59;-0.45;g551;-0.08;-0.17;-0.86;-0.02;g551;-0.03;0.27;0.65;-0.13;g551;-0.17;-0.39;0.37;-0.07;g551;0.03;-0.07;-0.39;0.21;g551;0;-0.05;0.18;0.15
g552;0.23;0.54;-0.06;-0.21;g552;-0.16;-0.24;-0.26;-0.16;g552;0.05;0.58;-0.42;-0.26;g552;-0.24;-0.56;0.17;-0.07;g552;0.09;0.07;-0.21;-0.09;g552;-0.2;0.32;0.11;0.12
g553;0.11;0.55;-0.42;-0.42;g553;-0.11;-0.35;-0.25;-0.13;g553;-0.01;0.37;-0.63;-0.29;g553;-0.16;-0.66;-0.63;-0.24;g553;-0.13;-0.02;-0.44;0.02;g553;-0.12;0.09;-0.14;0.1
g554;-0.46;-1.41;-1.03;0.41;g554;-0.67;-0.17;-0.62;-0.02;g554;0.06;1.14;1.32;-0.05;g554;0.26;0.71;1.55;0.04;g554;0.56;1.16;1.3;-0.34;g554;-0.13;0.38;-0.3;0.07
g555;-0.12;-1.11;-0.22;-0.12;g555;-0.43;-0.05;-0.04;-0.12;g555;-0.09;0.98;-0.44;-0.25;g555;0.04;0.86;0.53;0.01;g555;0.31;0.96;0.27;-0.35;g555;-0.27;0.02;-0.36;0.07
g556;-0.94;-1.33;-0.67;0.3;g556;-0.7;-0.42;-0.51;0.16;g556;0.06;1.47;0.38;0.04;g556;0.61;0.88;1.35;-0.03;g556;0.74;1.51;1.12;-0.15;g556;-0.28;0.69;-0.86;0.13
g557;-0.07;-0.02;0.4;0.13;g557;-0.19;-0.01;0.45;0.21;g557;-0.02;0.08;0.42;0.08;g557;0.2;0.03;0.57;-0.27;g557;-0.01;0.56;0.8;0.3;g557;0.12;0.48;0.79;-0.14
g558;0.03;-0.26;0.32;-0.33;g558;0.03;0.4;-0.4;0.05;g558;0.06;-0.91;-0.55;-0.14;g558;0.23;0.39;-0.08;-0.09;g558;-0.09;0;-0.02;-0.87;g558;0.11;0;-0.08;0.17
g559;-0.22;-0.7;-0.47;0.01;g559;-1.06;0.29;-0.71;-0.47;g559;-0.11;-0.41;0.01;-0.04;g559;0.42;0.16;0.27;0.19;g559;0.23;-0.06;-0.16;-0.17;g559;-0.12;-0.67;-0.61;-0.02
g560;0.01;-0.24;-0.05;0.24;g560;0.06;-0.34;-0.3;0.13;g560;0.35;0.04;0.73;0.05;g560;0.42;-0.03;0.07;0.12;g560;0.14;0.09;-0.08;0.1;g560;0.01;0.19;0.29;0.32
g561;-0.03;0.15;0.22;-0.18;g561;-0.08;-0.39;-0.09;-0.25;g561;-0.23;-0.25;-0.18;-0.15;g561;0.38;-0.14;-0.03;-0.18;g561;0.02;0.23;-0.3;-0.38;g561;-0.23;0.04;0;-0.05
g562;-0.03;-0.42;-0.18;0.19;g562;0.06;-0.02;-0.6;0.03;g562;0.45;-0.43;-0.31;0.04;g562;0.52;-0.45;-0.05;0.15;g562;0.19;-0.16;-0.19;0.26;g562;0.01;0.43;0;0.46
g563;0.36;0.14;0.03;-0.19;g563;-0.01;-0.19;-0.17;-0.36;g563;0.02;0.11;-0.06;-0.33;g563;-0.09;-0.25;0.07;0.17;g563;0.27;-0.11;-0.09;-0.31;g563;-0.02;-0.07;0.1;-0.24
g564;-0.02;0.05;0.32;0.24;g564;-0.16;-0.05;0.19;0.06;g564;0.22;-0.26;-0.32;0.01;g564;0.14;0.11;0.18;0.14;g564;-0.03;-0.16;0.37;0.21;g564;-0.16;-0.29;0;0.3
g565;-0.01;-0.27;-0.28;0.23;g565;0.19;-0.59;-0.38;-0.3;g565;-0.36;0.02;0.22;-0.39;g565;0.09;-0.1;0.15;-0.13;g565;-0.03;0;0.32;0.07;g565;-0.13;0.11;-0.13;0.34
g566;0.19;-0.39;0.03;-0.31;g566;-0.15;-0.07;-0.11;0.07;g566;0.22;-0.22;0.07;-0.05;g566;0.07;0.03;-0.05;0.29;g566;-0.16;-0.12;0.2;0.1;g566;-0.1;0.06;0.21;0.08
g567;0.05;-0.33;-0.22;-0.04;g567;0.05;-0.53;-0.51;-0.27;g567;-0.34;-0.22;0.42;-0.45;g567;0.09;-0.18;0.08;-0.41;g567;-0.04;-0.22;0.08;0.03;g567;-0.19;0.09;-0.24;0.12
g568;0.16;0.05;0.23;-0.11;g568;0.37;-0.27;0.02;-0.02;g568;0.25;0.07;-0.34;0.16;g568;0;-0.24;-0.4;-0.1;g568;-0.06;0.11;-0.08;-0.52;g568;0;0.18;0.03;0.06
g569;-0.05;0.02;0.43;0.17;g569;0.4;-0.1;0.17;-0.12;g569;-0.23;0.26;0.25;0.17;g569;0.56;0.12;-0.35;-0.04;g569;0.31;-0.08;-0.33;-0.53;g569;0.1;0.02;0;-0.11
g570;0.01;-0.29;0.69;0.07;g570;0.26;0.54;0.74;0.25;g570;0.16;-0.01;0.66;0.06;g570;-0.23;-0.15;0.11;-0.03;g570;-0.28;0.11;-0.11;0.36;g570;-0.26;-0.11;-0.98;0.3
g571;-0.13;-0.02;0.24;-0.11;g571;-0.06;0.04;0.04;0.26;g571;-0.16;0.12;0.49;0.02;g571;0.18;-0.25;0.25;-0.11;g571;-0.16;0.42;0.23;0.27;g571;-0.26;0.07;-0.54;0.01
g572;-0.96;-0.47;-0.49;-0.1;g572;-0.68;-0.37;-0.19;0.29;g572;-0.27;0.39;0.73;-0.38;g572;-0.12;-0.16;1.05;-0.39;g572;0.07;0.48;0.78;0.64;g572;-0.72;0.3;0;0.6
g573;-0.26;-0.01;-0.13;0.13;g573;0.02;-0.05;-0.2;0.24;g573;-0.26;-0.12;0.07;0.06;g573;-0.17;-0.42;0.26;-0.24;g573;0.01;0.14;-0.27;0.14;g573;0.05;0.14;-0.43;0.22
g574;-0.91;-0.3;-0.5;-0.08;g574;-0.52;-0.31;-0.1;0.59;g574;-0.15;0.42;-0.22;-0.03;g574;-0.03;0.09;0.7;-0.44;g574;0.03;0.21;0.33;0.82;g574;-0.44;0.31;-0.29;0.88
g575;-0.01;-0.23;-0.29;0.03;g575;0.13;0.27;-0.6;0.25;g575;-0.28;-0.37;0.87;-0.03;g575;0.14;-0.25;0.24;-0.32;g575;-0.01;-0.18;0;0.42;g575;-0.09;-0.27;0.21;0.14
g576;-0.07;0.33;0.07;0;g576;0.05;-0.06;-0.08;0.04;g576;0.08;0.32;-0.04;-0.03;g576;-0.13;-0.12;0.01;-0.24;g576;-0.05;-0.02;-0.27;0.15;g576;-0.21;-0.14;-0.09;0.46
g577;0.16;-0.05;0.05;-0.08;g577;0.13;0.3;-0.04;0.15;g577;0.01;-0.18;0.37;0;g577;0.11;-0.12;0.04;0.03;g577;-0.34;-0.08;0.11;0.09;g577;0.27;-0.17;0.01;-0.23
g578;-0.03;0.22;0.05;0.01;g578;0.06;0.27;0.46;0.11;g578;-0.01;0.17;-1;0.27;g578;0.04;-0.01;0.63;0.44;g578;0.03;-0.07;0.73;0.3;g578;-0.1;-0.15;0.2;0.01
g579;0.15;0.12;-0.07;-0.26;g579;-0.03;-0.15;0.08;-0.07;g579;-0.09;0.28;0.11;-0.38;g579;-0.05;-0.29;0.17;0.2;g579;0;0.34;0.35;-0.13;g579;-0.12;-0.19;-0.22;0.01
g580;-0.04;-0.37;0.02;-0.31;g580;-0.16;0.27;-0.2;-0.16;g580;0.04;-0.12;-0.12;0.3;g580;-0.14;0.45;-0.63;0.23;g580;0.19;-0.43;-0.12;-0.4;g580;0.02;-0.07;0.16;-0.16
g581;-0.08;0;0.33;0.2;g581;0.16;0.1;0.42;0.18;g581;-0.16;0.25;-0.02;-0.08;g581;0.02;-0.08;0.38;0.26;g581;-0.21;0.33;0.26;0.54;g581;-0.28;-0.17;-0.14;0.16
g582;0.14;0;0.21;0;g582;0.05;-1.39;-0.04;0;g582;0.1;0.21;-0.13;-0.18;g582;0.18;-0.42;-0.1;0.03;g582;-0.17;0.21;-0.06;-0.02;g582;-0.2;0.23;0;0.11
g583;0.02;0.05;0.25;0.46;g583;0.16;0.17;0.17;0.02;g583;-0.18;-0.06;0.22;0.06;g583;0.42;-0.17;0.13;-0.21;g583;0.21;0.6;0.09;0.09;g583;-0.12;-0.59;0;0.09
g584;-0.13;0.11;0.39;0.17;g584;0.01;-0.48;0.4;0.03;g584;0.28;0.39;-0.43;-0.11;g584;0.4;-0.3;0.29;0.01;g584;0.06;0.36;0.19;0.17;g584;0.01;0.07;0;0.35
g585;0.39;-0.03;0.17;0.12;g585;0.24;0.14;-0.04;-0.27;g585;0.01;0.13;-0.28;-0.02;g585;0.28;-0.2;-0.03;-0.04;g585;0.22;-0.25;-0.3;-0.78;g585;0.07;-0.31;0.19;-0.46
g586;0.25;0.19;0.26;0.22;g586;0.17;-0.74;0.14;-0.19;g586;0.33;0.34;-0.34;0.25;g586;0.72;-0.41;-0.06;0.04;g586;0.05;0.23;-0.26;-0.56;g586;0;-0.04;0.15;-0.02
g1084;0.38;0.22;0.11;-0.02;g1084;0.2;-0.47;0.05;-0.11;g1084;-0.28;0.3;-0.17;-0.11;g1084;-0.07;-0.56;-0.25;0.26;g1084;-0.25;0;-0.08;-0.88;g1084;-0.23;-0.03;0.07;-0.11
g1256;-0.25;0.16;-0.64;-0.33;g1256;-0.2;-0.24;-0.37;-0.2;g1256;0.11;-0.09;-0.42;-0.44;g1256;-0.16;-0.5;-0.18;-0.28;g1256;-0.24;-0.41;-0.11;0.45;g1256;-0.2;-0.21;-0.29;0.34
g1347;0.16;0.02;0.11;-0.2;g1347;0.11;0.35;-0.01;0.19;g1347;0.02;-0.06;-0.13;0.44;g1347;-0.21;-0.04;0.01;-0.07;g1347;-0.3;0.83;-0.14;0.41;g1347;-0.24;0.51;0.37;0.25
g1449;0.37;-0.78;-0.15;1.04;g1449;0.05;-0.41;-0.45;0.88;g1449;-0.71;-0.78;-1.15;0.86;g1449;-0.21;-0.23;-0.49;0.72;g1449;-0.19;0.11;-0.1;0.46;g1449;0.1;0.6;1.14;-0.03
g1454;-0.36;-0.11;-0.35;0.29;g1454;-0.09;0.39;0.13;0.23;g1454;0.07;-0.44;-0.02;0.29;g1454;0.19;0.44;0.07;-0.16;g1454;0.01;0.45;0.16;0.1;g1454;-0.05;0.16;0.43;0.27
