;t4;t4;t4;t4;;t5;t5;t5;t5;;t6;t6;t6;t6;;t8;t8;t8;t8;;t9;t9;t9;t9;;t10;t10;t10;t10;;t12;t12;t12;t12;;t13;t13;t13;t13;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g19;0.1;0.19;0.2;0;g19;-0.02;-0.17;-0.57;-0.09;g19;0.08;0.16;0.35;0.37;g19;-0.17;0.25;0;0.15;g19;-0.12;-0.05;0.18;0.29;g19;-0.06;-0.14;0.1;-0.39;g19;0.08;0.19;0.16;-0.09;g19;0.02;-0.03;0;-0.2
g74;0.17;-0.01;-0.06;0.29;g74;-0.18;-1.11;-0.5;0.69;g74;-0.21;-0.31;-0.49;0.08;g74;-0.36;0.22;-0.41;0.03;g74;-0.08;-0.11;0.32;0.01;g74;-0.2;0.58;0.7;0.42;g74;0.05;0.43;0.85;-0.41;g74;-0.2;0.02;0.09;-0.12
g129;-0.08;0.46;0.19;-0.37;g129;-0.34;-0.04;-0.37;-0.39;g129;-0.28;0.3;0.06;-0.21;g129;0.11;0.01;-0.15;0.29;g129;-0.08;-0.04;0.36;0.5;g129;0.14;-0.28;0.1;-0.23;g129;-0.14;0.35;0.01;-0.15;g129;-0.3;0.12;0;0.02
g148;0.06;0;-0.23;0.18;g148;-0.32;0;-0.23;0.05;g148;0.02;0;0.45;0.05;g148;0.05;0;-0.07;-0.06;g148;0.15;1.53;0.51;-0.12;g148;0.09;0;-0.05;0;g148;0.03;0;-0.2;-0.1;g148;-0.1;0;0.19;-0.02
g352;-0.07;-0.13;0.04;-0.36;g352;0.14;-0.51;-0.4;-0.16;g352;0.31;-0.4;0.02;0.12;g352;0.12;0.34;-0.01;0.19;g352;0;0.01;0.64;-0.07;g352;-0.23;0.14;0.25;0.21;g352;0;-0.04;0.01;0.02;g352;0;-0.02;0;0.04
g382;-0.26;0;0.69;0.32;g382;-0.26;-0.11;0.2;0.22;g382;-0.05;0;0.62;0.18;g382;0.02;0;0.2;0.16;g382;0.15;-0.09;-1.1;0.14;g382;0.35;0;-0.24;-0.2;g382;-0.02;-0.04;0.38;-0.59;g382;-0.35;-0.23;0.7;-0.15
g410;0.13;-0.38;-0.29;-0.04;g410;-0.04;0.19;-0.03;-0.04;g410;0.09;-0.69;0.13;0.08;g410;0.19;-0.04;0.18;0.37;g410;0.15;0.32;-0.09;0.3;g410;0.18;-0.3;0.14;-0.41;g410;-0.08;-0.11;0.14;0.35;g410;-0.33;0.11;0.39;-0.39
g412;-0.24;-0.16;0.72;0.3;g412;-0.43;0.18;-0.71;0.41;g412;0.14;0.08;0.11;0.03;g412;0.28;-0.08;-0.6;0.48;g412;0.12;-0.01;-1.49;0.51;g412;-0.07;-0.16;0.57;-0.11;g412;0.35;-0.19;-0.4;-0.06;g412;-0.09;-0.05;0.3;-0.05
g493;-0.14;0.1;0.05;-0.27;g493;0.03;-0.28;-0.13;-0.14;g493;-0.07;-0.04;0.07;-0.03;g493;0.34;2.06;-0.11;0.15;g493;-0.23;-0.01;0.44;-0.01;g493;0.16;0.14;0.08;0.14;g493;0.07;-0.06;-0.28;0.05;g493;-0.12;-0.21;0.01;-0.23
g623;0.14;1.21;0.34;0.32;g623;-0.04;-1.69;0.02;-0.01;g623;0.1;0.93;-0.29;0.11;g623;-0.06;0.36;-0.42;-0.15;g623;0.35;-0.51;-1.16;-0.22;g623;-0.39;0.93;-0.66;0.06;g623;-0.14;0.51;-0.2;-0.24;g623;-0.27;-0.21;-0.52;-0.17
g706;-0.04;0.19;-0.33;-0.65;g706;0.21;-0.21;-0.09;-0.28;g706;-0.22;-0.33;0.12;-0.25;g706;0.1;-0.46;-0.05;0.09;g706;-0.34;-0.08;0.26;0.18;g706;-0.03;0.02;-0.09;-0.52;g706;-0.15;0.27;0.51;0.37;g706;-0.16;0.44;0.44;0.37
g732;0.14;0;-0.09;0.09;g732;0.02;0;-0.12;0.06;g732;-0.22;0;0.18;0.26;g732;0.35;0;0;-0.09;g732;-0.27;0;-0.86;0.15;g732;0.51;0;-0.07;0.07;g732;0.21;0;0.44;-0.09;g732;-0.1;0;0.25;-0.01
g746;0.07;0.38;0.61;0.16;g746;-0.03;-0.28;0.32;-0.04;g746;0;0.35;-0.23;0.08;g746;-0.13;0.3;0.32;0.15;g746;0.01;-0.09;0;0.15;g746;0.4;0.21;0.25;0.05;g746;-0.16;0.38;0.9;-0.37;g746;0.07;-0.11;0.56;-0.12
g838;-0.01;-0.1;-0.31;-0.1;g838;-0.2;-0.01;-0.1;-0.02;g838;0.23;-0.38;0.07;-0.24;g838;-0.12;0.09;0.2;0.19;g838;0.28;0.45;-0.16;0.18;g838;0.09;0.01;0.46;0.15;g838;0.11;0.11;0.16;-0.08;g838;-0.1;0.05;0.27;0.4
g898;-0.08;0;-0.45;-0.25;g898;-0.28;0;0.05;-0.23;g898;-0.56;0;-0.21;-0.19;g898;0.61;0;0.27;-0.18;g898;0;1.23;0.05;-0.08;g898;0.35;0.64;0.08;-0.19;g898;0.07;0;0.25;0.02;g898;-0.03;0;-0.08;0.18
g971;0.03;0.9;-0.47;-0.79;g971;-0.57;-0.26;-0.36;-1.19;g971;-0.3;0.74;-0.59;-0.77;g971;0.11;0.48;-0.36;-0.02;g971;0.07;-0.93;-1.08;-0.77;g971;0.1;0.19;-0.08;-1.85;g971;-0.08;0.24;-0.08;1.01;g971;0;0.04;0.35;0.6
g1278;0.12;-0.86;0.08;0.26;g1278;-0.17;0.36;0.21;0.16;g1278;0.33;0.01;0.02;-0.53;g1278;0.29;-0.66;0.15;0.01;g1278;0.26;0.59;-0.11;0.06;g1278;0.08;0.02;0.12;0.17;g1278;0.29;-0.33;-0.14;-0.17;g1278;-0.17;0.31;0.09;0.14
g1339;-0.25;0;0.3;0.22;g1339;0.1;0;-0.24;0.49;g1339;-0.31;0;0.15;0.45;g1339;0.33;0;-0.27;-0.08;g1339;0.01;0;0.04;0.12;g1339;0.33;0;-0.04;0.37;g1339;0.05;0;-0.27;-0.49;g1339;-0.17;0;0.29;-0.2
g1345;0;-0.3;-0.17;-0.01;g1345;-0.25;-0.08;0.02;-0.17;g1345;1.03;-0.46;-0.66;0.15;g1345;0.04;-0.09;0.04;0.38;g1345;-0.07;0.59;0.12;0.58;g1345;-0.07;-0.12;0.37;0.02;g1345;0.3;-0.26;-0.14;0.46;g1345;-0.19;0.31;0;-0.01
g1351;0;-0.14;-0.13;-0.16;g1351;-0.12;-0.3;-0.33;-0.15;g1351;0.14;-0.53;0.07;-0.06;g1351;-0.14;-0.16;-0.62;0.18;g1351;-0.19;0.09;0.81;0.12;g1351;0.04;0.14;0.16;-0.19;g1351;0.53;0.2;-0.44;0.4;g1351;0.01;0.75;0.62;0.08
g1414;-0.02;-0.27;0.03;-0.06;g1414;-0.22;0.11;0.19;-0.19;g1414;0.12;0.03;-0.04;-0.17;g1414;0.09;0.05;0.17;0.2;g1414;0.12;0.16;-0.4;0.2;g1414;0.15;0.33;-0.29;0.14;g1414;0.16;-0.36;-0.22;0.17;g1414;-0.22;-0.12;0.44;0.26
g1434;-0.62;-0.31;-0.4;-0.34;g1434;0.08;-0.2;-0.09;-0.48;g1434;-0.43;0.19;-0.25;-0.29;g1434;0.17;0.3;0.25;0.05;g1434;0.42;-0.09;0.2;-0.01;g1434;0.52;0.15;0.01;0.08;g1434;0.09;-0.17;-0.18;0.4;g1434;-0.45;0.52;0.23;0.34
g1452;-0.22;0.47;-0.17;0.22;g1452;0.23;-0.19;-0.16;0.33;g1452;-0.21;0.39;0;0.34;g1452;0.05;-0.37;-0.27;-0.03;g1452;0.29;-0.27;0.44;0.17;g1452;0.15;0.97;0.17;0.25;g1452;0;0.11;-0.52;-0.32;g1452;-0.19;0.36;0.48;0.06
g1546;-0.33;0.03;0.42;0.19;g1546;0.32;-0.57;-0.07;0.28;g1546;-0.29;0.62;0.2;0.3;g1546;0;0.01;-0.27;-0.26;g1546;0.13;-0.17;0;-0.29;g1546;0;0.17;-0.25;0.36;g1546;-0.02;0.01;-0.13;-0.44;g1546;-0.25;-0.17;0.18;-0.02
g1550;-0.34;-0.09;0.42;-0.67;g1550;0.17;0.24;0.07;-0.26;g1550;-0.3;0.15;0.26;-0.32;g1550;0.1;0.18;-0.01;-0.09;g1550;0.34;0.51;0.26;-0.04;g1550;0.26;0.12;-0.16;-0.06;g1550;0.05;-0.31;0.22;0.38;g1550;0.02;0.3;-0.3;0.11
g1573;-0.07;0.28;-0.03;0.2;g1573;0.25;0.2;-0.57;0.15;g1573;-0.16;-0.07;-0.12;0.24;g1573;0.19;-0.56;0.14;-0.48;g1573;-0.39;0.23;-0.26;-0.04;g1573;0.05;0.11;0.04;0.13;g1573;0.11;-0.05;0.35;-0.06;g1573;-0.01;0.06;0.32;-0.04
g1637;-0.06;-0.33;0.03;-0.13;g1637;-0.22;-0.04;-0.15;-0.23;g1637;0.31;-0.37;-0.02;0;g1637;0.21;-0.52;-0.19;-0.1;g1637;-0.21;0.27;0.28;-0.43;g1637;0.19;-0.33;-0.09;0.12;g1637;-0.09;-0.43;0.07;-0.13;g1637;-0.21;0.19;0;-0.2
g1678;-0.19;-0.04;0.08;-0.02;g1678;0.2;-0.24;0.03;-0.12;g1678;-0.35;0.17;0.18;-0.16;g1678;0.09;0;0.18;-0.12;g1678;0.29;-0.05;-0.14;0.01;g1678;0.27;-0.34;-0.31;0.22;g1678;-0.09;0.03;0.05;-0.12;g1678;-0.04;-0.28;-0.02;0.12
g1688;0.2;0.25;-0.02;0.11;g1688;0.26;-0.15;-0.18;0.18;g1688;0.14;0.11;-0.4;0;g1688;0.09;0.22;-0.24;0.16;g1688;-0.35;0.01;0.03;0.18;g1688;0.78;-0.02;-0.1;-0.41;g1688;-0.1;0.11;0.28;-0.14;g1688;-0.34;0.49;0.19;0.08
g1736;0.08;0.29;0.13;0.41;g1736;0;0.11;-0.42;-0.16;g1736;0.17;-0.47;0;0.2;g1736;-0.01;0.11;-0.2;-0.23;g1736;-0.08;0.06;-0.2;-0.46;g1736;-0.22;-0.31;0.32;0.13;g1736;0.18;-0.25;0.55;0.21;g1736;-0.15;0.13;0.34;0.02
g1780;0.14;-1.03;-0.31;0.17;g1780;-0.18;0.06;-0.6;0.13;g1780;0.04;0.95;-0.15;0.21;g1780;0.04;-0.06;-0.06;0.01;g1780;0.23;0.51;0.42;0.02;g1780;-0.02;-0.31;-0.01;0.14;g1780;-0.15;-0.91;-0.01;-0.28;g1780;-0.18;-0.04;-0.25;0.1
g1795;-0.26;0;0.08;-0.24;g1795;-0.01;0;-0.13;-0.22;g1795;-0.23;0;0.18;-0.03;g1795;0.17;0;0;-0.14;g1795;-0.3;0;-0.22;-0.14;g1795;0.45;0;-0.19;-0.19;g1795;0.12;0;-0.07;-0.03;g1795;-0.15;0;-0.17;0.23
g1796;-0.11;0;-0.23;0;g1796;0.26;0;-0.41;-0.06;g1796;-0.02;0;-0.08;0.26;g1796;0.13;0;-0.13;-0.14;g1796;0.14;0;-0.03;-0.25;g1796;0.01;0;0.07;0.14;g1796;0;0;-0.2;-0.22;g1796;-0.29;0;-0.28;0.16
g1817;-0.06;0.5;0.04;0.19;g1817;-0.08;-0.15;0.12;-0.05;g1817;-0.2;0.13;0.34;0.08;g1817;0.08;0.42;0.16;-0.2;g1817;-0.21;-0.13;-0.41;0.05;g1817;0.31;0.16;-0.3;0.1;g1817;0.02;0.16;0.08;-0.12;g1817;-0.18;0.06;-0.1;-0.07
g1849;-0.13;-0.17;0.15;0.23;g1849;0;-0.02;0.27;0.21;g1849;-0.08;-0.1;0.08;0.09;g1849;0.31;0.01;0.07;0;g1849;-0.2;0.11;-0.69;0.21;g1849;0.03;0.02;-0.62;0.01;g1849;0.14;0.1;0.07;0.14;g1849;0.01;0.08;0.36;-0.44
g1880;0.26;0.02;-0.43;-0.32;g1880;-0.16;-0.27;-0.43;0.06;g1880;0;0.25;-0.01;-0.02;g1880;-0.06;0.27;0.9;0.13;g1880;0.18;0.15;-2.01;0.21;g1880;-0.13;0.24;0;0.25;g1880;-0.14;-0.13;0;-0.13;g1880;-0.23;-0.35;0;0.16
g1902;0.24;-0.26;-0.03;-0.03;g1902;0.13;0.48;0.01;0.2;g1902;0.14;0.3;0.01;-0.06;g1902;-0.11;-0.64;0.05;0.15;g1902;0.22;0.28;-0.1;0.15;g1902;-0.05;-0.54;-0.15;0.38;g1902;-0.13;-0.31;0.26;-0.76;g1902;-0.36;0.08;0.07;0.25
g2348;-0.45;-0.13;0.04;0;g2348;0.31;-0.57;0.31;0.08;g2348;-0.28;0.41;0.43;-0.09;g2348;0.08;-0.13;0.24;-0.32;g2348;0.42;-0.21;-0.22;-0.32;g2348;-0.22;0.4;-0.45;0.07;g2348;0.05;-0.53;-0.14;-0.02;g2348;-0.05;0.67;0.23;0.07
g2396;-0.75;0.51;0.37;0.33;g2396;0.14;0.56;0.54;0.37;g2396;0.18;0.81;0.56;0.2;g2396;0.58;0.78;0.38;-0.05;g2396;0.81;0.33;0;0.13;g2396;0.36;-0.02;-0.16;-0.07;g2396;-0.08;-0.24;-0.04;-0.52;g2396;-0.45;-0.84;0;-0.49
