t;s;g;el
0;0;6;-0.28
0;0;61;0.11
0;0;95;-0.14
0;0;100;-0.07
0;0;111;-1.22
0;0;180;0.09
0;0;193;-0.05
0;0;340;-0.2
0;0;374;0.32
0;0;422;-0.03
0;0;456;0.81
0;0;522;0.08
0;0;548;0.06
0;0;592;-0.97
0;0;619;0.05
0;0;643;0.02
0;0;652;-0.31
0;0;655;0.19
0;0;700;0.19
0;0;741;0.17
0;0;872;-0.27
0;0;879;-0.29
0;0;928;-0.99
0;0;946;-0.86
0;0;1071;0.31
0;0;1078;0.3
0;0;1090;-0.26
0;0;1284;-0.5
0;0;1310;-0.13
0;0;1386;-0.33
0;0;1400;0
0;0;1484;0.4
0;0;1497;-0.16
0;0;1537;0.33
0;0;1538;0.08
0;0;1547;0.1
0;0;1575;-0.21
0;0;1580;0.06
0;0;1586;-0.36
0;0;1629;-0.04
0;0;1630;0.17
0;0;1721;-0.08
0;0;1729;-0.23
0;0;1823;-0.47
0;0;1858;0.11
0;0;1959;0.17
0;0;1980;0.03
0;0;1984;0.45
0;0;2000;0.18
0;0;2016;-0.17
0;0;2509;0.29
0;0;2555;-0.67
0;0;2671;-0.01
0;0;2687;0.1
0;0;2750;-0.09
0;0;2765;-0.32
0;0;2814;-0.17
0;0;2857;0.16
0;0;2905;0.16
0;0;2907;-0.02
0;0;2922;0
0;0;3039;-0.13
0;0;3053;-0.08
0;0;3072;0.19
0;0;3076;-0.2
0;0;3119;0.01
0;0;3141;-0.05
0;0;3151;0.12
0;0;3154;0.3
0;0;3202;-0.89
0;0;3213;0.16
0;0;3237;0.25
0;0;3260;0.14
0;0;3331;-0.74
0;0;3366;-0.14
0;0;3373;-0.01
0;0;3412;0.42
0;0;3431;-0.15
0;0;3445;-0.33
0;0;3480;0.16
0;0;3530;-0.19
0;0;3564;-0.11
0;0;3605;-0.24
0;0;3611;-0.33
0;0;3669;-0.17
0;0;3694;0.24
0;0;3704;0.14
0;0;3730;-0.64
0;0;3814;0.18
0;0;3853;0.21
0;0;3876;0.31
0;0;3922;1.13
0;0;3932;0.28
0;0;3962;0.17
0;0;4068;0.43
0;0;4088;1.18
0;0;4111;0.12
0;0;4247;0.22
0;0;4266;-0.74
0;0;4300;-0.05
0;0;4312;0.34
0;0;4322;0.12
0;0;4339;0
0;0;4357;-0.49
0;0;4362;-0.16
0;0;4373;0.27
0;0;4380;0.08
0;0;4405;0
0;0;4409;-0.21
0;0;4593;-1.56
0;0;4613;-0.07
0;0;4645;-0.01
0;0;4697;0.46
0;0;4704;0
0;0;4705;1.74
0;0;4723;-0.11
0;0;4820;0.57
0;0;4821;-0.07
0;0;4850;0.05
0;0;5084;0.45
0;0;5122;-0.2
0;0;5128;0.13
0;0;5187;-0.48
