Total Times:	14
Total Samples:	3
Total Genes:	2000
Time	0
ID	NAME	pheromone	cdc15	elutriation
0	1603	-10.9370	0.1410	-8.0990
1	7411	-9.2580	-0.3930	-10.4870
2	3539	-10.2810	-0.6560	-7.9590
3	5475	-10.1000	-0.3020	-9.5780
4	4440	0.2020	-13.8230	-0.1240
5	3541	-9.5860	-0.8720	-7.6250
6	1605	-11.3280	0.5890	-6.4640
7	5477	-9.5820	0.2850	-8.2630
8	2	0.0870	-4.2050	0.2530
9	1	-0.0290	-3.4150	0.0460
10	7413	-8.6610	0.1420	-9.5940
11	4423	0.0300	-7.7440	0.4330
12	3893	-9.9230	0.4040	-6.6840
13	4417	0.0310	-6.6290	0.0930
14	19	-7.5540	-4.4872	-6.0310
15	3	0.2930	-2.8280	0.0750
16	3891	-11.2490	0.1560	-5.6950
17	5829	-8.4630	-0.4360	-5.8830
18	5827	-7.5280	0.7290	-4.9110
19	1602	-1.3920	0.2810	-2.7790
20	4607	4.5430	0.3190	0.1040
21	6542	3.7510	1.6923	-0.3740
22	21	-2.0043	2.5890	-2.2300
23	1040	-4.0530	2.2310	0.4830
24	1604	1.4520	-1.0210	-4.1420
25	4524	0.1310	-0.4510	-0.0970
26	4523	-0.6000	-0.0570	0.1810
27	5779	-0.3418	0.7330	-3.2040
28	7095	-3.7910	-1.5393	1.1770
29	1727	5.7810	-1.2950	0.3060
30	6927	0.0730	-0.5590	0.8090
31	4475	-0.1900	0.7690	-0.0730
32	2190	0.2780	-1.0510	-0.1550
33	5594	-0.4850	0.8010	-0.1970
34	4476	-0.2120	-0.4840	-0.3210
35	3542	1.7850	-0.2700	0.9370
36	4525	-0.0580	-0.4330	0.6570
37	7166	-0.0810	-3.8670	-0.0090
38	3544	1.8070	-0.0290	-1.3840
39	6562	0.1270	-0.3100	0.8210
40	1596	-0.2220	0.6460	-6.0660
41	5471	0.1400	0.4100	0.0680
42	5476	1.6180	0.4640	1.4610
43	1362	0.2840	-0.1570	-0.0470
44	3529	-1.3920	0.7720	-3.7810
45	1559	-0.9506	-0.4220	-1.0320
46	5336	1.4150	-0.3280	0.1260
47	2170	0.1330	0.0020	0.5040
48	3962	-0.5150	0.2960	-0.8640
49	5678	-1.6711	-1.6711	-3.1020
50	6254	-0.3460	3.5020	0.1260
51	1983	0.2200	-0.0242	-0.0100
52	2187	0.4650	-1.8080	-0.1830
53	1857	-0.2870	-3.0830	0.0750
54	3302	0.0060	0.4330	0.3960
55	2634	-2.7820	-1.3209	0.2490
56	1690	-0.0498	-2.1990	0.1150
57	1136	-0.1890	0.4710	0.4130
58	2186	0.7570	-0.1360	-0.7450
59	27	-0.3247	-2.6760	0.6550
60	1245	-0.5990	-0.1760	-0.4070
61	2016	0.8097	0.8240	0.0640
62	3583	-0.0051	0.0160	-0.0051
63	7366	-3.7000	0.2850	-3.1150
64	618	-0.2200	-0.7580	-0.1330
65	2931	0.0780	-0.5220	-0.0600
66	1950	0.2330	0.0540	-2.8650
67	1260	-0.1540	-2.2350	-0.8350
