gene_idx,KMeans_cluster,Agglomerative_cluster
0,4,1
1,3,4
2,1,1
3,0,0
4,2,4
5,4,1
6,0,0
7,3,4
8,4,0
9,0,0
10,3,0
11,4,2
12,0,4
13,4,3
14,1,1
15,2,2
16,4,2
17,0,0
18,0,1
19,4,0
20,1,0
21,4,2
22,0,0
23,1,0
24,4,3
25,2,1
26,2,1
27,1,0
28,2,4
29,2,4
30,1,1
31,2,0
32,0,0
33,0,0
34,3,0
35,3,0
36,2,0
37,1,1
38,4,0
39,1,4
40,0,0
41,3,4
42,3,0
43,3,4
44,3,4
45,2,1
46,3,4
47,1,0
48,3,4
49,1,0
50,0,0
51,0,0
52,2,2
53,1,1
54,0,0
55,2,2
56,4,1
57,2,0
58,1,0
59,0,0
60,1,0
61,4,1
62,3,3
63,4,0
64,3,0
65,3,0
66,2,0
67,1,0
68,3,2
69,4,1
70,4,0
71,4,3
72,1,1
73,4,1
74,0,0
75,4,1
76,1,4
77,3,0
78,4,1
79,0,0
80,1,3
81,4,0
82,1,0
83,3,0
84,0,0
85,3,4
86,3,0
87,3,0
88,1,4
89,3,2
90,1,1
91,3,0
92,1,1
93,2,0
94,2,2
95,2,0
96,4,0
97,3,0
98,1,1
99,4,1
100,1,1
101,2,2
102,0,0
103,4,3
104,3,0
105,4,0
106,2,2
107,2,0
108,1,1
109,3,4
110,3,0
111,3,4
112,4,2
113,1,3
114,1,0
115,0,0
116,4,1
117,3,0
118,1,1
119,0,0
120,4,2
121,0,0
122,3,2
123,2,0
124,1,1
125,1,0
126,0,0
127,4,0
128,1,1
129,0,0
130,0,0
131,4,1
132,3,4
133,0,0
134,0,0
135,1,1
136,0,0
137,0,0
138,2,0
139,4,1
140,1,1
141,0,0
142,0,2
143,2,0
144,0,0
145,0,0
146,1,1
147,2,1
148,2,1
149,3,0
150,0,0
151,2,2
152,1,1
153,2,1
154,4,1
155,0,0
156,2,0
157,1,0
158,1,1
159,3,0
160,4,3
161,1,1
162,4,3
163,2,2
164,4,1
165,0,0
166,2,1
167,4,3
168,0,0
169,3,2
170,1,1
171,1,1
172,3,1
173,4,0
174,2,2
175,2,4
176,2,0
177,1,1
178,0,0
179,3,2
180,2,0
181,4,4
182,2,1
183,0,0
184,3,0
185,0,0
186,2,0
187,4,0
188,2,0
189,2,1
190,0,0
191,3,4
192,1,0
193,3,4
194,3,0
195,2,2
196,4,0
197,1,1
198,4,0
199,0,0
200,4,1
201,1,1
202,3,0
203,0,0
204,2,4
205,3,4
206,0,0
207,3,2
208,3,0
209,3,4
210,1,2
211,2,0
212,0,0
213,3,4
214,3,0
215,3,0
216,1,1
217,1,1
218,1,1
219,1,0
220,4,2
221,3,4
222,4,2
223,3,0
224,1,1
225,1,0
226,1,4
227,1,1
228,2,4
229,2,2
230,1,1
231,1,1
232,0,0
233,0,0
234,2,1
235,0,1
236,4,1
237,1,0
238,4,0
239,0,0
240,0,0
241,3,2
242,1,1
243,3,0
244,4,3
245,0,0
246,0,0
247,2,2
248,1,1
249,3,2
250,3,0
251,0,4
252,1,0
253,4,0
254,1,1
255,1,2
256,2,1
257,3,0
258,4,1
259,4,2
260,2,0
261,4,1
262,0,0
263,4,1
264,0,4
265,0,0
266,0,0
267,1,1
268,4,2
269,0,0
270,3,0
271,3,0
272,4,3
273,3,0
274,3,0
275,3,0
276,1,1
277,3,1
278,2,0
279,1,1
280,1,0
281,4,1
282,4,3
283,0,0
284,1,0
285,3,0
286,2,1
287,1,0
288,2,0
289,1,3
290,4,0
291,2,2
292,1,1
293,4,0
294,0,2
295,1,4
296,2,3
297,1,1
298,2,0
299,2,2
300,2,3
301,4,3
302,2,1
303,0,1
304,1,0
305,2,2
306,3,4
307,0,0
308,1,1
309,0,2
310,3,0
311,1,1
312,0,1
313,0,0
314,4,1
315,3,0
316,0,2
317,2,2
318,4,0
319,4,2
320,2,1
321,3,1
322,1,1
323,4,3
324,3,4
325,3,0
326,1,0
327,0,0
328,1,0
329,3,4
330,3,0
331,1,0
332,3,4
333,1,1
334,2,2
335,0,0
336,3,2
337,1,1
338,2,2
339,2,4
340,1,1
341,2,2
342,3,0
343,0,0
344,4,1
345,1,2
346,4,1
347,3,4
348,0,0
349,3,4
350,2,0
351,1,1
352,0,0
353,0,1
354,0,2
355,2,0
356,0,0
357,4,0
358,4,0
359,1,1
360,4,0
361,3,0
362,1,0
363,0,0
364,4,3
365,4,2
366,0,1
367,3,3
368,4,1
369,3,0
370,4,1
371,0,0
372,3,4
373,2,1
374,3,4
375,0,2
376,1,1
377,0,2
378,4,1
379,4,1
380,1,1
381,1,0
382,0,0
383,1,0
384,2,2
385,2,2
386,2,2
387,0,2
388,4,2
389,4,2
390,1,1
391,0,0
392,1,3
393,0,0
394,3,0
395,2,0
396,2,2
397,0,0
398,4,1
399,4,3
400,3,0
401,2,1
402,3,0
403,0,0
404,3,4
405,1,1
406,3,0
407,0,0
408,4,4
409,3,2
410,2,2
411,3,1
412,0,0
413,3,0
414,4,3
415,3,0
416,3,4
417,2,0
418,4,1
419,2,0
420,3,1
421,0,0
422,1,1
423,0,0
424,0,0
425,3,0
426,4,0
427,0,0
428,1,1
429,4,1
430,4,1
431,3,4
432,3,4
433,1,0
434,0,1
435,0,0
436,0,0
437,1,1
438,4,1
439,3,0
440,1,1
441,3,1
442,4,2
443,3,0
444,2,2
445,4,4
446,2,2
447,2,2
448,1,1
449,0,0
450,3,0
451,2,2
452,0,0
453,0,0
454,1,1
455,0,2
456,0,0
457,2,3
458,4,1
459,1,0
460,4,2
461,1,4
462,4,1
463,2,2
464,2,4
465,2,2
466,3,4
467,2,2
468,4,1
469,0,0
470,3,4
471,1,0
472,3,0
473,1,1
474,1,1
475,3,0
476,4,1
477,4,2
478,0,1
479,1,0
480,2,2
481,1,0
482,2,2
483,1,1
484,3,0
485,0,0
486,1,1
487,4,1
488,4,2
489,1,0
490,2,1
491,1,1
492,4,2
493,3,4
494,0,0
495,1,1
496,1,0
497,4,3
498,0,2
499,1,1
