row_idx,row_cluster
0,4
1,4
2,4
3,3
4,1
5,4
6,2
7,2
8,4
9,3
10,4
11,3
12,3
13,4
14,4
15,3
16,3
17,3
18,0
19,1
20,2
21,3
22,0
23,0
24,1
25,4
26,2
27,4
28,1
29,1
30,2
31,4
32,2
33,3
34,4
35,4
36,2
37,2
38,3
39,2
40,2
41,1
42,4
43,1
44,4
45,4
46,2
47,1
48,3
49,2
50,0
51,3
52,2
53,4
54,0
55,1
56,4
57,3
58,1
59,3
60,2
61,3
62,4
63,3
64,4
65,4
66,2
67,4
68,3
69,4
70,1
71,1
72,4
73,1
74,2
75,4
76,4
77,4
78,2
79,0
80,1
81,3
82,2
83,2
84,2
85,4
86,0
87,3
88,2
89,4
90,0
91,4
92,2
93,4
94,1
95,3
96,4
97,1
98,4
99,1
100,4
101,1
102,0
103,1
104,4
105,1
106,3
107,3
108,1
109,3
110,4
111,4
112,3
113,1
114,0
115,4
116,4
117,4
118,4
119,4
120,2
121,2
122,3
123,3
124,2
125,3
126,0
127,4
128,3
129,3
130,2
131,2
132,2
133,0
134,2
135,1
136,0
137,4
138,1
139,3
140,4
141,0
142,3
143,1
144,2
145,2
146,2
147,1
148,3
149,3
150,0
151,3
152,4
153,3
154,2
155,3
156,1
157,4
158,4
159,2
160,4
161,4
162,1
163,1
164,4
165,3
166,3
167,1
168,2
169,3
170,4
171,2
172,3
173,4
174,3
175,1
176,4
177,2
178,0
179,3
180,4
181,4
182,3
183,0
184,2
185,3
186,1
187,4
188,1
189,4
190,0
191,1
192,2
193,3
194,4
195,1
196,1
197,2
198,1
199,2
200,1
201,4
202,1
203,2
204,1
205,2
206,0
207,3
208,4
209,4
210,2
211,2
212,0
213,1
214,3
215,1
216,2
217,4
218,4
219,2
220,3
221,4
222,3
223,4
224,3
225,2
226,1
227,1
228,3
229,3
230,2
231,3
232,2
233,0
234,4
235,2
236,3
237,4
238,4
239,2
240,2
241,3
242,2
243,4
244,4
245,2
246,4
247,1
248,4
249,3
250,4
251,2
252,4
253,4
254,4
255,3
256,3
257,1
258,4
259,3
260,2
261,3
262,2
263,4
264,2
265,2
266,0
267,3
268,3
269,3
270,3
271,3
272,2
273,4
274,1
275,0
276,3
277,1
278,1
279,4
280,0
281,2
282,1
283,2
284,2
285,3
286,4
287,2
288,1
289,1
290,4
291,1
292,2
293,4
294,4
295,2
296,1
297,3
298,4
299,1
300,1
301,1
302,4
303,0
304,1
305,3
306,1
307,1
308,0
309,3
310,3
311,2
312,0
313,2
314,3
315,4
316,3
317,3
318,4
319,3
320,3
321,4
322,0
323,4
324,4
325,1
326,2
327,3
328,3
329,1
330,3
331,1
332,1
333,2
334,1
335,0
336,3
337,0
338,3
339,4
340,2
341,3
342,4
343,2
344,4
345,0
346,1
347,4
348,3
349,2
350,4
351,4
352,0
353,0
354,2
355,2
356,3
357,3
358,3
359,4
360,3
361,0
362,1
363,2
364,4
365,3
366,0
367,1
368,3
369,0
370,3
371,3
372,1
373,4
374,4
375,3
376,1
377,3
378,1
379,3
380,0
381,4
382,4
383,0
384,3
385,1
386,3
387,2
388,1
389,3
390,2
391,4
392,1
393,0
394,4
395,4
396,3
397,2
398,3
399,1
400,0
401,3
402,4
403,0
404,1
405,0
406,4
407,2
408,1
409,3
410,3
411,2
412,2
413,3
414,4
415,3
416,1
417,4
418,3
419,3
420,4
421,0
422,4
423,2
424,2
425,3
426,2
427,2
428,2
429,2
430,4
431,1
432,3
433,2
434,0
435,3
436,1
437,1
438,0
439,4
440,0
441,4
442,3
443,3
444,3
445,1
446,1
447,1
448,1
449,4
450,4
451,3
452,0
453,2
454,0
455,0
456,2
457,1
458,1
459,2
460,3
461,2
462,2
463,1
464,3
465,3
466,3
467,3
468,3
469,3
470,1
471,2
472,4
473,4
474,4
475,1
476,2
477,3
478,4
479,4
480,3
481,4
482,3
483,2
484,3
485,3
486,3
487,4
488,3
489,2
490,2
491,2
492,3
493,4
494,2
495,1
496,2
497,1
498,3
499,2
