gene_idx,KMeans_cluster,Agglomerative_cluster
0,3,3
1,2,3
2,4,1
3,2,0
4,3,0
5,2,2
6,2,3
7,2,3
8,2,3
9,2,3
10,2,3
11,4,3
12,4,1
13,4,0
14,4,1
15,3,0
16,2,3
17,0,1
18,2,3
19,2,1
20,4,0
21,4,2
22,4,3
23,0,1
24,4,3
25,3,3
26,2,0
27,2,3
28,2,3
29,2,3
30,2,3
31,2,3
32,2,0
33,4,1
34,0,1
35,0,1
36,2,3
37,0,1
38,3,0
39,3,1
40,4,3
41,4,0
42,4,3
43,2,3
44,3,0
45,4,1
46,4,3
47,4,1
48,4,1
49,3,0
50,2,1
51,1,0
52,3,0
53,3,0
54,4,3
55,2,3
56,2,3
57,0,1
58,3,0
59,3,0
60,2,3
61,4,1
62,2,3
63,2,1
64,2,3
65,4,3
66,2,3
67,2,3
68,2,1
69,2,3
70,2,3
71,4,1
72,1,2
73,1,2
74,1,2
75,3,0
76,2,3
77,4,3
78,2,1
79,3,0
80,2,3
81,3,0
82,2,3
83,3,0
84,2,3
85,2,3
86,2,3
87,2,0
88,2,0
89,4,0
90,4,0
91,4,0
92,3,0
93,3,0
94,3,0
95,2,3
96,4,0
97,2,3
98,2,3
99,2,3
100,2,3
101,2,3
102,2,3
103,4,2
104,2,0
105,2,3
106,2,3
107,0,0
108,0,1
109,0,1
110,2,1
111,4,0
112,1,2
113,1,2
114,0,1
115,2,1
116,4,3
117,2,1
118,4,1
119,3,0
120,2,0
121,1,2
122,4,1
123,4,0
124,4,3
125,2,3
126,0,3
127,3,0
128,2,3
129,3,0
130,2,3
131,2,3
132,0,1
133,4,1
134,3,0
135,2,0
136,0,1
137,2,3
138,2,3
139,0,1
140,0,1
141,2,3
142,4,0
143,2,3
144,4,1
145,4,1
146,2,3
147,1,2
148,4,1
149,2,3
150,4,3
151,0,1
152,2,3
153,3,0
154,2,3
155,4,0
156,0,1
157,4,3
158,4,3
159,3,0
160,2,3
161,2,3
162,3,0
163,2,3
164,4,1
165,4,1
166,0,1
167,2,3
168,4,0
169,4,3
170,3,0
171,4,1
172,4,3
173,0,3
174,0,1
175,4,2
176,3,0
177,2,3
178,4,3
179,2,3
180,2,3
181,4,3
182,2,3
183,0,1
184,0,1
185,2,3
186,4,3
187,3,0
188,4,0
189,4,1
190,3,0
191,4,1
192,4,1
193,4,0
194,4,0
195,4,1
196,2,3
197,2,3
198,3,3
199,4,1
200,4,3
201,2,3
202,3,0
203,4,3
204,0,1
205,2,3
206,2,3
207,4,3
208,2,3
209,2,3
210,4,1
211,4,0
212,4,0
213,3,0
214,2,3
215,4,3
216,3,0
217,4,3
218,4,1
219,4,1
220,4,1
221,2,0
