row_idx,row_cluster
0,3
1,3
2,1
3,4
4,4
5,1
6,4
7,3
8,4
9,3
10,2
11,2
12,3
13,1
14,3
15,3
16,4
17,1
18,4
19,1
20,2
21,1
22,1
23,1
24,2
25,3
26,3
27,2
28,3
29,3
30,3
31,4
32,4
33,3
34,1
35,1
36,4
37,1
38,3
39,3
40,2
41,1
42,3
43,3
44,3
45,3
46,1
47,1
48,3
49,3
50,4
51,3
52,3
53,3
54,2
55,3
56,3
57,1
58,3
59,3
60,4
61,1
62,3
63,3
64,3
65,3
66,4
67,4
68,3
69,4
70,3
71,1
72,0
73,0
74,0
75,3
76,4
77,1
78,4
79,2
80,3
81,3
82,4
83,3
84,4
85,4
86,4
87,4
88,3
89,2
90,3
91,3
92,3
93,3
94,3
95,3
96,2
97,1
98,4
99,3
100,3
101,3
102,3
103,3
104,3
105,4
106,4
107,2
108,1
109,1
110,3
111,1
112,0
113,1
114,1
115,4
116,4
117,3
118,3
119,2
120,4
121,1
122,1
123,1
124,3
125,4
126,1
127,3
128,1
129,3
130,4
131,4
132,1
133,1
134,3
135,1
136,1
137,2
138,4
139,1
140,1
141,4
142,2
143,1
144,2
145,1
146,4
147,0
148,3
149,3
150,3
151,1
152,3
153,3
154,4
155,2
156,4
157,3
158,1
159,3
160,4
161,4
162,3
163,3
164,2
165,1
166,1
167,4
168,3
169,3
170,3
171,1
172,1
173,1
174,1
175,1
176,4
177,4
178,4
179,4
180,1
181,1
182,4
183,1
184,1
185,2
186,2
187,3
188,2
189,1
190,3
191,2
192,2
193,1
194,2
195,1
196,4
197,1
198,3
199,1
200,3
201,3
202,3
203,3
204,3
205,4
206,2
207,2
208,1
209,2
210,2
211,2
212,2
213,3
214,4
215,1
216,3
217,1
218,3
219,2
220,2
221,3
222,3
223,4
224,0
225,0
226,0
227,3
228,4
229,3
230,4
231,4
232,4
233,1
234,1
235,1
236,0
237,1
238,3
239,4
240,3
241,4
242,4
243,1
244,3
245,3
246,4
247,4
248,4
249,1
250,3
251,1
252,3
253,1
254,3
255,3
256,1
257,1
258,1
259,2
260,4
261,4
262,1
263,3
264,3
265,3
266,2
267,2
268,4
269,3
270,1
271,1
272,2
273,4
274,3
275,4
276,1
277,2
278,4
279,4
280,3
281,3
282,3
283,1
284,3
285,3
286,4
287,3
288,1
289,1
290,4
291,1
292,4
293,4
294,4
295,4
296,3
297,2
298,0
299,0
300,4
301,0
302,3
303,1
304,4
305,3
306,2
307,1
308,1
309,1
310,1
311,0
312,1
313,1
314,3
315,2
316,1
317,0
318,0
319,3
320,3
321,1
322,2
323,1
324,2
325,3
326,2
327,3
328,3
329,4
330,4
331,4
332,2
333,1
334,1
335,4
336,1
337,3
338,0
339,3
340,4
341,3
342,1
343,3
344,4
345,2
346,4
347,4
348,1
349,4
350,3
351,1
352,3
353,2
354,4
355,4
356,3
357,3
358,3
359,3
360,2
361,4
362,3
363,2
364,2
365,1
366,4
367,4
368,2
369,2
370,3
371,1
372,1
373,1
374,4
375,3
376,3
377,3
378,4
379,3
380,3
381,3
382,1
383,2
384,4
385,1
386,1
387,4
388,0
389,2
390,1
391,3
392,2
393,1
394,1
395,1
396,4
397,1
398,4
399,4
400,4
401,3
402,1
403,1
404,3
405,3
406,3
407,3
408,3
409,4
410,3
411,4
412,1
413,4
414,3
415,4
416,3
417,4
418,1
419,4
420,1
421,4
422,1
423,3
424,3
425,4
426,1
427,2
428,1
429,1
430,3
431,3
432,4
433,2
434,3
435,3
436,1
437,1
438,3
439,4
440,3
441,4
442,2
443,3
444,3
445,3
446,4
447,4
448,4
449,3
450,1
451,1
452,3
453,2
454,3
455,4
456,4
457,3
458,1
459,4
460,3
461,3
462,3
463,3
464,1
465,3
466,3
467,2
468,3
469,1
470,4
471,4
472,3
473,2
474,2
475,3
476,3
477,1
478,1
479,1
480,1
481,4
482,3
483,1
484,1
485,1
486,3
487,3
488,2
489,4
490,1
491,4
492,4
493,3
494,1
495,3
496,2
497,1
498,1
499,3
500,3
501,4
502,1
503,3
504,4
505,4
506,1
507,1
508,1
509,1
510,3
511,3
512,1
513,3
514,3
515,4
516,4
517,3
518,3
519,3
520,1
521,4
522,1
523,4
524,4
525,4
526,2
527,4
528,1
529,4
530,4
531,1
532,4
533,3
534,3
535,4
536,4
537,4
538,3
539,4
540,3
541,4
542,2
543,4
544,1
545,2
546,2
547,2
548,1
549,3
550,3
551,1
552,1
553,4
554,0
555,0
556,0
557,2
558,4
559,4
560,3
561,1
562,3
563,4
564,3
565,4
566,3
567,4
568,1
569,1
570,2
571,3
572,3
573,4
574,3
575,3
576,4
577,2
578,2
579,4
580,4
581,3
582,1
583,3
584,3
585,1
586,1
587,4
588,3
589,3
590,1
591,1
592,0
593,0
594,2
595,2
596,2
597,4
598,4
599,4
600,4
601,4
602,4
603,4
604,4
605,1
606,1
607,4
608,4
609,3
610,3
611,4
612,4
613,2
614,3
615,2
616,4
617,4
618,2
619,3
620,3
621,2
622,3
623,4
624,1
625,3
626,3
627,3
628,3
629,3
630,3
631,4
632,1
633,3
634,4
635,4
636,4
637,1
638,4
639,1
640,3
641,2
642,2
643,4
644,1
645,3
646,1
647,3
648,3
649,3
650,1
651,4
652,2
653,1
654,1
655,4
656,2
657,4
658,4
659,4
660,4
661,3
662,1
663,3
664,4
665,0
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,3
680,3
681,3
682,2
683,4
684,0
685,4
686,3
687,4
688,2
689,2
690,3
691,1
692,1
693,4
694,3
695,4
696,1
697,3
698,4
699,4
700,4
701,4
702,1
703,2
704,1
705,1
706,3
707,4
708,1
709,3
710,3
711,1
712,4
713,4
714,3
715,3
716,4
717,4
718,2
719,2
720,3
721,3
722,4
723,3
724,4
725,2
726,4
727,3
728,3
729,3
730,1
731,2
732,1
733,1
734,1
735,4
736,3
737,3
738,2
739,4
740,3
741,3
742,1
743,3
744,4
745,2
746,2
747,3
748,1
749,4
750,0
751,3
752,3
753,3
754,3
755,4
756,3
757,3
758,0
759,1
760,4
761,1
762,4
763,4
764,1
765,0
766,3
767,4
768,4
769,3
770,3
771,4
772,3
773,3
774,3
775,2
776,3
777,4
778,1
779,3
780,3
781,3
782,4
783,4
784,4
785,4
786,4
787,1
788,1
789,1
790,1
791,3
792,3
793,3
794,3
795,3
796,4
797,4
798,1
799,1
800,3
801,3
802,3
803,0
804,2
805,4
806,3
807,3
808,1
809,1
810,1
811,1
812,1
813,1
814,3
815,2
816,3
817,3
818,1
819,3
820,3
821,2
822,1
823,1
824,4
825,4
826,3
827,3
828,4
829,2
830,1
831,4
832,2
833,4
834,3
835,4
836,1
837,3
838,3
839,4
840,1
841,1
842,1
843,1
844,0
845,3
846,4
847,3
848,3
849,0
850,0
851,0
852,3
853,0
854,3
855,4
856,4
857,4
858,3
859,1
860,1
861,3
862,4
863,3
864,1
865,0
866,3
867,3
868,3
869,1
870,2
871,3
872,3
873,3
874,3
875,0
876,3
877,1
878,1
879,1
