Algorithm,Dataset,Tric,n_genes,n_conds,n_times,timed_out,TRIQ,GRQ,PEQ,SPQ
triCluster,QualityC,1,9,4,2,False,,0.21126760563387426,0.0,
triCluster,QualityC,2,8,4,3,False,,0.17330373008045274,0.5389610389610597,
triCluster,QualityC,3,9,4,2,False,,0.1898274627990545,0.003968253968253971,
triCluster,QualityC,4,8,5,2,False,,0.20253164556970027,0.7500000000000087,
triCluster,QualityC,5,9,4,2,False,,1.0,0.0,
triCluster,QualityC,6,8,4,2,False,0.6109813746230243,0.5137267182787804,1.0,0.9999999999999998
triCluster,QualityC,7,14,4,2,False,,0.6221695895240458,0.1897558993192897,
triCluster,QualityC,8,9,4,2,False,,1.0,0.0,
triCluster,QualityC,9,9,4,2,False,,1.0,0.0,
triCluster,QualityC,10,8,5,2,False,,1.0,0.5357142857142857,
triCluster,QualityC,11,9,4,2,False,,0.9999985142516098,0.0,
triCluster,QualityC,12,8,4,2,False,1.0,1.0,1.0,0.9999999999999998
triCluster,QualityC,13,12,4,2,False,0.7001759187654125,0.8380606174870222,0.1514740718409873,0.14580017591696018
triCluster,QualityC,14,11,4,2,False,,0.9397865629749435,0.2727272727272727,
triCluster,QualityC,15,10,4,2,False,,0.2025316455696291,0.0,
triCluster,QualityC,16,8,4,3,False,,0.18947368421053734,0.7500000000000046,
triCluster,QualityC,17,8,5,2,False,,0.2025316455696291,0.7500000000000018,
triCluster,QualityC,18,9,4,2,False,,0.21126760563381097,0.0,
triCluster,QualityC,19,8,4,3,False,,0.18947368421053745,0.7500000000000047,
triCluster,QualityC,20,8,4,2,False,,1.0,0.0,
triCluster,QualityC,21,8,4,3,False,,1.0,1.0,
triCluster,QualityC,22,10,4,2,False,,1.0,0.0,
triCluster,QualityC,23,9,5,2,False,0.524445979863133,0.40660683665315467,0.9999938945951192,0.9916112108109727
triCluster,QualityC,24,10,4,2,False,0.4979685337932533,0.3735568989072706,0.9999935691808648,0.9912365774935026
triCluster,QualityC,25,9,4,3,False,0.3232756150491189,0.2470177756875167,0.6194845517606687,0.637129393230386
triCluster,QualityC,26,10,4,2,False,0.5107666677946787,0.3895545664090524,0.9999935691808648,0.9912365774935027
triCluster,QualityC,27,8,4,3,False,0.2108662071728079,0.11023976963418969,0.603594812684935,0.6231491019696268
triCluster,QualityC,28,9,5,2,False,0.4861182283442319,0.35870087424149943,0.9999640786993509,0.9916112108109725
triCluster,QualityC,29,10,4,2,False,0.5015796502121208,0.378074711085859,0.9999622359408338,0.9912365774935027
triCluster,QualityC,30,8,4,2,False,1.0,1.0,1.0,0.9999999999999998
triCluster,QualityC,31,8,4,2,False,,1.0,0.0,
triCluster,QualityC,32,8,4,2,False,,1.0,0.0,
triCluster,QualityC,33,9,5,2,False,0.724303395001751,0.6553792437521888,1.0,1.0
triCluster,QualityC,34,16,4,2,False,0.584140723764873,0.4808617032603558,0.9999907506324445,0.9945228609334393
triCluster,QualityC,35,13,4,2,False,,0.8790983786105164,0.07692307692307691,
